scraped_ts,Team,Player_ID,Player,Position,Status,Status_Date,Description
2021-10-29 09:49,Atlanta Hawks,188440,onyeka-okongwu,PF,Late Dec - Shoulder,2021-10-22,Okongwu is expected to be on the shelf until at least the latter part of December as he is recovering from right shoulder surgery.
2021-10-29 09:49,Boston Celtics,103156,romeo-langford,SG,Ques Sat - Calf,2021-10-27,"Langford has sat out the last three games with left calf tightness, and it is unknown if he will be active against the Wizards on Saturday."
2021-10-29 09:49,Brooklyn Nets,2612,nic-claxton,PF,Ques Fri - Illness,2021-10-27,"Claxton sat out the last contest ailing from an illness, and it remains to be seen if he will be in Friday's lineup versus the Pacers."
2021-10-29 09:49,Brooklyn Nets,5725,kyrie-irving,PG,Out indefinitely - Personal,2021-10-19,"Irving has made a personal choice to refuse the COVID-19 vaccination, restricting his ability to be a full-time member of the team."
2021-10-29 09:49,Charlotte Hornets,5015,p.j.-washington,PF,Doub Fri - Knee,2021-10-28,"Washington was held out of the previous two games with right knee discomfort, and it is unlikely that he will be available for Friday's clash with the Heat."
2021-10-29 09:49,Charlotte Hornets,490,terry-rozier,PG,Ques Fri - Ankle,2021-10-27,"Rozier has missed the last three games with a right ankle sprain, and it remains to be seen if he will face the Heat on Friday."
2021-10-29 09:49,Chicago Bulls,187659,patrick-williams,SF,Ques Fri - Wrist,2021-10-28,"Williams exited the previous contest with a left wrist injury, and it has yet to be established if he will be available to face the Jazz on Friday."
2021-10-29 09:49,Chicago Bulls,224774,marko-simonovic,C,Ques Fri - Thumb,2021-10-28,"Simonovic has missed the last four games with a right sprained thumb, and it is unknown if he will suit up Friday versus the Jazz."
2021-10-29 09:49,Chicago Bulls,128747,coby-white,SG,Mid Nov - Shoulder,2021-09-23,White is expected to be on the shelf until at least the middle of November while recovering from left shoulder surgery.
2021-10-29 09:49,Cleveland Cavaliers,187432,isaac-okoro,SF,Ques Fri - Hamstring,2021-10-28,"Okoro is hindered by a left hamstring strain, and it is unlikely that he will take the court against the Lakers on Friday."
2021-10-29 09:49,Dallas Mavericks,408,sterling-brown,SG,Ques Fri - Ankle,2021-10-28,"Brown is managing a left ankle sprain, and it has yet to be established if he will be available against the Nuggets on Friday."
2021-10-29 09:49,Dallas Mavericks,5534,kristaps-porzingis,PF,Ques Fri - Back,2021-10-28,"Porzingis is hampered by lower-back stiffness, and it is undetermined if he will play against the Nuggets on Friday."
2021-10-29 09:49,Dallas Mavericks,2023,trey-burke,PG,Ques Fri - Illness,2021-10-28,"Burke is in the leagues health and safety protocols, and it is unknown if he will suit up Friday against the Nuggets."
2021-10-29 09:49,Dallas Mavericks,2241,boban-marjanovic,C,Ques Fri - Back,2021-10-28,"Marjanovic is battling lower-back tightness, and it is unclear if he will take the court on Friday versus the Nuggets."
2021-10-29 09:49,Denver Nuggets,183995,vlatko-cancar,SF,Out Fri - Hip,2021-10-28,"Cancar missed the previous three games with a left hip strain, and he will not play against the Mavericks on Friday."
2021-10-29 09:49,Denver Nuggets,1850,nikola-jokic,C,Ques Fri - Knee,2021-10-27,"Jokic exited the previous outing with a right knee contusion, and it is unclear if he will suit up Friday against the Mavericks."
2021-10-29 09:49,Denver Nuggets,1852,jamal-murray,SG,Out indefinitely - Knee,2021-09-24,"Murray is recovering from surgery to repair a torn ACL, and it is unclear how long he will be debilitated."
2021-10-29 09:49,Detroit Pistons,4486,chris-smith,SF,Ques Sat - Knee,2021-10-28,"Smith has sat out the previous four contests while recovering from left knee surgery, and it remains to be determined if he will suit up for Saturday's battle with the Magic."
2021-10-29 09:49,Detroit Pistons,222424,cade-cunningham,PG,Ques Sat - Ankle,2021-10-28,"Cunningham has sat out the last four games with a right ankle sprain, and it is unknown if he will take on the Magic on Saturday."
2021-10-29 09:49,Detroit Pistons,6333,isaiah-livers,PF,Early Nov - Foot,2021-10-15,"Livers is out of commission after undergoing surgery to repair a foot injury, and he is not expected to make his season debut until the beginning of November."
2021-10-29 09:49,Golden State Warriors,233465,jonathan-kuminga,PF,Out indefinitely - Knee,2021-10-15,"Kuminga is managing a strained patella tendon in his right knee, and team officials have yet to provide an exact return date."
2021-10-29 09:49,Golden State Warriors,2002,klay-thompson,SG,Mid Jan - Knee,2021-09-27,Thompson is recovering from a torn ACL in his left knee and a torn Achilles tendon that derailed his availability the past two seasons. The team is targeting a middle of January return date.
2021-10-29 09:49,Golden State Warriors,188032,james-wiseman,C,Out indefinitely - Knee,2021-09-23,"Wiseman had right knee surgery, and there is no timetable for recovery."
2021-10-29 09:49,Houston Rockets,3959,garrison-mathews,SG,Out indefinitely - Personal,2021-10-28,"Mathews is away from the team tending to a personal matter, and it is unknown when he will return to the lineup."
2021-10-29 09:49,Houston Rockets,9578,danuel-house-jr.,SF,Ques Mon - Foot,2021-10-28,"House Jr. sat out the last contest tending to a right foot sprain, and it is unclear if he will take the court on Monday versus the Lakers."
2021-10-29 09:49,Houston Rockets,9615,john-wall,PG,Out indefinitely - Holdout,2021-09-23,"Wall is unhappy with his situation with the team, and it is uncertain how long it will take the organization to find a new team to acquire him."
2021-10-29 09:49,Indiana Pacers,223695,isaiah-jackson,PF,Out indefinitely - Knee,2021-10-28,"Jackson is sidelined with a left knee injury, and a date for his return has yet to be established."
2021-10-29 09:49,Indiana Pacers,10134,malcolm-brogdon,SG,Out Fri - Hamstring,2021-10-28,"Brogdon is managing a left hamstring strain, and he will not suit up on Friday versus the Nets."
