,ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
0,161102001,1997,"Sat, Nov 2",Atlanta Hawks,Detroit Pistons,"0-2, 0-1 Home","2-0, 1-0 Away",78,90,NULL,NULL,Final,NULL,20,24,15,19,NULL,23,17,24,26,NULL,NBA
1,161105025,1997,"Tue, Nov 5",Seattle SuperSonics,Atlanta Hawks,"1-2, 1-1 Home","2-2, 2-1 Away",95,117,NULL,NULL,Final,NULL,29,29,18,19,NULL,34,21,36,26,NULL,NBA
2,161110013,1997,"Sun, Nov 10",Los Angeles Lakers,Atlanta Hawks,"4-2, 3-0 Home","3-3, 3-2 Away",92,85,NULL,NULL,Final,NULL,22,16,32,22,NULL,22,30,15,18,NULL,NBA
3,161113002,1997,"Wed, Nov 13",Boston Celtics,Atlanta Hawks,"2-4, 2-2 Home","4-4, 3-3 Away",103,85,NULL,NULL,Final,NULL,41,21,23,18,NULL,22,22,21,20,NULL,NBA
4,161116004,1997,"Sat, Nov 16",Chicago Bulls,Atlanta Hawks,"10-0, 6-0 Home","5-5, 3-4 Away",97,69,NULL,NULL,Final,NULL,19,25,27,26,NULL,16,17,23,13,NULL,NBA
5,161121015,1997,"Thu, Nov 21",Milwaukee Bucks,Atlanta Hawks,"6-5, 4-1 Home","6-6, 4-5 Away",65,73,NULL,NULL,Final,NULL,15,14,21,15,NULL,21,15,24,13,NULL,NBA
6,161126001,1997,"Tue, Nov 26",Atlanta Hawks,Vancouver Grizzlies,"8-6, 3-1 Home","2-12, 0-6 Away",101,80,NULL,NULL,Final,NULL,37,16,25,23,NULL,19,20,23,18,NULL,NBA
7,161129001,1997,"Fri, Nov 29",Atlanta Hawks,Washington Bullets,"9-7, 4-1 Home","7-7, 3-3 Away",110,81,NULL,NULL,Final,NULL,30,32,28,20,NULL,18,27,15,21,NULL,NBA
8,161204008,1997,"Wed, Dec 4",Detroit Pistons,Atlanta Hawks,"13-3, 8-2 Home","10-8, 5-7 Away",100,90,NULL,NULL,Final,NULL,29,23,21,27,NULL,25,22,24,19,NULL,NBA
9,161210001,1997,"Tue, Dec 10",Atlanta Hawks,Denver Nuggets,"12-8, 7-1 Home","5-16, 3-8 Away",89,88,NULL,NULL,Final,NULL,19,21,28,21,NULL,18,17,21,32,NULL,NBA
10,161217006,1997,"Tue, Dec 17",Dallas Mavericks,Atlanta Hawks,"8-14, 5-5 Home","14-8, 6-7 Away",73,109,NULL,NULL,Final,NULL,19,17,10,27,NULL,27,35,19,28,NULL,NBA
11,161221003,1997,"Sat, Dec 21",Charlotte Hornets,Atlanta Hawks,"14-11, 8-3 Home","15-9, 6-8 Away",98,93,NULL,NULL,Final,NULL,22,27,23,26,NULL,23,15,17,38,NULL,NBA
12,161226001,1997,"Thu, Dec 26",Atlanta Hawks,Chicago Bulls,"16-10, 10-1 Home","25-4, 13-3 Away",108,103,NULL,NULL,Final,NULL,30,26,22,30,NULL,27,26,22,28,NULL,NBA
13,170103017,1997,"Fri, Jan 3",New Jersey Nets,Atlanta Hawks,"8-21, 5-9 Home","17-11, 7-10 Away",85,95,NULL,NULL,Final,NULL,14,25,26,20,NULL,21,21,27,26,NULL,NBA
14,170107001,1997,"Tue, Jan 7",Atlanta Hawks,Phoenix Suns,"19-11, 12-1 Home","10-23, 3-15 Away",105,103,NULL,NULL,Final/OT,NULL,29,22,18,22,14,24,20,24,23,12,NBA
15,170111001,1997,"Sat, Jan 11",Atlanta Hawks,San Antonio Spurs,"21-11, 13-1 Home","9-25, 4-15 Away",87,82,NULL,NULL,Final/OT,NULL,17,23,14,23,10,17,25,15,20,5,NBA
16,170114001,1997,"Tue, Jan 14",Atlanta Hawks,Minnesota Timberwolves,"23-11, 14-1 Home","16-20, 5-15 Away",95,93,NULL,NULL,Final,NULL,23,25,24,23,NULL,22,24,25,22,NULL,NBA
17,170118001,1997,"Sat, Jan 18",Atlanta Hawks,Milwaukee Bucks,"25-11, 16-1 Home","18-19, 7-9 Away",94,71,NULL,NULL,Final,NULL,17,23,29,25,NULL,17,23,14,17,NULL,NBA
18,170121014,1997,"Tue, Jan 21",Miami Heat,Atlanta Hawks,"29-11, 10-6 Home","26-12, 9-11 Away",94,91,NULL,NULL,Final,NULL,29,22,23,20,NULL,19,28,18,26,NULL,NBA
19,170125001,1997,"Sat, Jan 25",Atlanta Hawks,Boston Celtics,"28-12, 19-1 Home","9-30, 1-15 Away",95,90,NULL,NULL,Final,NULL,25,22,22,26,NULL,22,24,20,24,NULL,NBA
20,170130026,1997,"Thu, Jan 30",Utah Jazz,Atlanta Hawks,"31-13, 20-2 Home","29-13, 10-12 Away",102,96,NULL,NULL,Final,NULL,33,21,27,21,NULL,22,20,31,23,NULL,NBA
21,170202007,1997,"Sun, Feb 2",Denver Nuggets,Atlanta Hawks,"15-32, 8-16 Home","30-14, 11-13 Away",115,104,NULL,NULL,Final,NULL,34,30,23,28,NULL,26,29,18,31,NULL,NBA
22,170205021,1997,"Wed, Feb 5",Phoenix Suns,Atlanta Hawks,"17-31, 12-10 Home","31-15, 12-14 Away",99,81,NULL,NULL,Final,NULL,21,26,29,23,NULL,21,13,13,34,NULL,NBA
23,170214001,1997,"Fri, Feb 14",Atlanta Hawks,Chicago Bulls,"32-16, 20-2 Home","44-6, 22-5 Away",88,89,NULL,NULL,Final,NULL,26,23,23,16,NULL,32,20,21,16,NULL,NBA
24,170217010,1997,"Mon, Feb 17",Houston Rockets,Atlanta Hawks,"34-18, 18-8 Home","33-17, 13-15 Away",127,98,NULL,NULL,Final,NULL,29,34,35,29,NULL,27,20,25,26,NULL,NBA
25,170221001,1997,"Fri, Feb 21",Atlanta Hawks,Houston Rockets,"35-17, 22-2 Home","35-19, 16-11 Away",76,74,NULL,NULL,Final,NULL,29,15,20,12,NULL,21,23,17,13,NULL,NBA
26,170224001,1997,"Mon, Feb 24",Atlanta Hawks,Golden State Warriors,"36-18, 23-3 Home","20-33, 9-19 Away",106,100,NULL,NULL,Final,NULL,35,25,23,23,NULL,22,27,31,20,NULL,NBA
27,170228001,1997,"Fri, Feb 28",Atlanta Hawks,Los Angeles Lakers,"38-18, 24-3 Home","39-18, 17-11 Away",86,75,NULL,NULL,Final,NULL,21,23,27,15,NULL,15,28,19,13,NULL,NBA
28,170304001,1997,"Tue, Mar 4",Atlanta Hawks,Cleveland Cavaliers,"39-19, 25-3 Home","32-26, 12-15 Away",93,88,NULL,NULL,Final,NULL,22,23,17,31,NULL,27,17,14,30,NULL,NBA
29,170307001,1997,"Fri, Mar 7",Atlanta Hawks,Milwaukee Bucks,"41-19, 26-3 Home","25-35, 11-18 Away",90,80,NULL,NULL,Final,NULL,27,21,23,19,NULL,26,29,8,17,NULL,NBA
30,170311001,1997,"Tue, Mar 11",Atlanta Hawks,Utah Jazz,"43-19, 27-3 Home","45-17, 16-14 Away",106,99,NULL,NULL,Final,NULL,24,28,27,27,NULL,20,23,36,20,NULL,NBA
31,170314001,1997,"Fri, Mar 14",Atlanta Hawks,Seattle SuperSonics,"43-21, 27-4 Home","45-18, 21-10 Away",91,97,NULL,NULL,Final,NULL,23,24,13,31,NULL,21,22,20,34,NULL,NBA
32,170317001,1997,"Mon, Mar 17",Atlanta Hawks,Orlando Magic,"44-22, 28-4 Home","36-29, 15-19 Away",112,107,NULL,NULL,Final/OT,NULL,21,27,19,31,14,25,21,23,29,9,NBA
33,170321001,1997,"Fri, Mar 21",Atlanta Hawks,Dallas Mavericks,"46-22, 30-4 Home","22-44, 9-23 Away",93,72,NULL,NULL,Final,NULL,26,25,24,18,NULL,17,19,25,11,NULL,NBA
34,170325001,1997,"Tue, Mar 25",Atlanta Hawks,Portland Trail Blazers,"48-22, 31-4 Home","41-30, 16-20 Away",96,89,NULL,NULL,Final,NULL,28,19,24,25,NULL,22,21,18,28,NULL,NBA
35,170329001,1997,"Sat, Mar 29",Atlanta Hawks,Sacramento Kings,"50-22, 33-4 Home","29-43, 11-27 Away",88,74,NULL,NULL,Final,NULL,30,12,20,26,NULL,16,29,12,17,NULL,NBA
36,170404001,1997,"Fri, Apr 4",Atlanta Hawks,Detroit Pistons,"51-23, 34-4 Home","51-23, 23-15 Away",103,89,NULL,NULL,Final,NULL,32,28,28,15,NULL,29,23,20,17,NULL,NBA
37,170409020,1997,"Wed, Apr 9",Philadelphia 76ers,Atlanta Hawks,"21-55, 11-28 Home","52-24, 18-19 Away",101,116,NULL,NULL,Final,NULL,15,24,25,37,NULL,27,39,24,26,NULL,NBA
