,ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
0,190207012,1999,"Sun, Feb 7",Los Angeles Clippers,Chicago Bulls,"0-2, 0-2 Home","1-1, 1-1 Away",84,89,NULL,NULL,Final,NULL,16,23,23,22,NULL,33,20,16,20,NULL,NBA
1,190211004,1999,"Thu, Feb 11",Chicago Bulls,New York Knicks,"1-3, 0-2 Home","2-2, 1-1 Away",68,73,NULL,NULL,Final,NULL,21,24,13,10,NULL,22,18,15,18,NULL,NBA
2,190216004,1999,"Tue, Feb 16",Chicago Bulls,Atlanta Hawks,"1-5, 0-4 Home","5-2, 2-2 Away",67,83,NULL,NULL,Final,NULL,23,13,21,10,NULL,23,24,21,15,NULL,NBA
3,190219027,1999,"Fri, Feb 19",Washington Wizards,Chicago Bulls,"3-4, 2-0 Home","1-7, 1-3 Away",93,91,NULL,NULL,Final,NULL,28,21,25,19,NULL,16,27,23,25,NULL,NBA
4,190222001,1999,"Mon, Feb 22",Atlanta Hawks,Chicago Bulls,"6-4, 3-2 Home","2-8, 2-4 Away",68,77,NULL,NULL,Final,NULL,14,23,15,16,NULL,29,23,10,15,NULL,NBA
5,190225004,1999,"Thu, Feb 25",Chicago Bulls,Philadelphia 76ers,"2-10, 0-6 Home","7-5, 3-1 Away",80,98,NULL,NULL,Final,CSN,17,19,18,26,NULL,18,28,24,28,NULL,NBA
6,190228028,1999,"Sun, Feb 28",Toronto Raptors,Chicago Bulls,"4-8, 3-3 Home","4-10, 3-4 Away",88,90,NULL,NULL,Final/OT,NULL,24,19,15,23,7,25,16,31,9,9,NBA
7,190303020,1999,"Wed, Mar 3",Philadelphia 76ers,Chicago Bulls,"10-5, 5-4 Home","4-12, 3-5 Away",102,86,NULL,NULL,Final,CSN,25,24,27,26,NULL,17,18,20,31,NULL,NBA
8,190309004,1999,"Tue, Mar 9",Chicago Bulls,New Jersey Nets,"5-13, 2-7 Home","3-14, 1-8 Away",103,87,NULL,NULL,Final,NULL,29,25,30,19,NULL,28,21,24,14,NULL,NBA
9,190312004,1999,"Fri, Mar 12",Chicago Bulls,New York Knicks,"6-14, 3-8 Home","11-9, 2-7 Away",76,63,NULL,NULL,Final,NULL,29,18,16,13,NULL,17,5,11,30,NULL,NBA
10,190317019,1999,"Wed, Mar 17",Orlando Magic,Chicago Bulls,"17-7, 12-1 Home","6-16, 3-7 Away",103,94,NULL,NULL,Final,NULL,23,34,18,28,NULL,25,18,25,26,NULL,NBA
11,190319011,1999,"Fri, Mar 19",Indiana Pacers,Chicago Bulls,"16-7, 10-3 Home","7-17, 3-8 Away",96,87,NULL,NULL,Final,NULL,22,22,23,29,NULL,27,17,25,18,NULL,NBA
