,Unnamed: 0,ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
0,0,400578309,2014,"Thu, Oct 30",Minnesota Timberwolves,Detroit Pistons,"1-1, 1-0 Home","0-2, 0-2 Away",97,91,,,Final,,21,24,30,22,,21,23,21,26,,NBA
1,1,400578352,2014,"Wed, Nov 5",Brooklyn Nets,Minnesota Timberwolves,"2-2, 1-1 Home","2-2, 1-1 Away",91,98,,,Final,,21,27,18,25,,24,23,25,26,,NBA
2,2,400578377,2014,"Sat, Nov 8",Miami Heat,Minnesota Timberwolves,"4-2, 3-1 Home","2-4, 1-3 Away",102,92,,,Final,,29,24,27,22,,13,28,28,23,,NBA
3,3,400578420,2014,"Fri, Nov 14",New Orleans Pelicans,Minnesota Timberwolves,"5-3, 4-1 Home","2-6, 1-4 Away",139,91,,,Final,,43,37,38,21,,19,25,28,19,,NBA
4,4,400578459,2014,"Wed, Nov 19",Minnesota Timberwolves,New York Knicks,"3-7, 2-2 Home","3-10, 1-5 Away",115,99,,,Final,,27,37,29,22,,25,26,22,26,,NBA
5,5,400578481,2014,"Sat, Nov 22",Minnesota Timberwolves,Sacramento Kings,"3-9, 2-4 Home","8-5, 4-3 Away",101,113,,,Final,,24,28,25,24,,21,27,36,29,,NBA
6,6,400578526,2014,"Fri, Nov 28",Los Angeles Lakers,Minnesota Timberwolves,"3-13, 1-8 Home","4-10, 2-5 Away",119,120,,,Final,,30,28,38,23,,23,31,39,27,,NBA
7,7,400578544,2014,"Mon, Dec 1",LA Clippers,Minnesota Timberwolves,"12-5, 5-3 Home","4-12, 2-7 Away",127,101,,,Final,,31,34,36,26,,34,16,18,33,,NBA
8,8,400578575,2014,"Fri, Dec 5",Minnesota Timberwolves,Houston Rockets,"4-14, 2-7 Home","15-4, 8-1 Away",112,114,,,Final/OT,,24,33,17,31,7.0,33,22,28,22,9.0,NBA
9,9,400578597,2014,"Mon, Dec 8",Minnesota Timberwolves,Golden State Warriors,"4-16, 2-8 Home","18-2, 11-1 Away",86,102,,,Final,,20,19,24,23,,25,23,31,23,,NBA
10,10,400578627,2014,"Fri, Dec 12",Minnesota Timberwolves,Oklahoma City Thunder,"5-17, 3-9 Home","10-13, 4-8 Away",92,111,,,Final,,21,28,28,15,,39,31,23,18,,NBA
11,11,400578655,2014,"Tue, Dec 16",Washington Wizards,Minnesota Timberwolves,"18-6, 13-2 Home","5-19, 2-9 Away",109,95,,,Final,,27,19,28,35,,16,20,33,26,,NBA
12,12,400578699,2014,"Sun, Dec 21",Minnesota Timberwolves,Indiana Pacers,"5-21, 3-11 Home","9-19, 4-11 Away",96,100,,,Final,,17,21,30,28,,20,32,23,25,,NBA
13,13,400578732,2014,"Fri, Dec 26",Denver Nuggets,Minnesota Timberwolves,"13-17, 9-6 Home","5-23, 2-12 Away",106,102,,,Final,,26,27,26,27,,27,20,27,28,,NBA
14,14,400578764,2014,"Tue, Dec 30",Utah Jazz,Minnesota Timberwolves,"11-21, 6-9 Home","5-25, 2-14 Away",100,94,,,Final,,21,24,27,28,,27,17,28,22,,NBA
15,15,400578790,2014,"Sat, Jan 3",Minnesota Timberwolves,Utah Jazz,"5-27, 3-13 Home","12-22, 6-12 Away",89,101,,,Final,,21,20,20,28,,20,27,30,24,,NBA
16,16,400578823,2014,"Wed, Jan 7",Minnesota Timberwolves,Phoenix Suns,"5-29, 3-15 Home","22-16, 13-9 Away",111,113,,,Final,ESPN,25,23,30,33,,20,25,26,42,,NBA
17,17,400578848,2014,"Sat, Jan 10",Minnesota Timberwolves,San Antonio Spurs,"5-31, 3-16 Home","23-15, 10-9 Away",93,108,,,Final,,18,25,21,29,,27,31,26,24,,NBA
18,18,400578888,2014,"Fri, Jan 16",Phoenix Suns,Minnesota Timberwolves,"24-18, 11-7 Home","6-32, 3-16 Away",110,99,,,Final,,32,27,27,24,,27,29,19,24,,NBA
19,19,400578903,2014,"Mon, Jan 19",Charlotte Hornets,Minnesota Timberwolves,"17-25, 10-13 Home","7-33, 4-17 Away",105,80,,,Final,,23,27,33,22,,20,13,19,28,,NBA
20,20,400578939,2014,"Fri, Jan 23",Minnesota Timberwolves,New Orleans Pelicans,"7-35, 3-18 Home","22-21, 9-16 Away",84,92,,,Final,,20,24,19,21,,24,21,24,23,,NBA
21,21,400578964,2014,"Mon, Jan 26",Oklahoma City Thunder,Minnesota Timberwolves,"23-22, 13-7 Home","7-37, 4-19 Away",92,84,,,Final,NBATV,25,23,17,27,,19,21,16,28,,NBA
22,22,400578988,2014,"Fri, Jan 30",Philadelphia 76ers,Minnesota Timberwolves,"10-37, 5-18 Home","8-38, 4-20 Away",103,94,,,Final,,26,35,17,25,,28,31,18,17,,NBA
