,ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
0,400899476,2017,"Sat, Oct 29",Philadelphia 76ers,Atlanta Hawks,"0-2, 0-2 Home","2-0, 1-0 Away",72,104,NULL,NULL,Final,NULL,24,15,19,14,NULL,29,24,21,30,NULL,NBA
1,400899506,2017,"Wed, Nov 2",Charlotte Hornets,Philadelphia 76ers,"3-1, 1-1 Home","0-4, 0-1 Away",109,93,NULL,NULL,Final,NULL,26,20,39,24,NULL,26,27,20,20,NULL,NBA
2,400899543,2017,"Mon, Nov 7",Philadelphia 76ers,Utah Jazz,"0-6, 0-5 Home","5-3, 3-2 Away",84,109,NULL,NULL,Final,NBATV,24,19,18,23,NULL,30,22,25,32,NULL,NBA
3,400899571,2017,"Fri, Nov 11",Philadelphia 76ers,Indiana Pacers,"1-7, 1-5 Home","4-5, 0-5 Away",109,105,NULL,NULL,Final/OT,NULL,21,30,25,24,9,27,25,20,28,5,NBA
4,400899599,2017,"Mon, Nov 14",Houston Rockets,Philadelphia 76ers,"6-4, 2-1 Home","1-9, 0-4 Away",115,88,NULL,NULL,Final,NBATV,38,27,28,22,NULL,26,26,16,20,NULL,NBA
5,400899622,2017,"Thu, Nov 17",Minnesota Timberwolves,Philadelphia 76ers,"4-7, 3-3 Home","2-10, 0-5 Away",110,86,NULL,NULL,Final,TNT,27,34,24,25,NULL,18,15,25,28,NULL,NBA
6,400899649,2017,"Mon, Nov 21",Philadelphia 76ers,Miami Heat,"4-10, 4-5 Home","4-9, 2-4 Away",101,94,NULL,NULL,Final,NULL,24,22,32,23,NULL,30,15,31,18,NULL,NBA
7,400899679,2017,"Fri, Nov 25",Philadelphia 76ers,Chicago Bulls,"4-12, 4-7 Home","10-6, 6-5 Away",89,105,NULL,NULL,Final,NULL,19,28,17,25,NULL,23,34,33,15,NULL,NBA
8,400899704,2017,"Mon, Nov 28",Toronto Raptors,Philadelphia 76ers,"11-6, 5-3 Home","4-14, 0-6 Away",122,95,NULL,NULL,Final,NULL,33,27,31,31,NULL,26,23,22,24,NULL,NBA
9,400899443,2017,"Fri, Dec 2",Philadelphia 76ers,Orlando Magic,"4-15, 4-9 Home","8-12, 4-6 Away",88,105,NULL,NULL,Final,NULL,14,28,19,27,NULL,21,29,32,23,NULL,NBA
10,400899746,2017,"Mon, Dec 5",Philadelphia 76ers,Denver Nuggets,"4-17, 4-11 Home","8-13, 5-6 Away",98,106,NULL,NULL,Final,NULL,27,26,17,28,NULL,18,33,23,32,NULL,NBA
11,400899776,2017,"Thu, Dec 8",New Orleans Pelicans,Philadelphia 76ers,"7-16, 5-8 Home","5-18, 1-7 Away",88,99,NULL,NULL,Final,NULL,31,26,12,19,NULL,26,26,19,28,NULL,NBA
12,400899816,2017,"Wed, Dec 14",Philadelphia 76ers,Toronto Raptors,"6-19, 4-12 Home","18-7, 8-3 Away",114,123,NULL,NULL,Final,NULL,25,29,20,40,NULL,22,38,32,31,NULL,NBA
13,400899850,2017,"Sun, Dec 18",Philadelphia 76ers,Brooklyn Nets,"7-20, 5-13 Home","7-19, 1-12 Away",108,107,NULL,NULL,Final,NULL,30,24,29,25,NULL,32,25,29,21,NULL,NBA
14,400899895,2017,"Fri, Dec 23",Phoenix Suns,Philadelphia 76ers,"9-21, 5-9 Home","7-22, 2-8 Away",123,116,NULL,NULL,Final,NULL,24,29,28,42,NULL,31,35,19,31,NULL,NBA
15,400899931,2017,"Thu, Dec 29",Utah Jazz,Philadelphia 76ers,"20-13, 11-7 Home","7-24, 2-10 Away",100,83,NULL,NULL,Final,NULL,22,27,21,30,NULL,24,27,23,9,NULL,NBA
16,400899421,2017,"Tue, Jan 3",Philadelphia 76ers,Minnesota Timberwolves,"9-24, 6-14 Home","11-24, 5-12 Away",93,91,NULL,NULL,Final,NULL,29,28,22,14,NULL,16,26,26,23,NULL,NBA
17,400899981,2017,"Sun, Jan 8",Brooklyn Nets,Philadelphia 76ers,"8-28, 7-11 Home","10-25, 4-11 Away",95,105,NULL,NULL,Final,NULL,27,30,16,22,NULL,24,22,32,27,NULL,NBA
18,400900014,2017,"Fri, Jan 13",Philadelphia 76ers,Charlotte Hornets,"12-25, 8-14 Home","20-20, 8-13 Away",102,93,NULL,NULL,Final,NULL,26,26,24,26,NULL,21,24,26,22,NULL,NBA
19,400900036,2017,"Mon, Jan 16",Milwaukee Bucks,Philadelphia 76ers,"20-20, 12-10 Home","13-26, 5-12 Away",104,113,NULL,NULL,Final,NULL,24,30,24,26,NULL,24,22,35,32,NULL,NBA
20,400900062,2017,"Fri, Jan 20",Philadelphia 76ers,Portland Trail Blazers,"15-26, 10-14 Home","18-27, 7-18 Away",93,92,NULL,NULL,Final,NULL,22,21,27,23,NULL,33,23,15,21,NULL,NBA
21,400900096,2017,"Tue, Jan 24",Philadelphia 76ers,LA Clippers,"16-27, 11-14 Home","30-17, 13-10 Away",121,110,NULL,NULL,Final,NULL,27,32,30,32,NULL,29,39,21,21,NULL,NBA
22,400900115,2017,"Fri, Jan 27",Philadelphia 76ers,Houston Rockets,"17-28, 11-15 Home","35-15, 18-10 Away",118,123,NULL,NULL,Final,ESPN,28,33,21,36,NULL,31,30,33,29,NULL,NBA
23,400928501,2017,"Mon, Jan 30",Philadelphia 76ers,Sacramento Kings,"18-29, 12-15 Home","19-29, 11-16 Away",122,119,NULL,NULL,Final,NULL,21,27,42,32,NULL,35,20,30,34,NULL,NBA
24,400899470,2017,"Thu, Feb 2",San Antonio Spurs,Philadelphia 76ers,"38-11, 18-6 Home","18-31, 6-16 Away",102,86,NULL,NULL,Final,NULL,24,24,31,23,NULL,21,32,20,13,NULL,NBA
25,400900178,2017,"Mon, Feb 6",Detroit Pistons,Philadelphia 76ers,"24-28, 15-10 Home","18-33, 6-18 Away",113,96,NULL,NULL,Final,NULL,24,31,34,24,NULL,27,19,21,29,NULL,NBA
26,400900200,2017,"Thu, Feb 9",Orlando Magic,Philadelphia 76ers,"20-35, 9-17 Home","19-34, 7-18 Away",111,112,NULL,NULL,Final,NULL,25,23,36,27,NULL,20,35,30,27,NULL,NBA
27,400900226,2017,"Mon, Feb 13",Charlotte Hornets,Philadelphia 76ers,"24-31, 16-13 Home","21-34, 8-18 Away",99,105,NULL,NULL,Final,NULL,22,25,25,27,NULL,31,17,32,25,NULL,NBA
28,400900262,2017,"Fri, Feb 24",Philadelphia 76ers,Washington Wizards,"22-35, 14-16 Home","34-22, 10-15 Away",120,112,NULL,NULL,Final,NULL,26,35,34,25,NULL,28,21,32,31,NULL,NBA
29,400900289,2017,"Mon, Feb 27",Philadelphia 76ers,Golden State Warriors,"22-37, 14-17 Home","50-9, 24-6 Away",108,119,NULL,NULL,Final,NULL,31,25,24,28,NULL,32,27,34,26,NULL,NBA
30,400900304,2017,"Fri, Mar 3",Philadelphia 76ers,New York Knicks,"23-38, 15-17 Home","25-37, 10-21 Away",105,102,NULL,NULL,Final,NULL,29,34,16,26,NULL,35,18,28,21,NULL,NBA
31,400900329,2017,"Mon, Mar 6",Philadelphia 76ers,Milwaukee Bucks,"23-40, 15-19 Home","29-33, 12-17 Away",98,112,NULL,NULL,Final,NULL,19,24,25,30,NULL,27,33,31,21,NULL,NBA
32,400900369,2017,"Sat, Mar 11",LA Clippers,Philadelphia 76ers,"40-26, 21-10 Home","23-42, 8-23 Away",112,100,NULL,NULL,Final,NULL,32,24,19,37,NULL,30,27,22,21,NULL,NBA
33,400900398,2017,"Tue, Mar 14",Golden State Warriors,Philadelphia 76ers,"53-14, 27-4 Home","24-43, 9-24 Away",106,104,NULL,NULL,Final,NBATV,35,23,20,28,NULL,34,25,31,14,NULL,NBA
34,400900432,2017,"Sun, Mar 19",Philadelphia 76ers,Boston Celtics,"26-43, 17-19 Home","44-26, 21-17 Away",105,99,NULL,NULL,Final,NULL,25,21,30,29,NULL,23,28,28,20,NULL,NBA
35,400900457,2017,"Wed, Mar 22",Oklahoma City Thunder,Philadelphia 76ers,"41-30, 27-10 Home","26-45, 9-26 Away",122,97,NULL,NULL,Final,NULL,29,34,32,27,NULL,22,28,20,27,NULL,NBA
36,400900487,2017,"Sun, Mar 26",Indiana Pacers,Philadelphia 76ers,"37-36, 26-11 Home","27-46, 10-27 Away",107,94,NULL,NULL,Final,NULL,27,24,30,26,NULL,18,27,24,25,NULL,NBA
37,400900506,2017,"Wed, Mar 29",Philadelphia 76ers,Atlanta Hawks,"28-47, 17-20 Home","39-36, 19-18 Away",92,99,NULL,NULL,Final,NULL,18,25,27,22,NULL,25,27,27,20,NULL,NBA
38,400899440,2017,"Sun, Apr 2",Toronto Raptors,Philadelphia 76ers,"47-30, 27-13 Home","28-49, 11-29 Away",113,105,NULL,NULL,Final,NULL,28,31,27,27,NULL,29,20,27,29,NULL,NBA
39,400900551,2017,"Thu, Apr 6",Philadelphia 76ers,Chicago Bulls,"28-51, 17-22 Home","39-40, 16-24 Away",90,102,NULL,NULL,Final,NULL,17,30,20,23,NULL,27,26,27,22,NULL,NBA
40,400900581,2017,"Mon, Apr 10",Philadelphia 76ers,Indiana Pacers,"28-53, 17-24 Home","41-40, 13-28 Away",111,120,NULL,NULL,Final,NULL,20,34,25,32,NULL,35,29,26,30,NULL,NBA
41,400899389,2017,"Wed, Oct 26",Philadelphia 76ers,Oklahoma City Thunder,"0-1, 0-1 Home","1-0, 1-0 Away",97,103,NULL,NULL,Final,ESPN,24,27,24,22,NULL,23,28,18,34,NULL,NBA
42,400899496,2017,"Tue, Nov 1",Philadelphia 76ers,Orlando Magic,"0-3, 0-3 Home","1-3, 1-2 Away",101,103,NULL,NULL,Final,NULL,29,28,30,14,NULL,24,19,41,19,NULL,NBA
43,400899530,2017,"Sat, Nov 5",Philadelphia 76ers,Cleveland Cavaliers,"0-5, 0-4 Home","6-0, 2-0 Away",101,102,NULL,NULL,Final,NULL,19,27,34,21,NULL,34,23,25,20,NULL,NBA
44,400899560,2017,"Wed, Nov 9",Indiana Pacers,Philadelphia 76ers,"4-4, 4-0 Home","0-7, 0-2 Away",122,115,NULL,NULL,Final/OT,NULL,31,23,30,25,13,26,34,24,25,6,NBA
45,400899582,2017,"Sat, Nov 12",Atlanta Hawks,Philadelphia 76ers,"7-2, 5-1 Home","1-8, 0-3 Away",117,96,NULL,NULL,Final,NULL,23,36,28,30,NULL,27,21,30,18,NULL,NBA
46,400899608,2017,"Wed, Nov 16",Philadelphia 76ers,Washington Wizards,"2-9, 2-5 Home","2-8, 0-5 Away",109,102,NULL,NULL,Final,NULL,29,30,29,21,NULL,15,33,28,26,NULL,NBA
47,400899639,2017,"Sat, Nov 19",Philadelphia 76ers,Phoenix Suns,"3-10, 3-5 Home","4-10, 2-7 Away",120,105,NULL,NULL,Final,NULL,32,26,34,28,NULL,19,29,27,30,NULL,NBA
48,400899662,2017,"Wed, Nov 23",Philadelphia 76ers,Memphis Grizzlies,"4-11, 4-6 Home","10-5, 5-3 Away",99,104,NULL,NULL,Final/2OT,NULL,26,25,20,15,13,20,23,20,23,18,NBA
49,400899695,2017,"Sun, Nov 27",Philadelphia 76ers,Cleveland Cavaliers,"4-13, 4-8 Home","13-2, 4-1 Away",108,112,NULL,NULL,Final,NULL,30,28,23,27,NULL,24,28,25,35,NULL,NBA
50,NULL,2017,"Wed, Nov 30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,U,L,L,NULL,N,U,L,L,NULL,NBA
51,400899736,2017,"Sat, Dec 3",Philadelphia 76ers,Boston Celtics,"4-16, 4-10 Home","12-8, 7-4 Away",106,107,NULL,NULL,Final,NULL,30,23,21,32,NULL,22,23,29,33,NULL,NBA
52,400899760,2017,"Tue, Dec 6",Memphis Grizzlies,Philadelphia 76ers,"15-8, 8-4 Home","4-18, 0-7 Away",96,91,NULL,NULL,Final,NULL,28,19,29,20,NULL,20,23,34,14,NULL,NBA
53,400899798,2017,"Sun, Dec 11",Detroit Pistons,Philadelphia 76ers,"13-13, 8-4 Home","6-18, 2-7 Away",79,97,NULL,NULL,Final,NULL,12,23,29,15,NULL,32,26,22,17,NULL,NBA
54,400899838,2017,"Fri, Dec 16",Philadelphia 76ers,Los Angeles Lakers,"6-20, 4-13 Home","11-18, 5-11 Away",89,100,NULL,NULL,Final,ESPN,18,22,24,25,NULL,30,23,21,26,NULL,NBA
55,400899860,2017,"Tue, Dec 20",Philadelphia 76ers,New Orleans Pelicans,"7-21, 5-14 Home","10-20, 4-11 Away",93,108,NULL,NULL,Final,NULL,23,21,25,24,NULL,15,42,27,24,NULL,NBA
56,400899913,2017,"Mon, Dec 26",Sacramento Kings,Philadelphia 76ers,"14-17, 7-6 Home","7-23, 2-9 Away",102,100,NULL,NULL,Final,NULL,24,27,19,32,NULL,23,24,30,23,NULL,NBA
57,400899942,2017,"Fri, Dec 30",Denver Nuggets,Philadelphia 76ers,"14-19, 7-9 Home","8-24, 3-10 Away",122,124,NULL,NULL,Final,NULL,28,32,27,35,NULL,30,30,31,33,NULL,NBA
58,400899967,2017,"Fri, Jan 6",Boston Celtics,Philadelphia 76ers,"22-14, 10-6 Home","9-25, 3-11 Away",110,106,NULL,NULL,Final,NULL,25,26,27,32,NULL,23,39,18,26,NULL,NBA
59,400900001,2017,"Wed, Jan 11",Philadelphia 76ers,New York Knicks,"11-25, 7-14 Home","17-22, 6-14 Away",98,97,NULL,NULL,Final,NULL,27,20,24,27,NULL,32,20,23,22,NULL,NBA
60,400900024,2017,"Sat, Jan 14",Washington Wizards,Philadelphia 76ers,"20-19, 16-6 Home","12-26, 4-12 Away",109,93,NULL,NULL,Final,NULL,21,35,30,23,NULL,30,26,15,22,NULL,NBA
61,400900048,2017,"Wed, Jan 18",Philadelphia 76ers,Toronto Raptors,"14-26, 9-14 Home","28-14, 13-8 Away",94,89,NULL,NULL,Final,NULL,25,21,22,26,NULL,21,23,21,24,NULL,NBA
62,400900074,2017,"Sat, Jan 21",Atlanta Hawks,Philadelphia 76ers,"26-18, 13-8 Home","15-27, 5-13 Away",110,93,NULL,NULL,Final,NULL,25,37,28,20,NULL,25,29,23,16,NULL,NBA
