,ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
0,191103022,2000,"Wed, Nov 3",Portland Trail Blazers,Los Angeles Clippers,"2-0, 1-0 Home","0-2, 0-1 Away",121,98,NULL,NULL,Final,NULL,30,29,33,29,NULL,20,31,27,20,NULL,NBA
1,191106022,2000,"Sat, Nov 6",Portland Trail Blazers,Los Angeles Lakers,"4-0, 3-0 Home","2-1, 1-1 Away",97,82,NULL,NULL,Final,NULL,25,30,21,21,NULL,24,21,19,18,NULL,NBA
2,191112007,2000,"Fri, Nov 12",Denver Nuggets,Portland Trail Blazers,"2-3, 2-1 Home","5-1, 2-1 Away",78,93,NULL,NULL,Final,NULL,18,17,26,17,NULL,23,30,16,24,NULL,NBA
3,191116014,2000,"Tue, Nov 16",Miami Heat,Portland Trail Blazers,"6-2, 3-1 Home","7-1, 3-1 Away",96,101,NULL,NULL,Final,NULL,31,20,20,25,NULL,23,31,20,27,NULL,NBA
4,191119020,2000,"Fri, Nov 19",Philadelphia 76ers,Portland Trail Blazers,"4-6, 2-2 Home","9-1, 5-1 Away",91,97,NULL,NULL,Final,CSN,21,20,27,23,NULL,29,24,23,21,NULL,NBA
5,191123005,2000,"Tue, Nov 23",Cleveland Cavaliers,Portland Trail Blazers,"5-5, 4-2 Home","10-2, 6-2 Away",103,100,NULL,NULL,Final,NULL,32,19,23,29,NULL,19,22,26,33,NULL,NBA
6,191126022,2000,"Fri, Nov 26",Portland Trail Blazers,Houston Rockets,"12-2, 5-0 Home","3-11, 2-5 Away",91,88,NULL,NULL,Final/OT,NULL,25,24,20,11,11,15,29,17,19,8,NBA
7,191129022,2000,"Mon, Nov 29",Portland Trail Blazers,Indiana Pacers,"13-3, 5-1 Home","8-7, 4-5 Away",91,93,NULL,NULL,Final,NULL,26,18,28,19,NULL,23,25,24,21,NULL,NBA
8,191203013,2000,"Fri, Dec 3",Los Angeles Lakers,Portland Trail Blazers,"13-4, 8-2 Home","14-4, 8-3 Away",93,80,NULL,NULL,Final,NULL,18,19,25,31,NULL,25,11,23,21,NULL,NBA
9,191207022,2000,"Tue, Dec 7",Portland Trail Blazers,Miami Heat,"15-5, 6-2 Home","14-4, 6-3 Away",76,86,NULL,NULL,Final,NULL,25,18,20,13,NULL,24,23,20,19,NULL,NBA
10,191211023,2000,"Sat, Dec 11",Sacramento Kings,Portland Trail Blazers,"12-6, 8-2 Home","17-5, 10-3 Away",96,101,NULL,NULL,Final,NULL,31,19,24,22,NULL,23,29,26,23,NULL,NBA
11,191217022,2000,"Fri, Dec 17",Portland Trail Blazers,Phoenix Suns,"18-6, 7-3 Home","15-7, 4-5 Away",102,110,NULL,NULL,Final,NULL,27,26,23,26,NULL,19,32,36,23,NULL,NBA
12,191221010,2000,"Tue, Dec 21",Houston Rockets,Portland Trail Blazers,"8-18, 4-8 Home","19-7, 12-4 Away",79,89,NULL,NULL,Final,NULL,24,21,23,11,NULL,27,19,26,17,NULL,NBA
13,191228022,2000,"Tue, Dec 28",Portland Trail Blazers,Seattle SuperSonics,"21-7, 9-3 Home","18-11, 8-7 Away",94,89,NULL,NULL,Final,NULL,27,24,20,23,NULL,22,31,16,20,NULL,NBA
14,200103004,2000,"Mon, Jan 3",Chicago Bulls,Portland Trail Blazers,"2-26, 2-11 Home","23-7, 13-4 Away",63,88,NULL,NULL,Final,NULL,12,16,13,22,NULL,24,23,22,19,NULL,NBA
15,200106016,2000,"Thu, Jan 6",Minnesota Timberwolves,Portland Trail Blazers,"15-14, 10-6 Home","24-8, 14-5 Away",98,96,NULL,NULL,Final,NULL,20,27,23,28,NULL,27,22,26,21,NULL,NBA
16,200110022,2000,"Mon, Jan 10",Portland Trail Blazers,Dallas Mavericks,"26-8, 12-3 Home","10-24, 4-15 Away",107,94,NULL,NULL,Final,NULL,25,21,32,29,NULL,22,23,22,27,NULL,NBA
17,200114021,2000,"Fri, Jan 14",Phoenix Suns,Portland Trail Blazers,"20-15, 15-5 Home","28-8, 15-5 Away",83,105,NULL,NULL,Final,NULL,27,25,18,13,NULL,14,29,29,33,NULL,NBA
18,200118010,2000,"Tue, Jan 18",Houston Rockets,Portland Trail Blazers,"14-24, 7-11 Home","28-10, 15-7 Away",90,89,NULL,NULL,Final,NULL,22,21,30,17,NULL,23,24,24,18,NULL,NBA
