,ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
0,201101005,2001,"Wed, Nov 1",Cleveland Cavaliers,Sacramento Kings,"2-0, 1-0 Home","1-1, 1-1 Away",102,100,NULL,NULL,Final/2OT,NULL,27,23,19,19,14,23,23,16,26,12,NBA
1,201104016,2001,"Sat, Nov 4",Minnesota Timberwolves,Sacramento Kings,"2-1, 1-0 Home","2-2, 2-2 Away",99,91,NULL,NULL,Final,NULL,32,31,16,20,NULL,23,21,26,21,NULL,NBA
2,201108023,2001,"Wed, Nov 8",Sacramento Kings,Golden State Warriors,"4-2, 2-0 Home","1-3, 0-2 Away",115,84,NULL,NULL,Final,NULL,31,34,27,23,NULL,14,24,28,18,NULL,NBA
3,201112023,2001,"Sun, Nov 12",Sacramento Kings,Dallas Mavericks,"6-2, 3-0 Home","4-3, 1-1 Away",109,84,NULL,NULL,Final,NULL,29,25,28,27,NULL,24,17,18,25,NULL,NBA
4,201116023,2001,"Thu, Nov 16",Sacramento Kings,Los Angeles Lakers,"7-3, 4-1 Home","6-3, 3-2 Away",110,112,NULL,NULL,Final/OT,NULL,30,27,25,20,8,30,23,19,30,10,NBA
5,201125023,2001,"Sat, Nov 25",Sacramento Kings,Seattle SuperSonics,"9-3, 6-1 Home","6-9, 3-7 Away",125,101,NULL,NULL,Final,NULL,31,23,35,36,NULL,18,35,24,24,NULL,NBA
6,201129024,2001,"Wed, Nov 29",San Antonio Spurs,Sacramento Kings,"10-4, 8-0 Home","10-4, 4-3 Away",82,79,NULL,NULL,Final,NULL,19,21,24,18,NULL,20,17,22,20,NULL,NBA
7,201205023,2001,"Tue, Dec 5",Sacramento Kings,San Antonio Spurs,"12-4, 8-1 Home","11-6, 3-6 Away",81,75,NULL,NULL,Final,NULL,22,20,20,19,NULL,22,26,14,13,NULL,NBA
8,201210023,2001,"Sun, Dec 10",Sacramento Kings,Miami Heat,"14-4, 10-1 Home","10-11, 4-6 Away",101,97,NULL,NULL,Final,NULL,17,33,30,21,NULL,40,19,16,22,NULL,NBA
9,201213003,2001,"Wed, Dec 13",Charlotte Hornets,Sacramento Kings,"14-9, 8-3 Home","14-6, 4-5 Away",101,90,NULL,NULL,Final,NULL,29,25,29,18,NULL,21,22,21,26,NULL,NBA
