,ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
0,311228001,2012,"Wed, Dec 28",Atlanta Hawks,Washington Wizards,"2-0, 1-0 Home","0-2, 0-1 Away",101,83,NULL,NULL,Final,NULL,26,29,30,16,NULL,17,25,22,19,NULL,NBA
1,320101027,2012,"Sun, Jan 1",Washington Wizards,Boston Celtics,"0-4, 0-2 Home","2-3, 1-3 Away",86,94,NULL,NULL,Final,NBATV,17,17,26,26,NULL,28,23,22,21,NULL,NBA
2,320104019,2012,"Wed, Jan 4",Orlando Magic,Washington Wizards,"5-2, 4-0 Home","0-6, 0-4 Away",103,85,NULL,NULL,Final,NBATV,31,25,27,20,NULL,14,24,22,25,NULL,NBA
3,320108027,2012,"Sun, Jan 8",Washington Wizards,Minnesota Timberwolves,"0-8, 0-4 Home","3-5, 1-1 Away",72,93,NULL,NULL,Final,NULL,17,17,26,12,NULL,20,28,27,18,NULL,NBA
4,320111004,2012,"Wed, Jan 11",Chicago Bulls,Washington Wizards,"10-2, 4-0 Home","1-9, 0-5 Away",78,64,NULL,NULL,Final,NULL,17,28,12,21,NULL,15,22,16,11,NULL,NBA
5,320114027,2012,"Sat, Jan 14",Washington Wizards,Philadelphia 76ers,"1-11, 1-5 Home","9-3, 4-3 Away",90,103,NULL,NULL,Final,CSN,26,14,20,30,NULL,23,29,25,26,NULL,NBA
6,320118027,2012,"Wed, Jan 18",Washington Wizards,Oklahoma City Thunder,"2-12, 2-6 Home","12-3, 6-2 Away",105,102,NULL,NULL,Final,NULL,18,28,26,33,NULL,22,29,25,26,NULL,NBA
7,320122027,2012,"Sun, Jan 22",Washington Wizards,Boston Celtics,"2-14, 2-8 Home","6-9, 2-4 Away",94,100,NULL,NULL,Final,NBATV,21,19,29,25,NULL,20,29,24,27,NULL,NBA
8,320125027,2012,"Wed, Jan 25",Washington Wizards,Charlotte Bobcats,"3-15, 3-8 Home","3-16, 1-9 Away",92,75,NULL,NULL,Final,NULL,31,17,23,21,NULL,17,11,21,26,NULL,NBA
9,320128030,2012,"Sat, Jan 28",Charlotte Bobcats,Washington Wizards,"3-18, 2-8 Home","4-16, 1-8 Away",99,102,NULL,NULL,Final,NULL,26,22,30,21,NULL,26,32,25,19,NULL,NBA
10,320201019,2012,"Wed, Feb 1",Orlando Magic,Washington Wizards,"13-9, 7-4 Home","4-18, 1-9 Away",109,103,NULL,NULL,Final,NULL,25,22,22,40,NULL,20,23,25,35,NULL,NBA
11,320204027,2012,"Sat, Feb 4",Washington Wizards,LA Clippers,"4-20, 3-10 Home","14-7, 4-4 Away",81,107,NULL,NULL,Final,NULL,17,17,19,28,NULL,28,30,29,20,NULL,NBA
12,320208027,2012,"Wed, Feb 8",Washington Wizards,New York Knicks,"5-21, 4-11 Home","11-15, 5-8 Away",93,107,NULL,NULL,Final,NBATV,23,23,22,25,NULL,17,35,25,30,NULL,NBA
