,ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
0,141108005,1995,"Tue, Nov 8",Cleveland Cavaliers,Houston Rockets,"1-1, 0-1 Home","3-0, 2-0 Away",98,100,NULL,NULL,Final,NULL,14,34,20,30,NULL,27,19,30,24,NULL,NBA
1,141112005,1995,"Sat, Nov 12",Cleveland Cavaliers,Indiana Pacers,"2-2, 1-2 Home","3-2, 2-1 Away",86,93,NULL,NULL,Final,NULL,16,20,24,26,NULL,30,23,22,18,NULL,NBA
2,141117022,1995,"Thu, Nov 17",Portland Trail Blazers,Cleveland Cavaliers,"3-2, 1-2 Home","4-2, 2-0 Away",80,81,NULL,NULL,Final,NULL,25,14,15,26,NULL,16,25,19,21,NULL,NBA
3,141120023,1995,"Sun, Nov 20",Sacramento Kings,Cleveland Cavaliers,"4-3, 3-1 Home","4-4, 2-2 Away",96,88,NULL,NULL,Final,NULL,17,30,24,25,NULL,26,20,28,14,NULL,NBA
4,141123014,1995,"Wed, Nov 23",Miami Heat,Cleveland Cavaliers,"2-7, 2-2 Home","5-5, 2-3 Away",100,87,NULL,NULL,Final,NULL,26,31,24,19,NULL,25,25,15,22,NULL,NBA
5,141126005,1995,"Sat, Nov 26",Cleveland Cavaliers,Golden State Warriors,"7-5, 4-2 Home","7-4, 3-3 Away",101,87,NULL,NULL,Final,NULL,25,27,26,23,NULL,18,22,25,22,NULL,NBA
6,141201015,1995,"Thu, Dec 1",Milwaukee Bucks,Cleveland Cavaliers,"5-8, 2-5 Home","9-5, 4-3 Away",87,93,NULL,NULL,Final,NULL,31,26,14,16,NULL,21,26,28,18,NULL,NBA
7,141206005,1995,"Tue, Dec 6",Cleveland Cavaliers,Orlando Magic,"9-7, 5-4 Home","12-3, 5-3 Away",97,114,NULL,NULL,Final,NULL,24,26,23,24,NULL,42,26,26,20,NULL,NBA
8,141209002,1995,"Fri, Dec 9",Boston Celtics,Cleveland Cavaliers,"8-10, 4-6 Home","10-8, 5-4 Away",89,96,NULL,NULL,Final,NULL,17,20,22,30,NULL,21,23,26,26,NULL,NBA
9,141213005,1995,"Tue, Dec 13",Cleveland Cavaliers,Indiana Pacers,"12-8, 7-4 Home","12-6, 6-5 Away",90,83,NULL,NULL,Final,NULL,22,24,20,24,NULL,24,18,25,16,NULL,NBA
10,141216020,1995,"Fri, Dec 16",Philadelphia 76ers,Cleveland Cavaliers,"8-13, 5-7 Home","14-8, 7-4 Away",80,84,NULL,NULL,Final,NULL,17,16,27,20,NULL,22,20,20,22,NULL,NBA
11,141222018,1995,"Thu, Dec 22",New York Knicks,Cleveland Cavaliers,"12-11, 7-4 Home","16-8, 9-4 Away",90,93,NULL,NULL,Final,NULL,25,25,17,23,NULL,12,28,22,31,NULL,NBA
12,141226005,1995,"Mon, Dec 26",Cleveland Cavaliers,Boston Celtics,"18-8, 9-4 Home","10-16, 5-9 Away",123,102,NULL,NULL,Final,NULL,31,34,31,27,NULL,24,26,24,28,NULL,NBA
13,141230005,1995,"Fri, Dec 30",Cleveland Cavaliers,Atlanta Hawks,"20-8, 11-4 Home","12-17, 5-10 Away",87,85,NULL,NULL,Final,NULL,19,23,27,18,NULL,18,21,20,26,NULL,NBA
14,150106005,1995,"Fri, Jan 6",Cleveland Cavaliers,New York Knicks,"20-10, 11-6 Home","17-12, 8-8 Away",93,103,NULL,NULL,Final,NULL,19,28,27,19,NULL,20,23,29,31,NULL,NBA
