,ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
0,401160656,2020,"Thu, Oct 24",Detroit Pistons,Atlanta Hawks,"1-1, 0-1 Home","1-0, 1-0 Away",100,117,DET -1.5,222,Final,NULL,32,31,18,19,NULL,38,22,31,26,NULL,NBA
1,401160683,2020,"Mon, Oct 28",Detroit Pistons,Indiana Pacers,"2-2, 1-2 Home","0-3, 0-2 Away",96,94,IND -1.5,214,Final,NULL,33,26,19,18,NULL,25,28,18,23,NULL,NBA
2,401160715,2020,"Fri, Nov 1",Chicago Bulls,Detroit Pistons,"2-4, 1-1 Home","2-4, 1-2 Away",112,106,CHI -4.0,216,Final,NULL,30,27,29,26,NULL,23,29,28,26,NULL,NBA
3,401160733,2020,"Mon, Nov 4",Washington Wizards,Detroit Pistons,"2-4, 1-2 Home","3-5, 1-3 Away",115,99,WSH -3.5,225,Final,NULL,31,32,30,22,NULL,30,31,17,21,NULL,NBA
4,401160758,2020,"Fri, Nov 8",Indiana Pacers,Detroit Pistons,"5-4, 4-1 Home","4-6, 1-4 Away",112,106,IND -6.0,210,Final,NULL,27,30,28,27,NULL,35,18,19,34,NULL,NBA
5,401160790,2020,"Tue, Nov 12",Miami Heat,Detroit Pistons,"7-3, 4-0 Home","4-8, 1-5 Away",117,108,MIA -8.5,215,Final,NULL,28,31,33,25,NULL,17,20,35,36,NULL,NBA
6,401160851,2020,"Wed, Nov 20",Chicago Bulls,Detroit Pistons,"5-10, 3-5 Home","4-10, 1-7 Away",109,89,DET -1.5,223,Final,NULL,30,29,25,25,NULL,30,25,16,18,NULL,NBA
7,401160875,2020,"Sat, Nov 23",Milwaukee Bucks,Detroit Pistons,"13-3, 5-1 Home","5-11, 1-8 Away",104,90,MIL -13.0,226,Final,NULL,27,27,23,27,NULL,24,23,22,21,NULL,NBA
8,401160896,2020,"Wed, Nov 27",Charlotte Hornets,Detroit Pistons,"7-12, 4-5 Home","6-12, 1-9 Away",102,101,DET -3.5,215,Final,NULL,31,24,31,16,NULL,32,28,20,21,NULL,NBA
9,401160930,2020,"Sun, Dec 1",Detroit Pistons,San Antonio Spurs,"7-13, 6-4 Home","7-14, 2-8 Away",132,98,DET -2.5,218,Final,NULL,32,27,37,36,NULL,27,24,20,27,NULL,NBA
10,401160949,2020,"Wed, Dec 4",Detroit Pistons,Milwaukee Bucks,"8-14, 6-5 Home","19-3, 10-2 Away",103,127,MIL -9.0,224,Final,NULL,24,24,24,31,NULL,22,37,33,35,NULL,NBA
11,401160990,2020,"Mon, Dec 9",New Orleans Pelicans,Detroit Pistons,"6-18, 4-9 Home","10-14, 3-9 Away",103,105,EVEN,228,Final,NULL,29,24,21,29,NULL,25,22,34,24,NULL,NBA
12,401161028,2020,"Sat, Dec 14",Houston Rockets,Detroit Pistons,"17-9, 9-4 Home","11-15, 4-9 Away",107,115,HOU -7.5,226,Final,NULL,32,20,23,32,NULL,30,32,26,27,NULL,NBA
13,401161050,2020,"Wed, Dec 18",Detroit Pistons,Toronto Raptors,"11-17, 7-8 Home","19-8, 8-5 Away",99,112,TOR -2.0,217,Final,NULL,29,35,15,20,NULL,30,40,26,16,NULL,NBA
14,401161074,2020,"Sat, Dec 21",Detroit Pistons,Chicago Bulls,"11-19, 7-9 Home","12-19, 6-9 Away",107,119,CHI -1.5,209,Final,NULL,28,31,30,18,NULL,25,28,40,26,NULL,NBA
15,401161102,2020,"Thu, Dec 26",Detroit Pistons,Washington Wizards,"12-20, 8-10 Home","9-21, 5-14 Away",132,102,DET -6.5,229,Final,NULL,31,37,38,26,NULL,23,25,28,26,NULL,NBA
