,ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
0,311228028,2012,"Wed, Dec 28",Toronto Raptors,Indiana Pacers,"1-1, 0-1 Home","2-0, 1-0 Away",85,90,NULL,NULL,Final,NBATV,11,23,21,30,NULL,18,20,25,27,NULL,NBA
1,311231008,2012,"Sat, Dec 31",Detroit Pistons,Indiana Pacers,"1-3, 1-1 Home","3-1, 1-1 Away",96,88,NULL,NULL,Final,NULL,21,31,30,14,NULL,18,26,20,24,NULL,NBA
2,320104014,2012,"Wed, Jan 4",Miami Heat,Indiana Pacers,"6-1, 3-1 Home","4-2, 2-2 Away",118,83,NULL,NULL,Final,NULL,29,33,26,30,NULL,27,12,27,17,NULL,NBA
3,320107011,2012,"Sat, Jan 7",Indiana Pacers,Charlotte Bobcats,"6-2, 3-0 Home","2-6, 1-3 Away",99,77,NULL,NULL,Final,NBATV,22,21,28,28,NULL,30,19,14,14,NULL,NBA
4,320111011,2012,"Wed, Jan 11",Indiana Pacers,Atlanta Hawks,"7-3, 4-0 Home","7-4, 4-3 Away",96,84,NULL,NULL,Final,NULL,28,25,27,16,NULL,20,30,9,25,NULL,NBA
5,320114011,2012,"Sat, Jan 14",Indiana Pacers,Boston Celtics,"9-3, 5-0 Home","4-7, 1-4 Away",97,83,NULL,NULL,Final,NULL,29,27,26,15,NULL,24,24,19,16,NULL,NBA
6,320120009,2012,"Fri, Jan 20",Golden State Warriors,Indiana Pacers,"5-10, 3-5 Home","10-4, 5-4 Away",91,94,NULL,NULL,Final,NULL,23,20,26,22,NULL,27,16,24,27,NULL,NBA
7,320124011,2012,"Tue, Jan 24",Indiana Pacers,Orlando Magic,"11-5, 5-1 Home","12-5, 6-3 Away",83,102,NULL,NULL,Final,NULL,29,16,17,21,NULL,22,23,29,28,NULL,NBA
8,320127002,2012,"Fri, Jan 27",Boston Celtics,Indiana Pacers,"9-9, 6-5 Home","12-6, 7-5 Away",94,87,NULL,NULL,Final,NULL,23,19,29,23,NULL,17,17,27,26,NULL,NBA
9,320131011,2012,"Tue, Jan 31",Indiana Pacers,New Jersey Nets,"14-6, 6-1 Home","7-15, 5-9 Away",106,99,NULL,NULL,Final,NULL,28,27,29,22,NULL,24,29,19,27,NULL,NBA
10,320203006,2012,"Fri, Feb 3",Dallas Mavericks,Indiana Pacers,"14-10, 9-5 Home","16-6, 10-5 Away",87,98,NULL,NULL,Final,NULL,28,25,16,18,NULL,29,23,24,22,NULL,NBA
11,320207011,2012,"Tue, Feb 7",Indiana Pacers,Utah Jazz,"17-7, 7-2 Home","13-11, 2-7 Away",104,99,NULL,NULL,Final,NULL,27,30,27,20,NULL,23,23,31,22,NULL,NBA
12,320210029,2012,"Fri, Feb 10",Memphis Grizzlies,Indiana Pacers,"14-13, 9-4 Home","17-9, 10-7 Away",98,92,NULL,NULL,Final,NULL,22,25,26,25,NULL,22,25,26,19,NULL,NBA
13,320214011,2012,"Tue, Feb 14",Indiana Pacers,Miami Heat,"17-11, 7-4 Home","23-7, 11-5 Away",90,105,NULL,NULL,Final,NBATV,16,23,19,32,NULL,33,35,22,15,NULL,NBA
14,320216011,2012,"Thu, Feb 16",Indiana Pacers,New Jersey Nets,"18-12, 8-4 Home","8-23, 5-12 Away",93,88,NULL,NULL,Final,NULL,21,29,14,29,NULL,29,21,15,23,NULL,NBA
15,320221011,2012,"Tue, Feb 21",Indiana Pacers,New Orleans Hornets,"20-12, 10-4 Home","7-25, 4-11 Away",117,108,NULL,NULL,Final/OT,NULL,24,29,27,20,17,31,25,20,24,8,NBA
