,ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
0,400899456,2017,"Fri, Oct 28",Miami Heat,Charlotte Hornets,"1-1, 0-1 Home","2-0, 2-0 Away",91,97,NULL,NULL,Final,NULL,23,34,20,14,NULL,21,25,27,24,NULL,NBA
1,400899499,2017,"Tue, Nov 1",Miami Heat,Sacramento Kings,"2-2, 1-2 Home","2-3, 1-2 Away",108,96,NULL,NULL,Final/OT,NULL,28,26,19,18,17,26,24,17,24,5,NBA
2,400899547,2017,"Mon, Nov 7",Oklahoma City Thunder,Miami Heat,"6-1, 4-0 Home","2-4, 1-2 Away",97,85,NULL,NULL,Final,NULL,39,16,28,14,NULL,28,19,14,24,NULL,NBA
3,400899586,2017,"Sat, Nov 12",Miami Heat,Utah Jazz,"2-6, 1-4 Home","7-4, 5-3 Away",91,102,NULL,NULL,Final,NULL,21,26,12,32,NULL,23,29,24,26,NULL,NBA
4,400899604,2017,"Tue, Nov 15",Miami Heat,Atlanta Hawks,"2-8, 1-5 Home","8-2, 3-1 Away",90,93,NULL,NULL,Final,NULL,25,18,24,23,NULL,22,27,23,21,NULL,NBA
5,400899636,2017,"Sat, Nov 19",Washington Wizards,Miami Heat,"3-9, 3-4 Home","4-8, 2-3 Away",111,114,NULL,NULL,Final,NULL,35,24,23,29,NULL,33,27,31,23,NULL,NBA
6,400899668,2017,"Wed, Nov 23",Detroit Pistons,Miami Heat,"7-9, 6-2 Home","4-10, 2-5 Away",107,84,NULL,NULL,Final,NULL,28,28,30,21,NULL,16,26,22,20,NULL,NBA
7,400899693,2017,"Sat, Nov 26",Miami Heat,Memphis Grizzlies,"5-11, 2-6 Home","11-6, 6-3 Away",107,110,NULL,NULL,Final,NULL,31,18,33,25,NULL,24,27,31,28,NULL,NBA
8,400899723,2017,"Wed, Nov 30",Denver Nuggets,Miami Heat,"7-11, 3-6 Home","6-12, 4-5 Away",98,106,NULL,NULL,Final,NULL,30,17,33,18,NULL,28,24,23,31,NULL,NBA
9,400899740,2017,"Sat, Dec 3",Portland Trail Blazers,Miami Heat,"11-10, 7-4 Home","7-13, 5-6 Away",99,92,NULL,NULL,Final,NULL,21,34,18,26,NULL,29,20,22,21,NULL,NBA
10,400899766,2017,"Wed, Dec 7",Atlanta Hawks,Miami Heat,"11-12, 7-4 Home","7-15, 5-7 Away",103,95,NULL,NULL,Final,NULL,29,24,25,25,NULL,25,21,17,32,NULL,NBA
11,400899792,2017,"Sat, Dec 10",Chicago Bulls,Miami Heat,"13-10, 7-3 Home","7-17, 5-9 Away",105,100,NULL,NULL,Final,NBATV,29,26,28,22,NULL,27,28,20,25,NULL,NBA
12,400899819,2017,"Wed, Dec 14",Miami Heat,Indiana Pacers,"9-17, 4-8 Home","13-13, 3-9 Away",95,89,NULL,NULL,Final,ESPN,20,33,25,17,NULL,21,31,27,10,NULL,NBA
13,400899852,2017,"Sun, Dec 18",Miami Heat,Boston Celtics,"9-19, 4-10 Home","15-12, 9-7 Away",95,105,NULL,NULL,Final,NULL,19,22,30,24,NULL,37,21,19,28,NULL,NBA
14,400899881,2017,"Thu, Dec 22",Miami Heat,Los Angeles Lakers,"10-20, 5-11 Home","11-21, 5-14 Away",115,107,NULL,NULL,Final,TNT,17,36,29,33,NULL,25,35,20,27,NULL,NBA
