,ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
0,400974775,2018,"Fri, Oct 20",Minnesota Timberwolves,Utah Jazz,"1-1, 1-0 Home","1-1, 0-1 Away",100,97,NULL,NULL,Final,NULL,19,27,24,30,NULL,16,26,23,32,NULL,NBA
1,400974803,2018,"Tue, Oct 24",Minnesota Timberwolves,Indiana Pacers,"2-2, 1-1 Home","2-2, 1-1 Away",107,130,NULL,NULL,Final,NULL,20,41,23,23,NULL,33,28,37,32,NULL,NBA
2,400974825,2018,"Fri, Oct 27",Minnesota Timberwolves,Oklahoma City Thunder,"3-3, 2-1 Home","2-3, 0-2 Away",119,116,NULL,NULL,Final,NBATV,26,33,31,29,NULL,33,26,30,27,NULL,NBA
3,400974864,2018,"Wed, Nov 1",New Orleans Pelicans,Minnesota Timberwolves,"3-5, 1-3 Home","5-3, 3-2 Away",98,104,NULL,NULL,Final,NULL,28,26,23,21,NULL,31,34,18,21,NULL,NBA
4,400974894,2018,"Sun, Nov 5",Minnesota Timberwolves,Charlotte Hornets,"7-3, 4-1 Home","5-5, 1-4 Away",112,94,NULL,NULL,Final,NULL,28,40,29,15,NULL,28,23,28,15,NULL,NBA
5,400974937,2018,"Sat, Nov 11",Phoenix Suns,Minnesota Timberwolves,"5-9, 3-5 Home","7-5, 3-4 Away",118,110,NULL,NULL,Final,NULL,19,37,29,33,NULL,28,32,28,22,NULL,NBA
6,400974961,2018,"Wed, Nov 15",Minnesota Timberwolves,San Antonio Spurs,"9-5, 5-1 Home","9-6, 3-4 Away",98,86,NULL,NULL,Final,NULL,18,39,18,23,NULL,24,19,22,21,NULL,NBA
7,400974989,2018,"Sun, Nov 19",Minnesota Timberwolves,Detroit Pistons,"10-6, 5-2 Home","11-5, 4-4 Away",97,100,NULL,NULL,Final,NULL,24,29,27,17,NULL,22,27,22,29,NULL,NBA
8,400975012,2018,"Wed, Nov 22",Minnesota Timberwolves,Orlando Magic,"11-7, 6-2 Home","8-10, 4-6 Away",124,118,NULL,NULL,Final,NULL,30,35,41,18,NULL,35,27,18,38,NULL,NBA
9,400975039,2018,"Sun, Nov 26",Minnesota Timberwolves,Phoenix Suns,"12-8, 7-3 Home","7-14, 3-5 Away",119,108,NULL,NULL,Final,NULL,33,30,30,26,NULL,27,31,22,28,NULL,NBA
10,400975060,2018,"Wed, Nov 29",New Orleans Pelicans,Minnesota Timberwolves,"11-10, 5-5 Home","13-9, 6-5 Away",102,120,NULL,NULL,Final,NULL,29,20,27,26,NULL,28,34,31,27,NULL,NBA
11,400975087,2018,"Sun, Dec 3",Minnesota Timberwolves,LA Clippers,"14-10, 8-4 Home","8-14, 4-8 Away",112,106,NULL,NULL,Final,NULL,31,29,18,34,NULL,27,28,21,30,NULL,NBA
12,400975113,2018,"Wed, Dec 6",LA Clippers,Minnesota Timberwolves,"8-15, 4-7 Home","15-11, 7-7 Away",107,113,NULL,NULL,Final,ESPN,22,27,31,27,NULL,29,33,26,25,NULL,NBA
13,400975152,2018,"Tue, Dec 12",Minnesota Timberwolves,Philadelphia 76ers,"16-12, 9-5 Home","14-13, 7-7 Away",112,118,NULL,NULL,Final/OT,ESPN,27,24,25,24,12,20,28,26,26,18,NBA
14,400975185,2018,"Sat, Dec 16",Minnesota Timberwolves,Phoenix Suns,"17-13, 10-6 Home","10-21, 6-9 Away",106,108,NULL,NULL,Final,NULL,25,25,31,25,NULL,22,20,35,31,NULL,NBA
15,400975213,2018,"Wed, Dec 20",Denver Nuggets,Minnesota Timberwolves,"16-15, 11-3 Home","19-13, 8-7 Away",104,112,NULL,NULL,Final,NULL,24,28,32,20,NULL,17,33,30,32,NULL,NBA
16,400974449,2018,"Mon, Dec 25",Los Angeles Lakers,Minnesota Timberwolves,"11-21, 6-10 Home","21-13, 10-7 Away",104,121,NULL,NULL,Final,TNT,20,32,28,24,NULL,29,24,30,38,NULL,NBA
