ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
213240194,2002,"Tue, Nov 20",Ohio State Buckeyes,Albany Great Danes,"2-0, 2-0 Home","0-2, 0-1 Away",87,62,NULL,NULL,Final,NULL,34,53,NULL,41,21,NULL,NCAAB
213312561,2002,"Tue, Nov 27",Siena Saints,Albany Great Danes,"1-2, 1-0 Home","0-4, 0-3 Away",60,48,NULL,NULL,Final,NULL,10-6,4,NULL,14-2,-,NULL,NCAAB
213392083,2002,"Wed, Dec 5",Bucknell Bison,Albany Great Danes,"1-6, 1-2 Home","1-5, 1-3 Away",50,51,NULL,NULL,Final,NULL,10-6,4,NULL,14-2,-,NULL,NCAAB
213450399,2002,"Tue, Dec 11",Albany Great Danes,Army Black Knights,"1-7, 0-3 Home","4-4, 1-2 Away",60,68,NULL,NULL,Final,NULL,12-6,2,NULL,14-4,-,NULL,NCAAB
213650261,2002,"Mon, Dec 31",Vermont Catamounts,Albany Great Danes,"7-2, 1-0 Conf","2-8, 0-1 Conf",71,43,NULL,NULL,Final,NULL,10-6,4,NULL,14-2,-,NULL,NCAAB
220070399,2002,"Mon, Jan 7",Albany Great Danes,Binghamton Bearcats,"2-10, 0-3 Conf","5-6, 2-1 Conf",61,69,NULL,NULL,Final,NULL,10-6,4,NULL,14-2,-,NULL,NCAAB
220150399,2002,"Tue, Jan 15",Albany Great Danes,Columbia Lions,"3-11, 1-5 Home","5-8, 1-7 Away",41,40,NULL,NULL,Final,NULL,10-4,1,NULL,11-3,-,NULL,NCAAB
220200160,2002,"Sun, Jan 20",New Hampshire Wildcats,Albany Great Danes,"6-11, 3-3 Conf","3-13, 0-5 Conf",71,60,NULL,NULL,Final,NULL,10-6,4,NULL,14-2,-,NULL,NCAAB
220260399,2002,"Sat, Jan 26",Albany Great Danes,Northeastern Huskies,"4-14, 1-6 Conf","4-14, 2-7 Conf",51,50,NULL,NULL,Final,NULL,13-5,1,NULL,14-4,-,NULL,NCAAB
220332619,2002,"Sat, Feb 2",Stony Brook Seawolves,Albany Great Danes,"3-17, 2-8 Conf","6-14, 3-6 Conf",54,65,NULL,NULL,Final,NULL,10-6,4,NULL,14-2,-,NULL,NCAAB
220390042,2002,"Fri, Feb 8",Hartford Hawks,Albany Great Danes,"11-10, 8-4 Conf","6-16, 3-8 Conf",62,51,NULL,NULL,Final,NULL,10-6,4,NULL,14-2,-,NULL,NCAAB
220470104,2002,"Sat, Feb 16",Boston Univ. Terriers,Albany Great Danes,"15-9, 10-3 Conf","6-18, 3-10 Conf",68,56,NULL,NULL,Final,NULL,10-6,4,NULL,14-2,-,NULL,NCAAB
220550399,2002,"Sun, Feb 24",Albany Great Danes,Stony Brook Seawolves,"7-19, 4-11 Conf","5-20, 4-11 Conf",47,48,NULL,NULL,Final,NULL,10-6,4,NULL,14-2,-,NULL,NCAAB
213210399,2002,"Sat, Nov 17",Albany Great Danes,Lafayette Leopards,"0-1, 0-1 Home","1-0, 1-0 Away",72,80,NULL,NULL,Final,NULL,12-6,2,NULL,14-4,-,NULL,NCAAB
213282514,2002,"Sat, Nov 24",Quinnipiac Bobcats,Albany Great Danes,"1-2, 1-0 Home","0-3, 0-2 Away",79,65,NULL,NULL,Final,NULL,10-6,4,NULL,14-2,-,NULL,NCAAB
213360399,2002,"Sun, Dec 2",Albany Great Danes,Syracuse Orange,"0-5, 0-2 Home","8-0, 2-0 Away",65,91,NULL,NULL,Final,NULL,23,42,NULL,45,46,NULL,NCAAB
213420043,2002,"Sat, Dec 8",Yale Bulldogs,Albany Great Danes,"5-2, 3-0 Home","1-6, 1-4 Away",73,61,NULL,NULL,Final,NULL,10-6,4,NULL,14-2,-,NULL,NCAAB
213572523,2002,"Sun, Dec 23",Robert Morris Colonials,Albany Great Danes,"3-7, 2-5 Home","2-7, 2-4 Away",58,61,NULL,NULL,Final,NULL,10-6,4,NULL,14-2,-,NULL,NCAAB
220020311,2002,"Wed, Jan 2",Maine Black Bears,Albany Great Danes,"4-6, 1-0 Conf","2-9, 0-2 Conf",59,52,NULL,NULL,Final,NULL,10-6,4,NULL,14-2,-,NULL,NCAAB
220130399,2002,"Sun, Jan 13",Albany Great Danes,Maine Black Bears,"2-11, 0-4 Conf","5-8, 2-2 Conf",66,73,NULL,NULL,Final/OT,NULL,10-6,4,NULL,14-2,-,NULL,NCAAB
220180159,2002,"Fri, Jan 18",Dartmouth Big Green,Albany Great Danes,"7-9, 4-4 Home","3-12, 2-7 Away",77,56,NULL,NULL,Final,NULL,10-6,4,NULL,14-2,-,NULL,NCAAB
220240399,2002,"Thu, Jan 24",Albany Great Danes,Boston Univ. Terriers,"3-14, 0-6 Conf","11-7, 6-1 Conf",49,64,NULL,NULL,Final,NULL,12-6,2,NULL,14-4,-,NULL,NCAAB
220300399,2002,"Wed, Jan 30",Albany Great Danes,New Hampshire Wildcats,"5-14, 2-6 Conf","7-13, 4-5 Conf",74,57,NULL,NULL,Final,NULL,10-6,4,NULL,14-2,-,NULL,NCAAB
