ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
243210156,2005,"Tue, Nov 16",Creighton Bluejays,Iona Gaels,"2-0, 2-0 Home","1-1, 0-1 Away",68,62,NULL,NULL,Final,NULL,31,37,NULL,32,30,NULL,NCAAB
243280142,2005,"Tue, Nov 23",Missouri Tigers,Creighton Bluejays,"2-2, 2-2 Home","4-0, 1-0 Away",54,78,NULL,NULL,Final,NULL,27,27,NULL,44,34,NULL,NCAAB
243352752,2005,"Tue, Nov 30",Xavier Musketeers,Creighton Bluejays,"2-2, 1-2 Home","6-0, 3-0 Away",72,73,NULL,NULL,Final,NULL,35,37,NULL,26,47,NULL,NCAAB
243420156,2005,"Tue, Dec 7",Creighton Bluejays,Kent State Golden Flashes,"7-1, 4-1 Home","6-2, 3-2 Away",58,67,NULL,NULL,Final,NULL,29,29,NULL,30,37,NULL,NCAAB
243530156,2005,"Sat, Dec 18",Creighton Bluejays,Wyoming Cowboys,"8-2, 4-2 Home","5-3, 2-2 Away",64,68,NULL,NULL,Final,NULL,26,38,NULL,31,37,NULL,NCAAB
243630156,2005,"Tue, Dec 28",Creighton Bluejays,Bradley Braves,"9-3, 1-1 Conf","7-2, 0-1 Conf",71,62,NULL,NULL,Final,NULL,30,41,NULL,30,32,NULL,NCAAB
250052181,2005,"Wed, Jan 5",Drake Bulldogs,Creighton Bluejays,"4-7, 1-3 Conf","10-4, 2-1 Conf",58,61,NULL,NULL,Final,NULL,27,31,NULL,29,32,NULL,NCAAB
250120282,2005,"Wed, Jan 12",Indiana State Sycamores,Creighton Bluejays,"6-11, 1-4 Conf","10-6, 2-3 Conf",74,72,NULL,NULL,Final,NULL,32,42,NULL,36,36,NULL,NCAAB
250190156,2005,"Wed, Jan 19",Creighton Bluejays,Drake Bulldogs,"12-6, 4-3 Conf","6-9, 2-5 Conf",82,67,NULL,NULL,Final,NULL,37,45,NULL,27,40,NULL,NCAAB
250260071,2005,"Wed, Jan 26",Bradley Braves,Creighton Bluejays,"11-6, 4-5 Conf","13-7, 5-4 Conf",65,74,NULL,NULL,Final,NULL,34,31,NULL,31,43,NULL,NCAAB
250320156,2005,"Tue, Feb 1",Creighton Bluejays,Wichita State Shockers,"14-8, 6-5 Conf","16-3, 9-2 Conf",73,69,NULL,NULL,Final,NULL,30,43,NULL,32,37,NULL,NCAAB
250400156,2005,"Wed, Feb 9",Creighton Bluejays,Northern Iowa Panthers,"15-9, 7-6 Conf","16-8, 7-6 Conf",83,82,NULL,NULL,Final,NULL,33,50,NULL,28,54,NULL,NCAAB
250472724,2005,"Wed, Feb 16",Wichita State Shockers,Creighton Bluejays,"18-5, 11-4 Conf","16-10, 8-7 Conf",68,82,NULL,NULL,Final,NULL,38,30,NULL,31,51,NULL,NCAAB
250530156,2005,"Tue, Feb 22",Creighton Bluejays,Evansville Purple Aces,"18-10, 9-7 Conf","11-14, 5-11 Conf",69,64,NULL,NULL,Final,NULL,34,35,NULL,21,43,NULL,NCAAB
250592287,2005,"Mon, Feb 28",Illinois State Redbirds,Creighton Bluejays,"17-12, 8-10 Conf","20-10, 11-7 Conf",59,64,NULL,NULL,Final,NULL,24,35,NULL,28,36,NULL,NCAAB
250652724,2005,"Sun, Mar 6",Wichita State Shockers,Creighton Bluejays,"20-9, 12-6 Conf","22-10, 11-7 Conf",60,70,NULL,NULL,Final,NULL,26,34,NULL,33,37,NULL,NCAAB
243200156,2005,"Mon, Nov 15",Creighton Bluejays,Alcorn State Braves,"1-0, 1-0 Home","0-1, 0-1 Away",74,40,NULL,NULL,Final,NULL,39,35,NULL,11,29,NULL,NCAAB
243250156,2005,"Sat, Nov 20",Creighton Bluejays,Arkansas-Pine Bluff Golden Lions,"3-0, 3-0 Home","0-1, 0-1 Away",83,58,NULL,NULL,Final,NULL,50,33,NULL,34,24,NULL,NCAAB
243290194,2005,"Wed, Nov 24",Ohio State Buckeyes,Creighton Bluejays,"4-1, 3-1 Home","5-0, 2-0 Away",63,65,NULL,NULL,Final/OT,NULL,29,28,6,27,30,8,NCAAB
243390156,2005,"Sat, Dec 4",Creighton Bluejays,High Point Panthers,"7-0, 4-0 Home","2-5, 0-5 Away",79,60,NULL,NULL,Final,NULL,37,42,NULL,33,27,NULL,NCAAB
243460158,2005,"Sat, Dec 11",Nebraska Cornhuskers,Creighton Bluejays,"3-3, 3-2 Home","8-1, 4-0 Away",48,50,NULL,NULL,Final,NULL,22,26,NULL,18,32,NULL,NCAAB
243570339,2005,"Wed, Dec 22",Evansville Purple Aces,Creighton Bluejays,"7-2, 1-0 Conf","8-3, 0-1 Conf",63,61,NULL,NULL,Final,NULL,32,31,NULL,26,35,NULL,NCAAB
243660301,2005,"Fri, Dec 31",San Diego Toreros,Creighton Bluejays,"8-5, 5-2 Home","9-4, 4-2 Away",82,70,NULL,NULL,Final,NULL,36,46,NULL,26,44,NULL,NCAAB
250090156,2005,"Sun, Jan 9",Creighton Bluejays,Southern Illinois Salukis,"10-5, 2-2 Conf","12-3, 3-0 Conf",63,69,NULL,NULL,Final,NULL,32,31,NULL,31,38,NULL,NCAAB
250152460,2005,"Sat, Jan 15",Northern Iowa Panthers,Creighton Bluejays,"12-4, 3-2 Conf","11-6, 3-3 Conf",66,67,NULL,NULL,Final,NULL,32,34,NULL,32,35,NULL,NCAAB
250220156,2005,"Sat, Jan 22",Creighton Bluejays,Illinois State Redbirds,"12-7, 4-4 Conf","13-5, 5-3 Conf",77,82,NULL,NULL,Final/OT,NULL,37,26,14,32,28,22,NCAAB
250292623,2005,"Sat, Jan 29",Missouri State Bears,Creighton Bluejays,"10-8, 4-6 Conf","13-8, 5-5 Conf",80,73,NULL,NULL,Final,NULL,33,47,NULL,27,46,NULL,NCAAB
250360156,2005,"Sat, Feb 5",Creighton Bluejays,Missouri State Bears,"14-9, 6-6 Conf","12-8, 6-6 Conf",71,79,NULL,NULL,Final,NULL,34,37,NULL,43,36,NULL,NCAAB
250430079,2005,"Sat, Feb 12",Southern Illinois Salukis,Creighton Bluejays,"20-6, 11-3 Conf","15-10, 7-7 Conf",71,67,NULL,NULL,Final,NULL,37,34,NULL,30,37,NULL,NCAAB
250500156,2005,"Sat, Feb 19",Creighton Bluejays,Chattanooga Mocs,"17-10, 9-5 Home","16-9, 6-7 Away",100,68,NULL,NULL,Final,NULL,48,52,NULL,30,38,NULL,NCAAB
250570156,2005,"Sat, Feb 26",Creighton Bluejays,Indiana State Sycamores,"19-10, 10-7 Conf","10-19, 5-12 Conf",74,55,NULL,NULL,Final,NULL,37,37,NULL,21,34,NULL,NCAAB
250640156,2005,"Sat, Mar 5",Creighton Bluejays,Illinois State Redbirds,"21-10, 11-7 Conf","17-13, 8-10 Conf",69,52,NULL,NULL,Final,NULL,28,41,NULL,23,29,NULL,NCAAB
254000011,2005,"Thu, Mar 17",West Virginia Mountaineers,Creighton Bluejays,"22-10, 13-4 Home","23-11, 10-5 Away",63,61,NULL,NULL,Final,NULL,33,30,NULL,31,30,NULL,NCAAB
250660156,2005,"Mon, Mar 7",Creighton Bluejays,Missouri State Bears,"23-10, 11-7 Conf","18-12, 10-8 Conf",75,57,NULL,NULL,Final,NULL,38,37,NULL,32,25,NULL,NCAAB
