ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
280782440,2008,"Tue, Mar 18",Nevada Wolf Pack,Houston Cougars,21-12,23-9,79,80,NULL,NULL,Final,NULL,36,43,NULL,43,37,NULL,NCAAB
280840248,2008,"Mon, Mar 24",Houston Cougars,Valparaiso Crusaders,24-9,22-14,91,67,NULL,NULL,Final,NULL,45,46,NULL,32,35,NULL,NCAAB
273192670,2008,"Thu, Nov 15",VCU Rams,Houston Cougars,2-0,1-1,73,72,NULL,NULL,Final,NULL,30,43,NULL,33,39,NULL,NCAAB
273220248,2008,"Sun, Nov 18",Charleston Cougars,Houston Cougars,1-3,3-1,69,84,NULL,NULL,Final,NULL,31,38,NULL,41,43,NULL,NCAAB
273280248,2008,"Sat, Nov 24",Houston Cougars,Grambling Tigers,"5-1, 3-0 Home","0-5, 0-4 Away",95,53,NULL,NULL,Final,NULL,45,50,NULL,35,18,NULL,NCAAB
273350248,2008,"Sat, Dec 1",Houston Cougars,Middle Tennessee Blue Raiders,"7-1, 5-0 Home","2-5, 0-3 Away",83,68,NULL,NULL,Final,NULL,43,40,NULL,24,44,NULL,NCAAB
273420248,2008,"Sat, Dec 8",Houston Cougars,Southern Jaguars,"9-1, 7-0 Home","1-6, 1-5 Away",73,49,NULL,NULL,Final,NULL,35,38,NULL,20,29,NULL,NCAAB
273630248,2008,"Sat, Dec 29",Houston Cougars,Arkansas-Pine Bluff Golden Lions,"11-1, 9-0 Home","4-7, 2-7 Away",76,65,NULL,NULL,Final,NULL,36,40,NULL,27,38,NULL,NCAAB
280120248,2008,"Sat, Jan 12",Houston Cougars,Arizona Wildcats,"11-3, 9-1 Home","11-5, 2-2 Away",71,85,NULL,NULL,Final,NULL,33,38,NULL,38,47,NULL,NCAAB
280190248,2008,"Sat, Jan 19",Houston Cougars,UTEP Miners,"13-3, 2-0 Conf","11-5, 2-1 Conf",77,72,NULL,NULL,Final,NULL,31,46,NULL,29,43,NULL,NCAAB
280260248,2008,"Sat, Jan 26",Houston Cougars,Marshall Thundering Herd,"15-3, 4-0 Conf","10-8, 2-3 Conf",71,58,NULL,NULL,Final,NULL,40,31,NULL,27,31,NULL,NCAAB
280332116,2008,"Sat, Feb 2",UCF Knights,Houston Cougars,"11-10, 4-3 Conf","16-4, 5-1 Conf",81,84,NULL,NULL,Final,NULL,34,47,NULL,30,54,NULL,NCAAB
280402655,2008,"Sat, Feb 9",Tulane Green Wave,Houston Cougars,"15-8, 5-4 Conf","18-4, 7-1 Conf",56,66,NULL,NULL,Final,NULL,28,28,NULL,29,37,NULL,NCAAB
280470248,2008,"Sat, Feb 16",Houston Cougars,SMU Mustangs,"19-5, 8-2 Conf","8-15, 2-8 Conf",69,47,NULL,NULL,Final,NULL,41,28,NULL,18,29,NULL,NCAAB
280540248,2008,"Sat, Feb 23",Houston Cougars,Rice Owls,"20-6, 9-3 Conf","3-23, 0-13 Conf",71,62,NULL,NULL,Final,NULL,36,35,NULL,26,36,NULL,NCAAB
