ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
253232514,2006,"Sat, Nov 19",Quinnipiac Bobcats,New Hampshire Wildcats,"1-1, 1-1 Home","0-2, 0-2 Away",64,62,NULL,NULL,Final,NULL,30,34,NULL,25,37,NULL,NCAAB
253302142,2006,"Sat, Nov 26",Colgate Raiders,New Hampshire Wildcats,"2-3, 1-1 Home","1-3, 1-3 Away",52,60,NULL,NULL,Final,NULL,21,31,NULL,31,29,NULL,NCAAB
253370160,2006,"Sat, Dec 3",New Hampshire Wildcats,Long Island University Sharks,"1-5, 0-1 Home","1-3, 1-2 Away",56,59,NULL,NULL,Final,NULL,27,29,NULL,39,20,NULL,NCAAB
253420104,2006,"Thu, Dec 8",Boston Univ. Terriers,New Hampshire Wildcats,"2-5, 1-0 Conf","2-6, 0-1 Conf",67,46,NULL,NULL,Final,NULL,37,30,NULL,16,30,NULL,NCAAB
253520041,2006,"Sun, Dec 18",UConn Huskies,New Hampshire Wildcats,"8-0, 5-0 Home","2-8, 1-7 Away",86,44,NULL,NULL,Final,NULL,42,44,NULL,15,29,NULL,NCAAB
253620152,2006,"Wed, Dec 28",NC State Wolfpack,New Hampshire Wildcats,"10-1, 8-0 Home","2-10, 1-9 Away",81,62,NULL,NULL,Final,NULL,44,37,NULL,18,44,NULL,NCAAB
260080160,2006,"Sun, Jan 8",New Hampshire Wildcats,Hartford Hawks,"3-11, 1-3 Conf","5-8, 1-2 Conf",77,69,NULL,NULL,Final,NULL,36,41,NULL,40,29,NULL,NCAAB
260142619,2006,"Sat, Jan 14",Stony Brook Seawolves,New Hampshire Wildcats,"3-11, 1-4 Conf","5-11, 3-3 Conf",50,54,NULL,NULL,Final,NULL,21,29,NULL,18,36,NULL,NCAAB
260190160,2006,"Thu, Jan 19",New Hampshire Wildcats,Maine Black Bears,"6-12, 3-4 Conf","7-10, 2-4 Conf",53,67,NULL,NULL,Final,NULL,29,24,NULL,33,34,NULL,NCAAB
260280160,2006,"Sat, Jan 28",New Hampshire Wildcats,Vermont Catamounts,"7-13, 4-5 Conf","9-10, 5-4 Conf",56,64,NULL,NULL,Final,NULL,24,32,NULL,29,35,NULL,NCAAB
260360160,2006,"Sun, Feb 5",New Hampshire Wildcats,UMBC Retrievers,"9-13, 6-5 Conf","8-13, 4-6 Conf",68,65,NULL,NULL,Final,NULL,42,26,NULL,30,35,NULL,NCAAB
260420042,2006,"Sat, Feb 11",Hartford Hawks,New Hampshire Wildcats,"10-13, 6-6 Conf","9-15, 6-7 Conf",69,56,NULL,NULL,Final,NULL,32,37,NULL,25,31,NULL,NCAAB
260500311,2006,"Sun, Feb 19",Maine Black Bears,New Hampshire Wildcats,"10-15, 5-9 Conf","10-16, 7-8 Conf",59,56,NULL,NULL,Final/OT,NULL,23,27,9,33,17,6,NCAAB
260630042,2006,"Sat, Mar 4",Hartford Hawks,New Hampshire Wildcats,"13-15, 9-7 Conf","12-16, 8-8 Conf",62,66,NULL,NULL,Final,NULL,36,26,NULL,29,37,NULL,NCAAB
253220171,2006,"Fri, Nov 18",Columbia Lions,New Hampshire Wildcats,"1-0, 1-0 Home","0-1, 0-1 Away",64,61,NULL,NULL,Final,NULL,25,39,NULL,26,35,NULL,NCAAB
253272507,2006,"Wed, Nov 23",Providence Friars,New Hampshire Wildcats,"2-0, 2-0 Home","0-3, 0-3 Away",75,51,NULL,NULL,Final,NULL,44,31,NULL,29,22,NULL,NCAAB
253340108,2006,"Wed, Nov 30",Harvard Crimson,New Hampshire Wildcats,"5-0, 3-0 Home","1-4, 1-4 Away",71,50,NULL,NULL,Final,NULL,35,36,NULL,23,27,NULL,NCAAB
253400160,2006,"Tue, Dec 6",New Hampshire Wildcats,Robert Morris Colonials,"2-5, 1-1 Home","2-4, 0-4 Away",71,65,NULL,NULL,Final,NULL,29,42,NULL,24,41,NULL,NCAAB
253440261,2006,"Sat, Dec 10",Vermont Catamounts,New Hampshire Wildcats,"3-4, 1-0 Conf","2-7, 0-2 Conf",58,53,NULL,NULL,Final,NULL,25,33,NULL,23,30,NULL,NCAAB
253540213,2006,"Tue, Dec 20",Penn State Nittany Lions,New Hampshire Wildcats,"6-3, 6-1 Home","2-9, 1-8 Away",75,51,NULL,NULL,Final,NULL,34,41,NULL,21,30,NULL,NCAAB
260050160,2006,"Thu, Jan 5",New Hampshire Wildcats,Binghamton Bearcats,"2-11, 0-3 Conf","4-9, 1-1 Conf",49,62,NULL,NULL,Final,NULL,28,21,NULL,36,26,NULL,NCAAB
260112378,2006,"Wed, Jan 11",UMBC Retrievers,New Hampshire Wildcats,"6-9, 2-2 Conf","4-11, 2-3 Conf",58,72,NULL,NULL,Final,NULL,20,38,NULL,28,44,NULL,NCAAB
260160160,2006,"Mon, Jan 16",New Hampshire Wildcats,Dartmouth Big Green,"6-11, 3-2 Home","2-13, 1-9 Away",71,59,NULL,NULL,Final,NULL,34,37,NULL,20,39,NULL,NCAAB
260220399,2006,"Sun, Jan 22",Albany Great Danes,New Hampshire Wildcats,"10-8, 5-2 Conf","7-12, 4-4 Conf",72,75,NULL,NULL,Final/OT,NULL,30,31,11,32,29,14,NCAAB
260320160,2006,"Wed, Feb 1",New Hampshire Wildcats,Boston Univ. Terriers,"8-13, 5-5 Conf","8-13, 5-5 Conf",63,54,NULL,NULL,Final,NULL,32,31,NULL,17,37,NULL,NCAAB
260392066,2006,"Wed, Feb 8",Binghamton Bearcats,New Hampshire Wildcats,"11-11, 8-3 Conf","9-14, 6-6 Conf",57,46,NULL,NULL,Final,NULL,27,30,NULL,21,25,NULL,NCAAB
260460160,2006,"Wed, Feb 15",New Hampshire Wildcats,Stony Brook Seawolves,"10-15, 7-7 Conf","4-20, 2-11 Conf",59,51,NULL,NULL,Final,NULL,24,35,NULL,22,29,NULL,NCAAB
260540160,2006,"Thu, Feb 23",New Hampshire Wildcats,Albany Great Danes,"11-16, 8-8 Conf","17-10, 12-3 Conf",78,71,NULL,NULL,Final/OT,NULL,31,30,17,25,36,10,NCAAB
260640399,2006,"Sun, Mar 5",Albany Great Danes,New Hampshire Wildcats,"20-10, 13-3 Conf","12-17, 8-8 Conf",67,54,NULL,NULL,Final,NULL,31,36,NULL,25,29,NULL,NCAAB
