ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
330792507,2013,"Wed, Mar 20",Providence Friars,Charlotte 49ers,"18-14, 12-4 Home","21-12, 5-6 Away",75,66,NULL,NULL,Final,ESPN3,33,42,NULL,36,30,NULL,NCAAB
330842507,2013,"Mon, Mar 25",Providence Friars,Robert Morris Colonials,"19-14, 12-4 Home","24-11, 10-6 Away",77,68,NULL,NULL,Final,NULL,34,43,NULL,34,34,NULL,NCAAB
323172507,2013,"Mon, Nov 12",Providence Friars,Bryant Bulldogs,"2-0, 2-0 Home","0-2, 0-2 Away",81,49,NULL,NULL,Final,ESPN3,47,34,NULL,21,28,NULL,NCAAB
323212507,2013,"Fri, Nov 16",Providence Friars,Penn State Nittany Lions,2-2,2-1,52,55,NULL,NULL,Final/OT,ESPN3/ESPNU,16,27,9,14,29,12,NCAAB
323282507,2013,"Fri, Nov 23",Providence Friars,Fairfield Stags,"4-2, 3-0 Home","3-3, 0-3 Away",66,47,NULL,NULL,Final,NULL,25,41,NULL,17,30,NULL,NCAAB
323362507,2013,"Sat, Dec 1",Providence Friars,Mississippi State Bulldogs,"6-2, 5-0 Home","2-5, 0-2 Away",73,63,NULL,NULL,Final,ESPNU,39,34,NULL,21,42,NULL,NCAAB
323532507,2013,"Tue, Dec 18",Providence Friars,Colgate Raiders,"8-2, 7-0 Home","3-8, 1-7 Away",79,45,NULL,NULL,Final,NULL,39,40,NULL,28,17,NULL,NCAAB
323632507,2013,"Fri, Dec 28",Brown Bears,Providence Friars,"4-6, 2-2 Home","8-4, 0-2 Away",69,68,NULL,NULL,Final,NBCSN,31,38,NULL,34,34,NULL,NCAAB
330052507,2013,"Sat, Jan 5",Providence Friars,DePaul Blue Demons,"8-6, 0-2 Conf","10-5, 1-1 Conf",73,83,NULL,NULL,Final,ESPN3,30,43,NULL,37,46,NULL,NCAAB
330132550,2013,"Sun, Jan 13",Seton Hall Pirates,Providence Friars,"12-5, 1-3 Conf","9-7, 1-3 Conf",55,67,NULL,NULL,Final,ESPN3,22,33,NULL,38,29,NULL,NCAAB
330192507,2013,"Sat, Jan 19",Providence Friars,Villanova Wildcats,"10-8, 2-4 Conf","11-7, 2-3 Conf",69,66,NULL,NULL,Final,ESPN3,24,45,NULL,31,35,NULL,NCAAB
330260269,2013,"Sat, Jan 26",Marquette Golden Eagles,Providence Friars,"14-4, 5-1 Conf","10-10, 2-6 Conf",81,71,NULL,NULL,Final,ESPN3,40,41,NULL,32,39,NULL,NCAAB
330340222,2013,"Sun, Feb 3",Villanova Wildcats,Providence Friars,"13-9, 4-5 Conf","11-11, 3-7 Conf",52,55,NULL,NULL,Final,ESPN3,23,29,NULL,29,26,NULL,NCAAB
330440058,2013,"Wed, Feb 13",South Florida Bulls,Providence Friars,"10-14, 1-11 Conf","13-11, 5-7 Conf",66,76,NULL,NULL,Final,ESPNU,36,30,NULL,25,51,NULL,NCAAB
330510183,2013,"Wed, Feb 20",Syracuse Orange,Providence Friars,"22-4, 10-3 Conf","14-12, 6-8 Conf",84,59,NULL,NULL,Final,ESPN2,43,41,NULL,16,43,NULL,NCAAB
330612507,2013,"Sat, Mar 2",Providence Friars,St. John's Red Storm,"16-12, 8-8 Conf","16-12, 8-8 Conf",62,59,NULL,NULL,Final,ESPN3,26,36,NULL,27,32,NULL,NCAAB
330680041,2013,"Sat, Mar 9",UConn Huskies,Providence Friars,"20-10, 10-8 Conf","17-13, 9-9 Conf",63,59,NULL,NULL,Final/OT,ESPNU,32,23,8,26,29,4,NCAAB
323152507,2013,"Sat, Nov 10",Providence Friars,NJIT Highlanders,"1-0, 1-0 Home","0-1, 0-1 Away",64,63,NULL,NULL,Final,NULL,32,32,NULL,29,34,NULL,NCAAB
323200113,2013,"Thu, Nov 15",Massachusetts Minutemen,Providence Friars,2-0,2-1,77,75,NULL,NULL,Final,ESPNU,41,36,NULL,35,40,NULL,NCAAB
323232507,2013,"Sun, Nov 18",Providence Friars,UNC Asheville Bulldogs,3-2,1-4,72,67,NULL,NULL,Final,ESPN3/ESPNU,32,40,NULL,25,42,NULL,NCAAB
323322507,2013,"Tue, Nov 27",Providence Friars,Holy Cross Crusaders,"5-2, 4-0 Home","4-3, 1-2 Away",61,42,NULL,NULL,Final,NULL,30,31,NULL,19,23,NULL,NCAAB
323412507,2013,"Thu, Dec 6",Providence Friars,Rhode Island Rams,"7-2, 6-0 Home","2-7, 1-2 Away",72,57,NULL,NULL,Final,NULL,27,45,NULL,26,31,NULL,NCAAB
323570103,2013,"Sat, Dec 22",Boston College Eagles,Providence Friars,"6-5, 5-2 Home","8-3, 0-1 Away",71,68,NULL,NULL,Final,ESPN3,36,35,NULL,36,32,NULL,NCAAB
330020097,2013,"Wed, Jan 2",Louisville Cardinals,Providence Friars,"13-1, 1-0 Conf","8-5, 0-1 Conf",80,62,NULL,NULL,Final,ESPN3,37,43,NULL,31,31,NULL,NCAAB
330092507,2013,"Wed, Jan 9",Providence Friars,Syracuse Orange,"8-7, 0-3 Conf","15-1, 3-0 Conf",66,72,NULL,NULL,Final,ESPN3,33,33,NULL,30,42,NULL,NCAAB
330160046,2013,"Wed, Jan 16",Georgetown Hoyas,Providence Friars,"12-3, 2-2 Conf","9-8, 1-4 Conf",74,65,NULL,NULL,Final,ESPN3,38,36,NULL,19,46,NULL,NCAAB
330222507,2013,"Tue, Jan 22",Providence Friars,Pittsburgh Panthers,"10-9, 2-5 Conf","16-4, 4-3 Conf",64,68,NULL,NULL,Final,ESPN2,27,37,NULL,34,34,NULL,NCAAB
330312507,2013,"Thu, Jan 31",Providence Friars,UConn Huskies,"10-11, 2-7 Conf","14-5, 4-3 Conf",79,82,NULL,NULL,Final/OT,ESPN2,32,37,10,33,36,13,NCAAB
330372507,2013,"Wed, Feb 6",Providence Friars,Cincinnati Bearcats,"12-11, 4-7 Conf","18-5, 6-4 Conf",54,50,NULL,NULL,Final,ESPN3,26,28,NULL,21,29,NULL,NCAAB
330472507,2013,"Sat, Feb 16",Providence Friars,Notre Dame Fighting Irish,"14-11, 6-7 Conf","20-6, 8-5 Conf",71,54,NULL,NULL,Final,ESPN3,34,37,NULL,26,28,NULL,NCAAB
330540164,2013,"Sat, Feb 23",Rutgers Scarlet Knights,Providence Friars,"13-13, 4-11 Conf","15-12, 7-8 Conf",72,76,NULL,NULL,Final,ESPNU,33,39,NULL,42,34,NULL,NCAAB
330642507,2013,"Tue, Mar 5",Providence Friars,Seton Hall Pirates,"17-12, 9-8 Conf","14-16, 3-14 Conf",76,66,NULL,NULL,Final,ESPN3,43,33,NULL,36,30,NULL,NCAAB
330860239,2013,"Wed, Mar 27",Baylor Bears,Providence Friars,"21-14, 12-5 Home","19-15, 4-7 Away",79,68,NULL,NULL,Final,ESPN2,38,41,NULL,38,30,NULL,NCAAB
330722507,2013,"Wed, Mar 13",Providence Friars,Cincinnati Bearcats,"17-14, 9-9 Conf","22-10, 9-9 Conf",44,61,NULL,NULL,Final,ESPN,23,21,NULL,31,30,NULL,NCAAB
