ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
400503067,2014,"Mon, Nov 11",Richmond Spiders,Belmont Bruins,"2-0, 2-0 Home","1-1, 1-1 Away",69,61,NULL,NULL,Final,NULL,34,35,NULL,31,30,NULL,NCAAB
400504223,2014,"Tue, Nov 19",Richmond Spiders,Hofstra Pride,"3-1, 3-1 Home","1-3, 0-2 Away",74,63,NULL,NULL,Final/OT,NULL,24,34,16,33,25,5,NCAAB
400519155,2014,"Sun, Nov 24",Fairfield Stags,Richmond Spiders,1-5,4-2,47,68,NULL,NULL,Final,ESPN3,17,30,NULL,36,32,NULL,NCAAB
400504234,2014,"Sat, Nov 30",Richmond Spiders,James Madison Dukes,"6-2, 4-1 Home","2-6, 1-5 Away",68,53,NULL,NULL,Final,NULL,35,33,NULL,25,28,NULL,NCAAB
400502721,2014,"Sat, Dec 7",Wake Forest Demon Deacons,Richmond Spiders,"8-2, 8-1 Home","7-3, 3-2 Away",76,66,NULL,NULL,Final/OT,ESPN3,31,30,15,32,29,5,NCAAB
400506235,2014,"Sun, Dec 22",Richmond Spiders,Ohio Bobcats,"8-4, 5-2 Home","8-3, 2-2 Away",69,70,NULL,NULL,Final/OT,NULL,42,19,8,38,23,9,NCAAB
400504257,2014,"Tue, Dec 31",Northeastern Huskies,Richmond Spiders,"3-10, 1-3 Home","10-4, 3-1 Away",66,70,NULL,NULL,Final,NULL,28,38,NULL,40,30,NULL,NCAAB
400506245,2014,"Wed, Jan 8",St. Bonaventure Bonnies,Richmond Spiders,"11-4, 1-0 Conf","10-6, 0-1 Conf",84,70,NULL,NULL,Final,NULL,40,44,NULL,27,43,NULL,NCAAB
400506009,2014,"Sat, Jan 18",Richmond Spiders,Dayton Flyers,"12-6, 2-1 Conf","13-5, 1-2 Conf",73,64,NULL,NULL,Final,ESPNU,32,41,NULL,36,28,NULL,NCAAB
400506254,2014,"Sat, Jan 25",Richmond Spiders,Saint Joseph's Hawks,"14-6, 4-1 Conf","13-6, 3-2 Conf",77,62,NULL,NULL,Final,NBCSN,35,42,NULL,28,34,NULL,NCAAB
400506257,2014,"Sat, Feb 1",VCU Rams,Richmond Spiders,"18-4, 6-1 Conf","14-8, 4-3 Conf",81,70,NULL,NULL,Final,ESPN2,34,47,NULL,22,48,NULL,NCAAB
400506037,2014,"Wed, Feb 12",Duquesne Dukes,Richmond Spiders,"10-13, 2-8 Conf","16-8, 6-3 Conf",58,75,NULL,NULL,Final,NULL,27,31,NULL,39,36,NULL,NCAAB
400506160,2014,"Tue, Feb 18",Richmond Spiders,George Washington Colonials,"17-9, 7-4 Conf","20-6, 8-4 Conf",65,73,NULL,NULL,Final,NBCSN,29,36,NULL,28,45,NULL,NCAAB
400506105,2014,"Wed, Feb 26",George Mason Patriots,Richmond Spiders,"10-17, 3-10 Conf","18-10, 8-5 Conf",69,60,NULL,NULL,Final,NULL,37,32,NULL,16,44,NULL,NCAAB
400506279,2014,"Thu, Mar 6",Richmond Spiders,VCU Rams,"18-12, 8-7 Conf","23-7, 11-4 Conf",50,56,NULL,NULL,Final,CBSSN,26,24,NULL,22,34,NULL,NCAAB
400544543,2014,"Thu, Mar 13",Richmond Spiders,Duquesne Dukes,"19-13, 8-8 Conf","13-17, 5-11 Conf",76,64,NULL,NULL,Final,NBCSN,32,44,NULL,26,38,NULL,NCAAB
400504208,2014,"Fri, Nov 8",Richmond Spiders,Delaware Blue Hens,"1-0, 1-0 Home","0-1, 0-1 Away",71,69,NULL,NULL,Final,NULL,32,39,NULL,31,38,NULL,NCAAB
400506211,2014,"Sat, Nov 16",Richmond Spiders,Minnesota Golden Gophers,"2-1, 2-1 Home","3-0, 1-0 Away",59,74,NULL,NULL,Final,NULL,37,22,NULL,40,34,NULL,NCAAB
400502691,2014,"Sat, Nov 23",North Carolina Tar Heels,Richmond Spiders,3-1,3-2,82,72,NULL,NULL,Final,NULL,36,46,NULL,33,39,NULL,NCAAB
400505507,2014,"Wed, Nov 27",Air Force Falcons,Richmond Spiders,"3-3, 2-2 Home","5-2, 2-1 Away",60,83,NULL,NULL,Final,NULL,26,34,NULL,31,52,NULL,NCAAB
400504237,2014,"Wed, Dec 4",William & Mary Tribe,Richmond Spiders,"4-4, 2-2 Home","7-2, 3-1 Away",60,71,NULL,NULL,Final,NULL,30,30,NULL,36,35,NULL,NCAAB
400506228,2014,"Sat, Dec 14",Richmond Spiders,Coppin State Eagles,"8-3, 5-1 Home","4-5, 2-4 Away",71,49,NULL,NULL,Final,NULL,37,34,NULL,21,28,NULL,NCAAB
400499362,2014,"Sat, Dec 28",Richmond Spiders,Old Dominion Monarchs,"9-4, 6-2 Home","5-8, 1-3 Away",67,58,NULL,NULL,Final,NBCSN,24,43,NULL,25,33,NULL,NCAAB
400506240,2014,"Sat, Jan 4",Florida Gators,Richmond Spiders,"11-2, 8-0 Home","10-5, 3-2 Away",67,58,NULL,NULL,Final,ESPN3,25,42,NULL,23,35,NULL,NCAAB
400506061,2014,"Sat, Jan 11",Fordham Rams,Richmond Spiders,"7-8, 0-2 Conf","11-6, 1-1 Conf",74,77,NULL,NULL,Final/OT,NULL,28,35,11,29,34,14,NCAAB
400506252,2014,"Wed, Jan 22",Richmond Spiders,Massachusetts Minutemen,"13-6, 3-1 Conf","16-2, 3-1 Conf",58,55,NULL,NULL,Final,NULL,27,31,NULL,22,33,NULL,NCAAB
400506256,2014,"Wed, Jan 29",Saint Louis Billikens,Richmond Spiders,"19-2, 6-0 Conf","14-7, 4-2 Conf",77,57,NULL,NULL,Final,NULL,42,35,NULL,21,36,NULL,NCAAB
400506261,2014,"Wed, Feb 5",Richmond Spiders,St. Bonaventure Bonnies,"15-8, 5-3 Conf","13-9, 3-5 Conf",64,62,NULL,NULL,Final,NULL,31,33,NULL,36,26,NULL,NCAAB
400506069,2014,"Sat, Feb 15",Richmond Spiders,Fordham Rams,"17-8, 7-3 Conf","9-15, 2-9 Conf",82,70,NULL,NULL,Final,NULL,38,44,NULL,31,39,NULL,NCAAB
400506270,2014,"Sat, Feb 22",Richmond Spiders,La Salle Explorers,"18-9, 8-4 Conf","12-14, 4-8 Conf",62,49,NULL,NULL,Final,CBSSN,23,39,NULL,24,25,NULL,NCAAB
400506277,2014,"Sat, Mar 1",Rhode Island Rams,Richmond Spiders,"13-17, 4-11 Conf","18-11, 8-6 Conf",66,43,NULL,NULL,Final,NULL,31,35,NULL,15,28,NULL,NCAAB
400506022,2014,"Sat, Mar 8",Dayton Flyers,Richmond Spiders,"22-9, 10-6 Conf","18-13, 8-8 Conf",60,48,NULL,NULL,Final,NULL,34,26,NULL,19,29,NULL,NCAAB
400546397,2014,"Fri, Mar 14",VCU Rams,Richmond Spiders,"25-7, 12-4 Conf","19-14, 8-8 Conf",71,53,NULL,NULL,Final,NBCSN,38,33,NULL,22,31,NULL,NCAAB
