ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
313170202,2012,"Sun, Nov 13",Tulsa Golden Hurricane,SE Louisiana Lions,"2-0, 2-0 Home","0-1, 0-1 Away",67,52,NULL,NULL,Final,NULL,33,34,NULL,20,32,NULL,NCAAB
313220077,2012,"Fri, Nov 18",Northwestern Wildcats,Tulsa Golden Hurricane,3-0,3-1,69,65,NULL,NULL,Final,ESPNU,37,32,NULL,37,28,NULL,NCAAB
313262296,2012,"Tue, Nov 22",Jackson State Tigers,Tulsa Golden Hurricane,"1-5, 1-1 Home","4-2, 1-0 Away",51,57,NULL,NULL,Final,NULL,23,28,NULL,20,37,NULL,NCAAB
313340197,2012,"Wed, Nov 30",Oklahoma State Cowboys,Tulsa Golden Hurricane,"4-2, 4-0 Home","4-4, 1-2 Away",59,56,NULL,NULL,Final,NULL,33,26,NULL,23,33,NULL,NCAAB
313410202,2012,"Wed, Dec 7",Tulsa Golden Hurricane,Wichita State Shockers,"4-6, 2-2 Home","6-2, 1-0 Away",67,77,NULL,NULL,Final,NULL,41,26,NULL,37,40,NULL,NCAAB
313530202,2012,"Mon, Dec 19",Tulsa Golden Hurricane,Creighton Bluejays,"5-7, 3-3 Home","9-1, 3-1 Away",64,83,NULL,NULL,Final,NULL,34,30,NULL,42,41,NULL,NCAAB
313652628,2012,"Sat, Dec 31",TCU Horned Frogs,Tulsa Golden Hurricane,"8-5, 5-2 Home","7-7, 2-2 Away",66,74,NULL,NULL,Final,NULL,23,43,NULL,33,41,NULL,NCAAB
320070202,2012,"Sat, Jan 7",Tulsa Golden Hurricane,SMU Mustangs,"7-9, 0-2 Conf","9-6, 1-0 Conf",55,57,NULL,NULL,Final,NULL,34,21,NULL,32,25,NULL,NCAAB
320140151,2012,"Sat, Jan 14",East Carolina Pirates,Tulsa Golden Hurricane,"9-7, 0-3 Conf","9-9, 2-2 Conf",67,70,NULL,NULL,Final,NULL,33,34,NULL,40,30,NULL,NCAAB
320210242,2012,"Sat, Jan 21",Rice Owls,Tulsa Golden Hurricane,"11-9, 2-3 Conf","11-9, 4-2 Conf",46,70,NULL,NULL,Final,NULL,22,24,NULL,25,45,NULL,NCAAB
320282567,2012,"Sat, Jan 28",SMU Mustangs,Tulsa Golden Hurricane,"10-11, 2-5 Conf","13-9, 6-2 Conf",60,66,NULL,NULL,Final,NULL,30,30,NULL,35,31,NULL,NCAAB
320392638,2012,"Wed, Feb 8",UTEP Miners,Tulsa Golden Hurricane,"11-13, 4-6 Conf","14-10, 7-3 Conf",64,55,NULL,NULL,Final,NULL,30,34,NULL,23,32,NULL,NCAAB
320462572,2012,"Wed, Feb 15",Southern Miss Golden Eagles,Tulsa Golden Hurricane,"22-4, 9-2 Conf","15-11, 8-4 Conf",77,69,NULL,NULL,Final/OT,NULL,34,32,11,28,38,3,NCAAB
320562655,2012,"Sat, Feb 25",Tulane Green Wave,Tulsa Golden Hurricane,"15-13, 3-11 Conf","17-11, 10-4 Conf",69,73,NULL,NULL,Final,NULL,30,39,NULL,37,36,NULL,NCAAB
320630202,2012,"Sat, Mar 3",Tulsa Golden Hurricane,Memphis Tigers,"17-13, 10-6 Conf","23-8, 13-3 Conf",66,78,NULL,NULL,Final,CBS,34,32,NULL,37,41,NULL,NCAAB
313150202,2012,"Fri, Nov 11",Tulsa Golden Hurricane,Little Rock Trojans,"1-0, 1-0 Home","0-1, 0-1 Away",65,49,NULL,NULL,Final,NULL,28,37,NULL,22,27,NULL,NCAAB
313210098,2012,"Thu, Nov 17",Western Kentucky Hilltoppers,Tulsa Golden Hurricane,1-2,3-0,49,65,NULL,NULL,Final,ESPN3,25,24,NULL,38,27,NULL,NCAAB
313242603,2012,"Sun, Nov 20",Saint Joseph's Hawks,Tulsa Golden Hurricane,3-1,3-2,79,75,NULL,NULL,Final,ESPNU,39,40,NULL,40,35,NULL,NCAAB
313302623,2012,"Sat, Nov 26",Missouri State Bears,Tulsa Golden Hurricane,"4-0, 2-0 Home","4-3, 1-1 Away",69,64,NULL,NULL,Final/OT,NULL,26,30,13,20,36,8,NCAAB
313370202,2012,"Sat, Dec 3",Tulsa Golden Hurricane,Arizona State Sun Devils,"4-5, 2-1 Home","3-4, 1-0 Away",64,67,NULL,NULL,Final,NULL,30,34,NULL,32,35,NULL,NCAAB
313510202,2012,"Sat, Dec 17",Tulsa Golden Hurricane,UT Arlington Mavericks,"5-6, 3-2 Home","4-4, 0-3 Away",80,75,NULL,NULL,Final/OT,NULL,27,41,12,27,41,7,NCAAB
313620202,2012,"Wed, Dec 28",Tulsa Golden Hurricane,Mercer Bears,"6-7, 4-3 Home","8-6, 4-5 Away",68,62,NULL,NULL,Final,NULL,34,34,NULL,27,35,NULL,NCAAB
320040248,2012,"Wed, Jan 4",Houston Cougars,Tulsa Golden Hurricane,"9-5, 1-0 Conf","7-8, 0-1 Conf",70,69,NULL,NULL,Final/OT,NULL,25,40,5,33,32,4,NCAAB
320110202,2012,"Wed, Jan 11",Tulsa Golden Hurricane,UTEP Miners,"8-9, 1-2 Conf","8-9, 1-2 Conf",59,48,NULL,NULL,Final,NULL,28,31,NULL,22,26,NULL,NCAAB
320180202,2012,"Wed, Jan 18",Tulsa Golden Hurricane,Tulane Green Wave,"10-9, 3-2 Conf","12-6, 0-4 Conf",60,56,NULL,NULL,Final,NULL,25,35,NULL,32,24,NULL,NCAAB
320250202,2012,"Wed, Jan 25",Tulsa Golden Hurricane,UCF Knights,"12-9, 5-2 Conf","15-5, 5-2 Conf",66,61,NULL,NULL,Final,NULL,32,34,NULL,30,31,NULL,NCAAB
320350202,2012,"Sat, Feb 4",Tulsa Golden Hurricane,Marshall Thundering Herd,"14-9, 7-2 Conf","14-9, 5-4 Conf",79,70,NULL,NULL,Final,NULL,37,42,NULL,30,40,NULL,NCAAB
320420202,2012,"Sat, Feb 11",Tulsa Golden Hurricane,Houston Cougars,"15-10, 8-3 Conf","11-13, 3-8 Conf",72,48,NULL,NULL,Final,NULL,26,46,NULL,22,26,NULL,NCAAB
320490202,2012,"Sat, Feb 18",Tulsa Golden Hurricane,Rice Owls,"16-11, 9-4 Conf","15-12, 6-6 Conf",69,50,NULL,NULL,Final,NULL,33,36,NULL,29,21,NULL,NCAAB
320600005,2012,"Wed, Feb 29",UAB Blazers,Tulsa Golden Hurricane,"14-14, 9-6 Conf","17-12, 10-5 Conf",68,64,NULL,NULL,Final,NULL,32,36,NULL,24,40,NULL,NCAAB
320680202,2012,"Thu, Mar 8",Tulsa Golden Hurricane,Marshall Thundering Herd,"17-14, 10-6 Conf","20-12, 9-7 Conf",100,105,NULL,NULL,Final/3OT,NULL,32,32,36,30,34,41,NCAAB
