,ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
0,294000001,2008,"Thu, Mar 19",UConn Huskies,Chattanooga Mocs,28-4,18-17,103,47,,,Final,,48,55,,20,27,,NCAAB
1,294000003,2008,"Sat, Mar 21",UConn Huskies,Texas A&M Aggies,29-4,24-10,92,66,,,Final,,51,41,,33,33,,NCAAB
2,294000007,2008,"Thu, Mar 26",UConn Huskies,Purdue Boilermakers,30-4,27-10,72,60,,,Final,,30,42,,25,35,,NCAAB
3,294000015,2008,"Sat, Mar 28",UConn Huskies,Missouri Tigers,31-4,31-7,82,75,,,Final,,44,38,,38,37,,NCAAB
4,283220041,2008,"Mon, Nov 17",UConn Huskies,Hartford Hawks,"2-0, 2-0 Home","0-2, 0-1 Away",99,56,,,Final,,41,58,,32,24,,NCAAB
5,283280041,2008,"Sun, Nov 23",UConn Huskies,Miami Hurricanes,4-0,2-1,76,63,,,Final,,39,37,,31,32,,NCAAB
6,283340041,2008,"Sat, Nov 29",UConn Huskies,Bryant Bulldogs,"6-0, 3-0 Home","1-3, 0-2 Away",88,58,,,Final,,45,43,,28,30,,NCAAB
7,283392084,2008,"Thu, Dec 4",Buffalo Bulls,UConn Huskies,"3-3, 1-2 Home","8-0, 2-0 Away",64,68,,,Final,,32,32,,32,36,,NCAAB
8,283552250,2008,"Sat, Dec 20",Gonzaga Bulldogs,UConn Huskies,8-2,10-0,83,88,,,Final/OT,,37,37,9.0,38,36,14.0,NCAAB
9,283640041,2008,"Mon, Dec 29",UConn Huskies,Georgetown Hoyas,"11-1, 0-1 Conf","10-1, 1-0 Conf",63,74,,,Final,,27,36,,36,38,,NCAAB
10,290060277,2008,"Tue, Jan 6",West Virginia Mountaineers,UConn Huskies,"11-3, 1-1 Conf","13-1, 2-1 Conf",55,61,,,Final,,29,26,,29,32,,NCAAB
11,290152599,2008,"Thu, Jan 15",St. John's Red Storm,UConn Huskies,"10-6, 1-3 Conf","15-1, 4-1 Conf",55,67,,,Final,,30,25,,31,36,,NCAAB
12,290210041,2008,"Wed, Jan 21",UConn Huskies,Villanova Wildcats,"17-1, 6-1 Conf","14-4, 2-3 Conf",89,83,,,Final,,48,41,,48,35,,NCAAB
13,290280305,2008,"Wed, Jan 28",DePaul Blue Demons,UConn Huskies,"8-13, 0-8 Conf","19-1, 8-1 Conf",49,71,,,Final,,35,14,,41,30,,NCAAB
14,290330097,2008,"Mon, Feb 2",Louisville Cardinals,UConn Huskies,"17-4, 8-1 Conf","21-1, 10-1 Conf",51,68,,,Final,,26,25,,38,30,,NCAAB
15,290420041,2008,"Wed, Feb 11",UConn Huskies,Syracuse Orange,"23-1, 11-1 Conf","18-7, 6-6 Conf",63,49,,,Final,,30,33,,27,22,,NCAAB
16,290470041,2008,"Mon, Feb 16",UConn Huskies,Pittsburgh Panthers,"24-2, 12-2 Conf","24-2, 11-2 Conf",68,76,,,Final,,33,35,,36,40,,NCAAB
17,290560269,2008,"Wed, Feb 25",Marquette Golden Eagles,UConn Huskies,"23-5, 12-3 Conf","26-2, 14-2 Conf",82,93,,,Final,,37,45,,43,50,,NCAAB
18,290660221,2008,"Sat, Mar 7",Pittsburgh Panthers,UConn Huskies,"28-3, 15-3 Conf","27-3, 15-3 Conf",70,60,,,Final,,38,32,,28,32,,NCAAB
19,283190041,2008,"Fri, Nov 14",UConn Huskies,Western Carolina Catamounts,"1-0, 1-0 Home","0-1, 0-1 Away",81,55,,,Final,,40,41,,25,30,,NCAAB
20,283260041,2008,"Fri, Nov 21",UConn Huskies,La Salle Explorers,3-0,1-2,89,81,,,Final,,46,43,,40,41,,NCAAB
21,283290275,2008,"Mon, Nov 24",Wisconsin Badgers,UConn Huskies,"4-1, 2-1 Home","5-0, 1-0 Away",57,76,,,Final,,28,29,,38,38,,NCAAB
22,283360041,2008,"Mon, Dec 1",UConn Huskies,Delaware State Hornets,"7-0, 4-0 Home","1-9, 0-6 Away",79,49,,,Final,,44,35,,18,31,,NCAAB
23,283500041,2008,"Mon, Dec 15",UConn Huskies,Stony Brook Seawolves,9-0,5-5,91,57,,,Final,,44,47,,30,27,,NCAAB
24,283610041,2008,"Fri, Dec 26",UConn Huskies,Fairfield Stags,"11-0, 5-0 Home","8-4, 2-3 Away",75,55,,,Final,,42,33,,26,29,,NCAAB
25,290030041,2008,"Sat, Jan 3",UConn Huskies,Rutgers Scarlet Knights,"12-1, 1-1 Conf","9-6, 0-2 Conf",80,49,,,Final,,29,51,,18,31,,NCAAB
26,290102132,2008,"Sat, Jan 10",Cincinnati Bearcats,UConn Huskies,"10-6, 0-3 Conf","14-1, 3-1 Conf",72,81,,,Final,,34,38,,38,43,,NCAAB
27,290180041,2008,"Sun, Jan 18",UConn Huskies,Seton Hall Pirates,"16-1, 5-1 Conf","9-8, 0-5 Conf",76,61,,,Final,,42,34,,26,35,,NCAAB
28,290240087,2008,"Sat, Jan 24",Notre Dame Fighting Irish,UConn Huskies,"12-6, 3-4 Conf","18-1, 7-1 Conf",61,69,,,Final,,29,32,,30,39,,NCAAB
29,290310041,2008,"Sat, Jan 31",UConn Huskies,Providence Friars,"20-1, 9-1 Conf","14-7, 6-3 Conf",94,61,,,Final,,38,56,,34,27,,NCAAB
30,290380041,2008,"Sat, Feb 7",UConn Huskies,Michigan Wolverines,"22-1, 10-1 Home","15-9, 1-6 Away",69,61,,,Final,,33,36,,34,27,,NCAAB
31,290452550,2008,"Sat, Feb 14",Seton Hall Pirates,UConn Huskies,"14-10, 5-7 Conf","24-1, 12-1 Conf",54,62,,,Final,,23,31,,33,29,,NCAAB
32,290520041,2008,"Sat, Feb 21",UConn Huskies,South Florida Bulls,"25-2, 13-2 Conf","8-18, 3-11 Conf",64,50,,,Final,,31,33,,20,30,,NCAAB
33,290590041,2008,"Sat, Feb 28",UConn Huskies,Notre Dame Fighting Irish,"27-2, 15-2 Conf","16-12, 7-9 Conf",72,65,,,Final,,32,40,,30,35,,NCAAB
34,294000031,2008,"Sat, Apr 4",UConn Huskies,Michigan State Spartans,31-5,31-6,73,82,,,Final,,36,37,,38,44,,NCAAB
35,290710041,2008,"Thu, Mar 12",UConn Huskies,Syracuse Orange,"27-4, 15-3 Conf","25-8, 11-7 Conf",117,127,,,Final/6OT,,37,34,46.0,34,37,56.0,NCAAB
