ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
310760041,2011,"Thu, Mar 17",UConn Huskies,Bucknell Bison,27-9,25-9,81,52,NULL,NULL,Final,TNT,39,42,NULL,22,30,NULL,NCAAB
310780041,2011,"Sat, Mar 19",UConn Huskies,Cincinnati Bearcats,28-9,26-9,69,58,NULL,NULL,Final,TBS,36,33,NULL,28,30,NULL,NCAAB
310830021,2011,"Thu, Mar 24",San Diego State Aztecs,UConn Huskies,34-3,29-9,67,74,NULL,NULL,Final,CBS,27,40,NULL,36,38,NULL,NCAAB
310850041,2011,"Sat, Mar 26",UConn Huskies,Arizona Wildcats,30-9,30-8,65,63,NULL,NULL,Final,CBS,32,33,NULL,25,38,NULL,NCAAB
310920041,2011,"Sat, Apr 2",UConn Huskies,Kentucky Wildcats,31-9,29-9,56,55,NULL,NULL,Final,CBS,31,25,NULL,21,34,NULL,NCAAB
303210041,2011,"Wed, Nov 17",UConn Huskies,Vermont Catamounts,"2-0, 2-0 Home","1-1, 1-1 Away",89,73,NULL,NULL,Final,NULL,33,56,NULL,36,37,NULL,NCAAB
303270127,2011,"Tue, Nov 23",Michigan State Spartans,UConn Huskies,3-1,4-0,67,70,NULL,NULL,Final,ESPN,34,33,NULL,34,36,NULL,NCAAB
303340041,2011,"Tue, Nov 30",UConn Huskies,New Hampshire Wildcats,"6-0, 3-0 Home","4-2, 1-2 Away",62,55,NULL,NULL,Final,NULL,23,39,NULL,24,31,NULL,NCAAB
303420041,2011,"Wed, Dec 8",UConn Huskies,Fairleigh Dickinson Knights,"8-0, 5-0 Home","3-4, 1-2 Away",78,54,NULL,NULL,Final,NULL,35,43,NULL,21,33,NULL,NCAAB
303560041,2011,"Wed, Dec 22",UConn Huskies,Harvard Crimson,"10-0, 7-0 Home","7-3, 2-3 Away",81,52,NULL,NULL,Final,NULL,48,33,NULL,21,31,NULL,NCAAB
