ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
252530264,2005,"Sat, Sep 10",Washington Huskies,California Golden Bears,"0-2, 0-1 Conf","2-0, 1-0 Conf",17,56,NULL,NULL,Final,NULL,7,3,7,0,NULL,7,21,7,21,NULL,NCAAF
252660166,2005,"Fri, Sep 23",New Mexico State Aggies,California Golden Bears,"0-4, 0-2 Home","4-0, 2-0 Away",13,41,NULL,NULL,Final,ESPN,10,0,3,0,NULL,20,7,0,14,NULL,NCAAF
252810026,2005,"Sat, Oct 8",UCLA Bruins,California Golden Bears,"5-0, 2-0 Conf","5-1, 2-1 Conf",47,40,NULL,NULL,Final,TBS,7,14,7,19,NULL,14,13,10,3,NULL,NCAAF
252950025,2005,"Sat, Oct 22",California Golden Bears,Washington State Cougars,"6-2, 3-2 Conf","3-4, 0-4 Conf",42,38,NULL,NULL,Final,FSN,14,14,0,14,NULL,10,0,22,6,NULL,NCAAF
253160025,2005,"Sat, Nov 12",California Golden Bears,USC Trojans,"6-4, 3-4 Conf","10-0, 7-0 Conf",10,35,NULL,NULL,Final,ABC,3,0,0,7,NULL,7,14,7,7,NULL,NCAAF
252460025,2005,"Sat, Sep 3",California Golden Bears,Sacramento State Hornets,"1-0, 1-0 Home","0-1, 0-1 Away",41,3,NULL,NULL,Final,NULL,7,3,17,14,NULL,0,3,0,0,NULL,NCAAF
252600025,2005,"Sat, Sep 17",California Golden Bears,Illinois Fighting Illini,"3-0, 1-0 Conf","2-1, 0-0 Conf",35,20,NULL,NULL,Final,NULL,7,0,7,21,NULL,7,10,0,3,NULL,NCAAF
252740025,2005,"Sat, Oct 1",California Golden Bears,Arizona Wildcats,"5-0, 2-0 Conf","1-3, 0-1 Conf",28,0,NULL,NULL,Final,NULL,7,7,7,7,NULL,0,0,0,0,NULL,NCAAF
252880025,2005,"Sat, Oct 15",California Golden Bears,Oregon State Beavers,"5-2, 2-2 Conf","4-2, 2-1 Conf",20,23,NULL,NULL,Final,ABC,0,14,6,0,NULL,6,3,7,7,NULL,NCAAF
253092483,2005,"Sat, Nov 5",Oregon Ducks,California Golden Bears,"8-1, 5-1 Conf","6-3, 3-3 Conf",27,20,NULL,NULL,Final/OT,ABC,7,6,7,0,7,7,3,10,0,0,NCAAF
253560025,2005,"Thu, Dec 22",California Golden Bears,BYU Cougars,"8-4, 5-2 Home","6-6, 3-3 Away",35,28,NULL,NULL,Final,ESPN,7,14,14,0,NULL,0,14,0,14,NULL,NCAAF
253230024,2005,"Sat, Nov 19",Stanford Cardinal,California Golden Bears,"5-5, 4-4 Conf","7-4, 4-4 Conf",3,27,NULL,NULL,Final,ABC,0,3,0,0,NULL,6,0,7,14,NULL,NCAAF
