ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
401013358,2018,"Sat, Sep 8",Georgia Southern Eagles,UMass Minutemen,"2-0, 2-0 Home","1-2, 0-2 Away",34,13,GASO -1.5,61,Final,ESPN+,0,17,10,7,NULL,3,7,3,0,NULL,NCAAF
401021666,2018,"Sat, Sep 29",Georgia Southern Eagles,Arkansas State Red Wolves,"3-1, 1-0 Conf","3-2, 0-1 Conf",28,21,ARST -3.0,53,Final,ESPN+,0,7,7,14,NULL,0,3,11,7,NULL,NCAAF
401021673,2018,"Thu, Oct 11",Texas State Bobcats,Georgia Southern Eagles,"1-5, 0-3 Conf","5-1, 3-0 Conf",13,15,GASO -16.5,52,Final,ESPNU,0,0,7,6,NULL,0,10,5,0,NULL,NCAAF
401021680,2018,"Thu, Oct 25",Georgia Southern Eagles,Appalachian State Mountaineers,"7-1, 4-0 Conf","5-2, 3-1 Conf",34,14,APP -10.5,48,Final,ESPNU,0,17,10,7,NULL,0,7,0,7,NULL,NCAAF
401021689,2018,"Sat, Nov 10",Georgia Southern Eagles,Troy Trojans,"7-3, 4-2 Conf","8-2, 6-0 Conf",21,35,TROY -2.0,45,Final,ESPN+,14,0,0,7,NULL,3,14,11,7,NULL,NCAAF
401021653,2018,"Sat, Sep 1",Georgia Southern Eagles,South Carolina State Bulldogs,"1-0, 1-0 Home","0-1, 0-1 Away",37,6,NULL,NULL,Final,ESPN+,13,3,7,14,NULL,0,0,6,0,NULL,NCAAF
401013110,2018,"Sat, Sep 15",Clemson Tigers,Georgia Southern Eagles,"3-0, 2-0 Home","2-1, 0-1 Away",38,7,CLEM -32.0,50,Final,ESPNU,0,21,3,14,NULL,0,0,0,7,NULL,NCAAF
401021670,2018,"Sat, Oct 6",Georgia Southern Eagles,South Alabama Jaguars,"4-1, 2-0 Conf","1-5, 1-2 Conf",48,13,GASO -12.5,57,Final,ESPN3,7,10,10,21,NULL,0,6,0,7,NULL,NCAAF
401013443,2018,"Sat, Oct 20",New Mexico State Aggies,Georgia Southern Eagles,"2-6, 1-3 Home","6-1, 2-1 Away",31,48,GASO -10.0,54,Final,NULL,14,3,7,7,NULL,10,14,21,3,NULL,NCAAF
401021685,2018,"Sat, Nov 3",UL Monroe Warhawks,Georgia Southern Eagles,"5-4, 3-2 Conf","7-2, 4-1 Conf",44,25,GASO -7.0,60,Final,ESPN3,13,14,14,3,NULL,0,10,8,7,NULL,NCAAF
401021694,2018,"Sat, Nov 17",Coastal Carolina Chanticleers,Georgia Southern Eagles,"5-6, 2-5 Conf","8-3, 5-2 Conf",17,41,GASO -7.0,54,Final,ESPN+,7,3,0,7,NULL,3,10,21,7,NULL,NCAAF
401021700,2018,"Sat, Nov 24",Georgia State Panthers,Georgia Southern Eagles,"2-10, 1-7 Conf","9-3, 6-2 Conf",14,35,NULL,NULL,Final,ESPN+,0,0,0,14,NULL,0,13,15,7,NULL,NCAAF
401032056,2018,"Sat, Dec 15",Eastern Michigan Eagles,Georgia Southern Eagles,7-6,10-3,21,23,GASO -2.5,46,Final,ESPN,0,7,7,7,NULL,7,10,0,6,NULL,NCAAF
