ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
242620152,2004,"Sat, Sep 18",NC State Wolfpack,Ohio State Buckeyes,"1-1, 0-0 Conf","3-0, 0-0 Conf",14,22,NULL,NULL,Final,ABC,0,0,7,7,NULL,3,10,6,3,NULL,NCAAF
242760152,2004,"Sat, Oct 2",NC State Wolfpack,Wake Forest Demon Deacons,"3-1, 2-0 Conf","3-2, 0-2 Conf",27,21,NULL,NULL,Final/OT,NULL,0,0,21,0,6,7,7,0,7,0,NCAAF
242900120,2004,"Sat, Oct 16",Maryland Terrapins,NC State Wolfpack,"3-3, 1-2 Conf","4-2, 3-1 Conf",3,13,NULL,NULL,Final,ABC,0,0,0,3,NULL,3,7,3,0,NULL,NCAAF
243040228,2004,"Sat, Oct 30",Clemson Tigers,NC State Wolfpack,"4-4, 3-3 Conf","4-4, 3-3 Conf",26,20,NULL,NULL,Final,ESPN2,3,7,13,3,NULL,3,7,7,3,NULL,NCAAF
243160152,2004,"Thu, Nov 11",NC State Wolfpack,Florida State Seminoles,"4-6, 3-5 Conf","8-2, 6-2 Conf",10,17,NULL,NULL,Final,ESPN,0,10,0,0,NULL,0,0,17,0,NULL,NCAAF
242480152,2004,"Sat, Sep 4",NC State Wolfpack,Richmond Spiders,"1-0, 0-0 Conf","0-1, 0-0 Conf",42,0,NULL,NULL,Final,NULL,14,21,0,7,NULL,0,0,0,0,NULL,NCAAF
242690259,2004,"Sat, Sep 25",Virginia Tech Hokies,NC State Wolfpack,"2-2, 1-1 Conf","2-1, 1-0 Conf",16,17,NULL,NULL,Final,NULL,0,10,0,6,NULL,3,7,7,0,NULL,NCAAF
242830153,2004,"Sat, Oct 9",North Carolina Tar Heels,NC State Wolfpack,"3-3, 2-2 Conf","3-2, 2-1 Conf",30,24,NULL,NULL,Final,NULL,3,10,0,17,NULL,3,3,10,8,NULL,NCAAF
242970152,2004,"Sat, Oct 23",NC State Wolfpack,Miami Hurricanes,"4-3, 3-2 Conf","6-0, 3-0 Conf",31,45,NULL,NULL,Final,ESPN,10,7,0,14,NULL,14,14,10,7,NULL,NCAAF
243110152,2004,"Sat, Nov 6",NC State Wolfpack,Georgia Tech Yellow Jackets,"4-5, 3-4 Conf","5-3, 4-3 Conf",14,24,NULL,NULL,Final,NULL,7,7,0,0,NULL,0,7,0,17,NULL,NCAAF
243320151,2004,"Sat, Nov 27",NC State Wolfpack,East Carolina Pirates,"5-6, 3-5 Conf","2-9, 2-6 Conf",52,14,NULL,NULL,Final,NULL,7,10,21,14,NULL,7,0,0,7,NULL,NCAAF
