ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
400787415,2015,"Sat, Sep 12",New Mexico State Aggies,Georgia State Panthers,"0-2, 0-1 Conf","1-1, 1-0 Conf",32,34,NULL,NULL,Final,ESPN3,7,6,6,13,NULL,10,14,3,7,NULL,NCAAF
400787252,2015,"Sat, Oct 3",New Mexico Lobos,New Mexico State Aggies,"3-2, 2-1 Home","0-4, 0-2 Away",38,29,NULL,NULL,Final,NULL,14,0,15,9,NULL,17,9,3,0,NULL,NCAAF
400787452,2015,"Sat, Oct 17",Georgia Southern Eagles,New Mexico State Aggies,"5-1, 3-0 Conf","0-6, 0-2 Conf",56,26,NULL,NULL,Final,ESPN3,14,21,14,7,NULL,0,7,7,12,NULL,NCAAF
400787462,2015,"Sat, Oct 31",New Mexico State Aggies,Idaho Vandals,"1-7, 1-3 Conf","3-5, 2-3 Conf",55,48,NULL,NULL,Final/OT,ESPN3,0,7,14,27,7,10,13,10,15,0,NCAAF
400787476,2015,"Sat, Nov 21",Louisiana Ragin' Cajuns,New Mexico State Aggies,"4-6, 3-3 Conf","3-7, 3-3 Conf",34,37,NULL,NULL,Final,ESPN3,7,10,3,14,NULL,3,17,7,10,NULL,NCAAF
400603830,2015,"Sat, Sep 5",Florida Gators,New Mexico State Aggies,"1-0, 1-0 Home","0-1, 0-1 Away",61,13,NULL,NULL,Final,SECN,7,27,13,14,NULL,0,13,0,0,NULL,NCAAF
400763604,2015,"Sat, Sep 19",New Mexico State Aggies,UTEP Miners,"0-3, 0-2 Home","1-2, 1-2 Away",47,50,NULL,NULL,Final/OT,ESPN3,13,3,14,14,3,9,0,7,28,6,NCAAF
400603902,2015,"Sat, Oct 10",Ole Miss Rebels,New Mexico State Aggies,"5-1, 4-0 Home","0-5, 0-3 Away",52,3,NULL,NULL,Final,SECN,17,14,14,7,NULL,3,0,0,0,NULL,NCAAF
400787457,2015,"Sat, Oct 24",New Mexico State Aggies,Troy Trojans,"0-7, 0-3 Conf","2-5, 1-2 Conf",7,52,NULL,NULL,Final,ESPN3,0,7,0,0,NULL,21,24,7,0,NULL,NCAAF
400787468,2015,"Sat, Nov 7",Texas State Bobcats,New Mexico State Aggies,"2-6, 1-3 Conf","2-7, 2-3 Conf",21,31,NULL,NULL,Final,ESPN3,0,14,0,7,NULL,7,3,7,14,NULL,NCAAF
400787479,2015,"Sat, Nov 28",New Mexico State Aggies,Arkansas State Red Wolves,"3-8, 3-4 Conf","8-3, 7-0 Conf",28,52,NULL,NULL,Final,ESPN3,7,7,7,7,NULL,21,14,10,7,NULL,NCAAF
400787486,2015,"Sat, Dec 5",Louisiana Monroe Warhawks,New Mexico State Aggies,"2-11, 1-7 Conf","3-9, 3-5 Conf",42,35,NULL,NULL,Final,ESPN3,7,7,21,7,NULL,14,7,14,0,NULL,NCAAF
