ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
322520258,2012,"Sat, Sep 8",Virginia Cavaliers,Penn State Nittany Lions,"2-0, 2-0 Home","0-2, 0-1 Away",17,16,NULL,NULL,Final,ABC,0,3,7,7,NULL,7,0,0,9,NULL,NCAAF
322660213,2012,"Sat, Sep 22",Penn State Nittany Lions,Temple Owls,"2-2, 2-1 Home","1-2, 0-1 Away",24,13,NULL,NULL,Final,ABC/ESPN2,7,7,7,3,NULL,0,3,3,7,NULL,NCAAF
322800213,2012,"Sat, Oct 6",Penn State Nittany Lions,Northwestern Wildcats,"4-2, 2-0 Conf","5-1, 1-1 Conf",39,28,NULL,NULL,Final,ESPN/ESPN3D,3,7,7,22,NULL,0,14,14,0,NULL,NCAAF
323010213,2012,"Sat, Oct 27",Penn State Nittany Lions,Ohio State Buckeyes,"5-3, 3-1 Conf","9-0, 5-0 Conf",23,35,NULL,NULL,Final,ESPN,0,7,3,13,NULL,0,7,21,7,NULL,NCAAF
323150158,2012,"Sat, Nov 10",Nebraska Cornhuskers,Penn State Nittany Lions,"8-2, 5-1 Conf","6-4, 4-2 Conf",32,23,NULL,NULL,Final,ABC/ESPN2,3,3,14,12,NULL,7,13,3,0,NULL,NCAAF
322450213,2012,"Sat, Sep 1",Penn State Nittany Lions,Ohio Bobcats,"0-1, 0-1 Home","1-0, 1-0 Away",14,24,NULL,NULL,Final,ABC/ESPN/ESPN3D,7,7,0,0,NULL,0,3,14,7,NULL,NCAAF
322590213,2012,"Sat, Sep 15",Penn State Nittany Lions,Navy Midshipmen,"1-2, 1-1 Home","0-2, 0-1 Away",34,7,NULL,NULL,Final,ABC/ESPN2,14,6,7,7,NULL,0,0,0,7,NULL,NCAAF
322730356,2012,"Sat, Sep 29",Illinois Fighting Illini,Penn State Nittany Lions,"2-3, 0-1 Conf","3-2, 1-0 Conf",7,35,NULL,NULL,Final,ESPN/ESPN3D,0,0,7,0,NULL,14,7,7,7,NULL,NCAAF
322942294,2012,"Sat, Oct 20",Iowa Hawkeyes,Penn State Nittany Lions,"4-3, 2-1 Conf","5-2, 3-0 Conf",14,38,NULL,NULL,Final,BTN,0,0,0,14,NULL,14,10,7,7,NULL,NCAAF
323082509,2012,"Sat, Nov 3",Purdue Boilermakers,Penn State Nittany Lions,"3-6, 0-5 Conf","6-3, 4-1 Conf",9,34,NULL,NULL,Final,ESPNU,3,0,0,6,NULL,10,10,14,0,NULL,NCAAF
323220213,2012,"Sat, Nov 17",Penn State Nittany Lions,Indiana Hoosiers,"7-4, 5-2 Conf","4-7, 2-5 Conf",45,22,NULL,NULL,Final,BTN,7,21,14,3,NULL,0,13,9,0,NULL,NCAAF
323290213,2012,"Sat, Nov 24",Penn State Nittany Lions,Wisconsin Badgers,"8-4, 6-2 Conf","7-5, 4-4 Conf",24,21,NULL,NULL,Final/OT,ESPN2,7,0,6,8,3,14,0,0,7,0,NCAAF
