ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
400933850,2017,"Sat, Sep 9",Missouri Tigers,South Carolina Gamecocks,"1-1, 0-1 Conf","2-0, 1-0 Conf",13,31,NULL,NULL,Final,ESPN2,3,7,3,0,NULL,0,14,10,7,NULL,NCAAF
400933869,2017,"Sat, Sep 23",South Carolina Gamecocks,Louisiana Tech Bulldogs,"3-1, 1-1 Home","2-2, 1-1 Away",17,16,NULL,NULL,Final,SECN,0,0,0,17,NULL,3,3,7,3,NULL,NCAAF
400933883,2017,"Sat, Oct 7",South Carolina Gamecocks,Arkansas Razorbacks,"4-2, 2-2 Conf","2-3, 0-2 Conf",48,22,NULL,NULL,Final,SECN,3,14,17,14,NULL,3,7,0,12,NULL,NCAAF
400933902,2017,"Sat, Oct 28",South Carolina Gamecocks,Vanderbilt Commodores,"6-2, 4-2 Conf","3-5, 0-5 Conf",34,27,NULL,NULL,Final,SECN,14,10,7,3,NULL,7,6,7,7,NULL,NCAAF
400933918,2017,"Sat, Nov 11",South Carolina Gamecocks,Florida Gators,"7-3, 5-3 Conf","3-6, 3-5 Conf",28,20,NULL,NULL,Final,CBS,14,7,7,0,NULL,0,13,0,7,NULL,NCAAF
400933837,2017,"Sat, Sep 2",South Carolina Gamecocks,NC State Wolfpack,1-0,0-1,35,28,NULL,NULL,Final,ESPN,14,7,14,0,NULL,14,7,0,7,NULL,NCAAF
400933861,2017,"Sat, Sep 16",South Carolina Gamecocks,Kentucky Wildcats,"2-1, 1-1 Conf","3-0, 1-0 Conf",13,23,NULL,NULL,Final,SECN,6,0,0,7,NULL,7,7,3,6,NULL,NCAAF
400933879,2017,"Sat, Sep 30",Texas A&M Aggies,South Carolina Gamecocks,"4-1, 2-0 Conf","3-2, 1-2 Conf",24,17,NULL,NULL,Final,SECN,0,7,3,14,NULL,0,10,7,0,NULL,NCAAF
400933892,2017,"Sat, Oct 14",Tennessee Volunteers,South Carolina Gamecocks,"3-3, 0-3 Conf","5-2, 3-2 Conf",9,15,NULL,NULL,Final,ESPN,6,3,0,0,NULL,0,3,6,6,NULL,NCAAF
400933906,2017,"Sat, Nov 4",Georgia Bulldogs,South Carolina Gamecocks,"9-0, 6-0 Conf","6-3, 4-3 Conf",24,10,NULL,NULL,Final,CBS,7,7,7,3,NULL,0,7,3,0,NULL,NCAAF
400933927,2017,"Sat, Nov 18",South Carolina Gamecocks,Wofford Terriers,"8-3, 5-1 Home","9-2, 5-1 Away",31,10,NULL,NULL,Final,SECN,0,14,7,10,NULL,3,0,7,0,NULL,NCAAF
400933937,2017,"Sat, Nov 25",South Carolina Gamecocks,Clemson Tigers,"8-4, 5-2 Home","11-1, 4-1 Away",10,34,NULL,NULL,Final,ESPN,0,0,0,10,NULL,7,13,14,0,NULL,NCAAF
400953410,2017,"Mon, Jan 1",South Carolina Gamecocks,Michigan Wolverines,9-4,8-5,26,19,NULL,NULL,Final,ESPN2,0,3,13,10,NULL,6,3,10,0,NULL,NCAAF
