ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
292552633,2009,"Sat, Sep 12",Tennessee Volunteers,UCLA Bruins,"1-1, 1-1 Home","2-0, 1-0 Away",15,19,NULL,NULL,Final,ESPN,10,0,0,5,NULL,3,7,9,0,NULL,NCAAF
292760024,2009,"Sat, Oct 3",Stanford Cardinal,UCLA Bruins,"4-1, 3-0 Conf","3-1, 0-1 Conf",24,16,NULL,NULL,Final,ABC,7,7,10,0,NULL,3,3,0,10,NULL,NCAAF
292900026,2009,"Sat, Oct 17",UCLA Bruins,California Golden Bears,"3-3, 0-3 Conf","4-2, 1-2 Conf",26,45,NULL,NULL,Final,ABC,7,13,6,0,NULL,14,21,3,7,NULL,NCAAF
293040204,2009,"Sat, Oct 31",Oregon State Beavers,UCLA Bruins,"5-3, 3-2 Conf","3-5, 0-5 Conf",26,19,NULL,NULL,Final,NULL,3,13,0,10,NULL,0,0,3,16,NULL,NCAAF
293180265,2009,"Sat, Nov 14",Washington State Cougars,UCLA Bruins,"1-9, 0-7 Conf","5-5, 2-5 Conf",7,43,NULL,NULL,Final,NULL,0,0,7,0,NULL,14,12,3,14,NULL,NCAAF
292480026,2009,"Sat, Sep 5",UCLA Bruins,San Diego State Aztecs,"1-0, 0-0 Conf","0-1, 0-0 Conf",33,14,NULL,NULL,Final,NULL,10,13,10,0,NULL,14,0,0,0,NULL,NCAAF
292620026,2009,"Sat, Sep 19",UCLA Bruins,Kansas State Wildcats,"3-0, 2-0 Home","1-2, 0-2 Away",23,9,NULL,NULL,Final,NULL,7,6,0,10,NULL,3,0,6,0,NULL,NCAAF
292830026,2009,"Sat, Oct 10",UCLA Bruins,Oregon Ducks,"3-2, 0-2 Conf","5-1, 3-0 Conf",10,24,NULL,NULL,Final,ABC,0,3,7,0,NULL,0,0,21,3,NULL,NCAAF
292970012,2009,"Sat, Oct 24",Arizona Wildcats,UCLA Bruins,"5-2, 3-1 Conf","3-4, 0-4 Conf",27,13,NULL,NULL,Final,NULL,13,0,14,0,NULL,0,3,10,0,NULL,NCAAF
293110026,2009,"Sat, Nov 7",UCLA Bruins,Washington Huskies,"4-5, 1-5 Conf","3-6, 2-4 Conf",24,23,NULL,NULL,Final,NULL,14,0,7,3,NULL,10,6,7,0,NULL,NCAAF
293250026,2009,"Sat, Nov 21",UCLA Bruins,Arizona State Sun Devils,"6-5, 3-5 Conf","4-7, 2-6 Conf",23,13,NULL,NULL,Final,NULL,7,13,0,3,NULL,7,0,0,6,NULL,NCAAF
293320030,2009,"Sat, Nov 28",USC Trojans,UCLA Bruins,"8-3, 5-3 Conf","6-6, 3-6 Conf",28,7,NULL,NULL,Final,NULL,7,0,7,14,NULL,0,0,0,7,NULL,NCAAF
293630218,2009,"Tue, Dec 29",Temple Owls,UCLA Bruins,9-4,7-6,21,30,NULL,NULL,Final,ESPN,7,14,0,0,NULL,7,3,7,13,NULL,NCAAF
