ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
401014989,2018,"Sat, Sep 8",Southern Mississippi Golden Eagles,UL Monroe Warhawks,"1-1, 1-1 Home","2-0, 1-0 Away",20,21,USM -5.0,68,Final,ESPN3,10,7,3,0,NULL,14,0,7,0,NULL,NCAAF
401021664,2018,"Sat, Sep 22",UL Monroe Warhawks,Troy Trojans,"2-2, 0-1 Conf","3-1, 1-0 Conf",27,35,TROY -4.5,59,Final,ESPN+,7,0,7,13,NULL,7,28,0,0,NULL,NCAAF
401012303,2018,"Sat, Oct 6",Ole Miss Rebels,UL Monroe Warhawks,"4-2, 3-1 Home","2-4, 1-3 Away",70,21,MISS -23.0,76,Final,SECN,21,28,14,7,NULL,0,7,7,7,NULL,NCAAF
401021678,2018,"Sat, Oct 20",UL Monroe Warhawks,Texas State Bobcats,"4-4, 2-2 Conf","1-6, 0-4 Conf",20,14,ULM -10.5,60,Final,ESPN3,7,10,3,0,NULL,7,0,0,7,NULL,NCAAF
401021691,2018,"Sat, Nov 10",South Alabama Jaguars,UL Monroe Warhawks,"2-8, 1-5 Conf","6-4, 4-2 Conf",10,38,ULM -7.5,63,Final,ESPN+,7,3,0,0,NULL,10,14,14,0,NULL,NCAAF
401021655,2018,"Thu, Aug 30",UL Monroe Warhawks,Southeastern Louisiana Lions,"1-0, 1-0 Home","0-1, 0-1 Away",34,31,NULL,NULL,Final,ESPN+,7,9,10,8,NULL,14,7,0,10,NULL,NCAAF
401012282,2018,"Sat, Sep 15",Texas A&M Aggies,UL Monroe Warhawks,"2-1, 2-1 Home","2-1, 1-1 Away",48,10,TA&M -27.5,67,Final,SECN,7,17,10,14,NULL,3,7,0,0,NULL,NCAAF
401021668,2018,"Sat, Sep 29",Georgia State Panthers,UL Monroe Warhawks,"2-3, 1-0 Conf","2-3, 0-2 Conf",46,14,NULL,NULL,Final,ESPN+,14,16,6,10,NULL,7,7,0,0,NULL,NCAAF
401021674,2018,"Sat, Oct 13",Coastal Carolina Chanticleers,UL Monroe Warhawks,"3-3, 1-2 Conf","3-4, 1-2 Conf",20,45,CCU -6.5,67,Final,ESPN+,3,10,7,0,NULL,14,10,7,14,NULL,NCAAF
401021685,2018,"Sat, Nov 3",UL Monroe Warhawks,Georgia Southern Eagles,"5-4, 3-2 Conf","7-2, 4-1 Conf",44,25,GASO -7.0,60,Final,ESPN3,13,14,14,3,NULL,0,10,8,7,NULL,NCAAF
401021693,2018,"Sat, Nov 17",Arkansas State Red Wolves,UL Monroe Warhawks,"7-4, 4-3 Conf","6-5, 4-3 Conf",31,17,ARST -8.0,69,Final,ESPN+,7,10,14,0,NULL,0,7,10,0,NULL,NCAAF
401021701,2018,"Sat, Nov 24",UL Monroe Warhawks,Louisiana Ragin' Cajuns,"6-6, 4-4 Conf","7-5, 5-3 Conf",28,31,ULM -1.5,71,Final,ESPN+,0,21,0,7,NULL,14,10,0,7,NULL,NCAAF
