ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
282500264,2008,"Sat, Sep 6",Washington Huskies,BYU Cougars,"0-2, 0-1 Conf","2-0, 0-0 Conf",27,28,NULL,NULL,Final,NULL,7,7,7,6,NULL,7,7,7,7,NULL,NCAAF
282710264,2008,"Sat, Sep 27",Washington Huskies,Stanford Cardinal,"0-4, 0-2 Conf","3-2, 2-1 Conf",28,35,NULL,NULL,Final,NULL,7,7,7,7,NULL,7,14,7,7,NULL,NCAAF
282920264,2008,"Sat, Oct 18",Washington Huskies,Oregon State Beavers,"0-6, 0-4 Conf","4-3, 3-1 Conf",13,34,NULL,NULL,Final,NULL,3,3,0,7,NULL,7,10,7,10,NULL,NCAAF
283060030,2008,"Sat, Nov 1",USC Trojans,Washington Huskies,"7-1, 5-1 Conf","0-8, 0-5 Conf",56,0,NULL,NULL,Final,NULL,21,21,7,7,NULL,0,0,0,0,NULL,NCAAF
283200264,2008,"Sat, Nov 15",Washington Huskies,UCLA Bruins,"0-10, 0-7 Conf","4-6, 3-4 Conf",7,27,NULL,NULL,Final,NULL,7,0,0,0,NULL,7,10,0,10,NULL,NCAAF
282432483,2008,"Sat, Aug 30",Oregon Ducks,Washington Huskies,"1-0, 1-0 Conf","0-1, 0-1 Conf",44,10,NULL,NULL,Final,NULL,14,0,7,23,NULL,0,10,0,0,NULL,NCAAF
282570264,2008,"Sat, Sep 13",Washington Huskies,Oklahoma Sooners,"0-3, 0-2 Home","3-0, 1-0 Away",14,55,NULL,NULL,Final,ESPN,0,0,7,7,NULL,13,21,14,7,NULL,NCAAF
282780012,2008,"Sat, Oct 4",Arizona Wildcats,Washington Huskies,"4-1, 2-0 Conf","0-5, 0-3 Conf",48,14,NULL,NULL,Final,NULL,17,14,17,0,NULL,0,7,0,7,NULL,NCAAF
282990264,2008,"Sat, Oct 25",Washington Huskies,Notre Dame Fighting Irish,"0-7, 0-5 Home","5-2, 1-2 Away",7,33,NULL,NULL,Final,ESPN2,0,0,0,7,NULL,14,3,10,6,NULL,NCAAF
283130264,2008,"Sat, Nov 8",Washington Huskies,Arizona State Sun Devils,"0-9, 0-6 Conf","3-6, 2-4 Conf",19,39,NULL,NULL,Final,NULL,3,10,6,0,NULL,3,13,7,16,NULL,NCAAF
283270265,2008,"Sat, Nov 22",Washington State Cougars,Washington Huskies,"2-10, 1-8 Conf","0-11, 0-8 Conf",16,13,NULL,NULL,Final/OT,NULL,0,0,7,3,6,0,10,0,0,3,NCAAF
283410025,2008,"Sat, Dec 6",California Golden Bears,Washington Huskies,"8-4, 6-3 Conf","0-12, 0-9 Conf",48,7,NULL,NULL,Final,NULL,10,21,14,3,NULL,0,0,7,0,NULL,NCAAF
