ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,Week,League
401220177,2020,"September 20, 2020",Pittsburgh Steelers,Denver Broncos,,,,,NULL,NULL,NULL,CBS,N,U,L,L,NULL,N,U,L,L,NULL,2,NFL
401220141,2020,"October 1, 2020",New York Jets,Denver Broncos,,,,,NULL,NULL,NULL,NFL,N,U,L,L,NULL,N,U,L,L,NULL,4,NFL
401220214,2020,"October 18, 2020",Denver Broncos,Miami Dolphins,,,,,NULL,NULL,NULL,CBS,N,U,L,L,NULL,N,U,L,L,NULL,6,NFL
401220226,2020,"November 15, 2020",Las Vegas Raiders,Denver Broncos,,,,,NULL,NULL,NULL,CBS,N,U,L,L,NULL,N,U,L,L,NULL,10,NFL
401220215,2020,"November 29, 2020",Denver Broncos,New Orleans Saints,,,,,NULL,NULL,NULL,FOX,N,U,L,L,NULL,N,U,L,L,NULL,12,NFL
401220319,2020,"December 13, 2020",Carolina Panthers,Denver Broncos,,,,,NULL,NULL,NULL,CBS,N,U,L,L,NULL,N,U,L,L,NULL,14,NFL
401220234,2020,"December 27, 2020",Los Angeles Chargers,Denver Broncos,,,,,NULL,NULL,NULL,NULL,N,U,L,L,NULL,N,U,L,L,NULL,16,NFL
401220874,2020,"August 22, 2020",Denver Broncos,Chicago Bears,,,,,NULL,NULL,NULL,NULL,N,U,L,L,NULL,N,U,L,L,NULL,2,NFL
401220217,2020,"September 14, 2020",Denver Broncos,Tennessee Titans,,,,,NULL,NULL,NULL,ESPN,--,--,-2.5,"
							--
						",NULL,--,--,--,+2.5,"
							--
						",1,NFL
401220216,2020,"September 27, 2020",Denver Broncos,Tampa Bay Buccaneers,,,,,NULL,NULL,NULL,FOX,N,U,L,L,NULL,N,U,L,L,NULL,3,NFL
401220133,2020,"October 11, 2020",New England Patriots,Denver Broncos,,,,,NULL,NULL,NULL,CBS,N,U,L,L,NULL,N,U,L,L,NULL,5,NFL
401220210,2020,"October 25, 2020",Denver Broncos,Kansas City Chiefs,,,,,NULL,NULL,NULL,CBS,N,U,L,L,NULL,N,U,L,L,NULL,7,NFL
401220311,2020,"November 8, 2020",Atlanta Falcons,Denver Broncos,,,,,NULL,NULL,NULL,CBS,N,U,L,L,NULL,N,U,L,L,NULL,9,NFL
401220212,2020,"November 22, 2020",Denver Broncos,Los Angeles Chargers,,,,,NULL,NULL,NULL,CBS,N,U,L,L,NULL,N,U,L,L,NULL,11,NFL
401220218,2020,"December 6, 2020",Kansas City Chiefs,Denver Broncos,,,,,NULL,NULL,NULL,NBC,N,U,L,L,NULL,N,U,L,L,NULL,13,NFL
401220213,2020,"December 20, 2020",Denver Broncos,Buffalo Bills,,,,,NULL,NULL,NULL,NULL,N,U,L,L,NULL,N,U,L,L,NULL,15,NFL
401220736,2020,"August 15, 2020",Denver Broncos,San Francisco 49ers,,,,,NULL,NULL,NULL,NULL,N,U,L,L,NULL,N,U,L,L,NULL,1,NFL
401220211,2020,"January 3, 2021",Denver Broncos,Las Vegas Raiders,,,,,NULL,NULL,NULL,CBS,N,U,L,L,NULL,N,U,L,L,NULL,17,NFL
401220853,2020,"September 3, 2020",Arizona Cardinals,Denver Broncos,,,,,NULL,NULL,NULL,NULL,N,U,L,L,NULL,N,U,L,L,NULL,4,NFL
