Title,description,Team/Player,Odds,scraped_ts
MAC Championship Game,"2020 MAC Championship | Odds To Win - December 12, 2020 22:00 CST ",Ohio,300,2020-06-23 17:18
MAC Championship Game,"2020 MAC Championship | Odds To Win - December 12, 2020 22:00 CST ",Buffalo,400,2020-06-23 17:18
MAC Championship Game,"2020 MAC Championship | Odds To Win - December 12, 2020 22:00 CST ",Central Michigan,400,2020-06-23 17:18
MAC Championship Game,"2020 MAC Championship | Odds To Win - December 12, 2020 22:00 CST ",Ball State,600,2020-06-23 17:18
MAC Championship Game,"2020 MAC Championship | Odds To Win - December 12, 2020 22:00 CST ",Miami Ohio,600,2020-06-23 17:18
MAC Championship Game,"2020 MAC Championship | Odds To Win - December 12, 2020 22:00 CST ",Toledo,700,2020-06-23 17:18
MAC Championship Game,"2020 MAC Championship | Odds To Win - December 12, 2020 22:00 CST ",Western Michigan,700,2020-06-23 17:18
MAC Championship Game,"2020 MAC Championship | Odds To Win - December 12, 2020 22:00 CST ",Kent State,800,2020-06-23 17:18
MAC Championship Game,"2020 MAC Championship | Odds To Win - December 12, 2020 22:00 CST ",Eastern Michigan,1400,2020-06-23 17:18
MAC Championship Game,"2020 MAC Championship | Odds To Win - December 12, 2020 22:00 CST ",Northern Illinois,1600,2020-06-23 17:18
MAC Championship Game,"2020 MAC Championship | Odds To Win - December 12, 2020 22:00 CST ",Bowling Green,5000,2020-06-23 17:18
MAC Championship Game,"2020 MAC Championship | Odds To Win - December 12, 2020 22:00 CST ",Akron,10000,2020-06-23 17:18
