,Unnamed: 0,ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
0,0,291028002,2009,"Wed, Oct 28",Boston Celtics,Charlotte Bobcats,"2-0, 1-0 Home","0-1, 0-1 Away",92,59,,,Final,,22,20,25,25,,13,18,10,18,,NBA
1,1,291101002,2009,"Sun, Nov 1",Boston Celtics,New Orleans Hornets,"4-0, 3-0 Home","1-2, 0-2 Away",97,87,,,Final,NBATV,22,25,25,25,,20,18,31,18,,NBA
2,2,291104016,2009,"Wed, Nov 4",Minnesota Timberwolves,Boston Celtics,"1-4, 1-2 Home","6-0, 3-0 Away",90,92,,,Final,,27,22,23,18,,22,19,31,20,,NBA
3,3,291107017,2009,"Sat, Nov 7",New Jersey Nets,Boston Celtics,"0-7, 0-3 Home","7-1, 4-0 Away",76,86,,,Final,,19,21,21,15,,18,21,20,27,,NBA
4,4,291113002,2009,"Fri, Nov 13",Boston Celtics,Atlanta Hawks,"8-2, 4-2 Home","7-2, 4-2 Away",86,97,,,Final,ESPN,22,20,28,16,,24,17,31,25,,NBA
5,5,291118002,2009,"Wed, Nov 18",Boston Celtics,Golden State Warriors,"9-3, 5-2 Home","3-8, 1-6 Away",109,95,,,Final,,27,22,31,29,,23,25,19,28,,NBA
6,6,291122018,2009,"Sun, Nov 22",New York Knicks,Boston Celtics,"3-10, 1-7 Home","10-4, 5-1 Away",105,107,,,Final/OT,,22,31,29,16,7.0,30,26,21,21,9.0,NBA
7,7,291127002,2009,"Fri, Nov 27",Boston Celtics,Toronto Raptors,"12-4, 7-3 Home","7-10, 2-8 Away",116,103,,,Final,TSNT,33,21,33,29,,27,28,17,31,,NBA
8,8,291201030,2009,"Tue, Dec 1",Charlotte Bobcats,Boston Celtics,"7-10, 6-3 Home","14-4, 7-1 Away",90,108,,,Final,,18,21,27,24,,29,33,26,20,,NBA
9,9,291204025,2009,"Fri, Dec 4",Oklahoma City Thunder,Boston Celtics,"10-9, 5-5 Home","16-4, 9-1 Away",87,105,,,Final,,20,29,16,22,,31,29,28,17,,NBA
10,10,291210027,2009,"Thu, Dec 10",Washington Wizards,Boston Celtics,"7-13, 4-6 Home","18-4, 10-1 Away",102,104,,,Final,TNT,28,22,24,28,,27,37,19,21,,NBA
11,11,291214029,2009,"Mon, Dec 14",Memphis Grizzlies,Boston Celtics,"10-14, 6-5 Home","20-4, 12-1 Away",105,110,,,Final,,31,24,26,24,,28,26,31,25,,NBA
12,12,291220002,2009,"Sun, Dec 20",Boston Celtics,Minnesota Timberwolves,"21-5, 9-4 Home","5-23, 2-12 Away",122,104,,,Final,,34,32,26,30,,19,22,31,32,,NBA
13,13,291225019,2009,"Fri, Dec 25",Orlando Magic,Boston Celtics,"22-8, 12-3 Home","23-5, 13-1 Away",77,86,,,Final,ABC,19,8,26,24,,18,20,23,25,,NBA
14,14,291228009,2009,"Mon, Dec 28",Golden State Warriors,Boston Celtics,"9-21, 6-7 Home","23-7, 13-3 Away",103,99,,,Final,,22,35,23,23,,35,23,18,23,,NBA
15,15,300102002,2009,"Sat, Jan 2",Boston Celtics,Toronto Raptors,"24-8, 11-4 Home","16-18, 5-13 Away",103,96,,,Final,TSN2,29,29,20,25,,27,21,19,29,,NBA
