ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
311227017,2011,"December 27, 2011",New Jersey Nets,Atlanta Hawks,"1-1, 0-1 Home","1-0, 1-0 Away",70,106,,,Final,,11,19,25,15,,28,24,25,29,,NBA,22-71,38-86,31.0,44.2,5-24,12-23,20.8,52.2,21-26,18-21,80.8,85.7,45,60,9,23,5,11,5,4,36,26,8,16,22,36,22,23,0,39,9,17,27,34,11,30,0,1,0,0
311230001,2011,"December 30, 2011",Atlanta Hawks,New Jersey Nets,"3-0, 2-0 Home","1-3, 1-2 Away",105,98,,,Final,,20,23,33,29,,19,18,35,26,,NBA,37-77,38-82,48.1,46.3,4-15,9-20,26.7,45.0,27-38,13-14,71.1,92.9,52,44,22,20,7,7,6,2,24,30,13,10,50,40,15,26,9,5,15,15,23,25,17,8,1,1,0,0
320102017,2011,"January 02, 2012",New Jersey Nets,Indiana Pacers,"1-5, 0-2 Home","4-1, 2-1 Away",94,108,,,Final,,21,21,22,30,,29,19,29,31,,NBA,33-89,41-78,37.1,52.6,7-28,13-21,25.0,61.9,21-26,13-18,80.8,72.2,51,52,15,26,9,7,10,6,24,32,18,15,44,36,16,23,0,19,20,14,20,28,13,12,0,0,0,0
320106028,2011,"January 06, 2012",Toronto Raptors,New Jersey Nets,"3-4, 1-2 Home","2-6, 2-4 Away",85,97,,,Final,TSNT,21,19,24,21,,22,26,27,22,,NBA,33-73,31-80,45.2,38.8,6-17,15-31,35.3,48.4,13-19,20-27,68.4,74.1,45,57,19,21,7,6,10,0,26,20,8,10,28,22,26,19,4,21,9,13,30,31,7,21,1,0,0,0
320109017,2011,"January 09, 2012",New Jersey Nets,Atlanta Hawks,"2-8, 0-4 Home","7-3, 4-2 Away",101,106,,,Final,,18,27,26,30,,31,25,24,26,,NBA,36-77,42-78,46.8,53.8,11-22,9-21,50.0,42.9,18-21,13-19,85.7,68.4,47,39,24,26,5,8,3,2,32,20,5,10,32,30,20,17,2,16,10,9,30,24,15,13,0,1,0,0
320113021,2011,"January 13, 2012",Phoenix Suns,New Jersey Nets,"4-7, 3-4 Home","3-9, 3-5 Away",103,110,,,Final,,25,26,31,21,,22,32,34,22,,NBA,41-79,40-80,51.9,50.0,8-22,15-32,36.4,46.9,13-16,15-19,81.3,78.9,38,47,26,18,4,9,1,3,26,26,8,7,48,32,18,21,5,12,9,8,26,27,18,18,0,1,0,0
320116012,2011,"January 16, 2012",LA Clippers,New Jersey Nets,"7-3, 6-1 Home","3-11, 3-7 Away",101,91,,,Final,,32,21,21,27,,17,23,23,28,,NBA,37-80,33-78,46.3,42.3,8-21,8-24,38.1,33.3,19-35,17-26,54.3,65.4,65,48,26,22,7,7,8,2,28,20,15,7,46,26,21,24,18,0,15,9,31,26,11,16,0,3,0,1
320121017,2011,"January 21, 2012",New Jersey Nets,Oklahoma City Thunder,"4-12, 1-5 Home","13-3, 7-2 Away",74,84,,,Final,,18,17,16,23,,28,20,16,20,,NBA,27-87,32-77,31.0,41.6,3-23,4-17,13.0,23.5,17-19,16-24,89.5,66.7,50,65,14,13,9,8,5,10,36,38,12,15,34,42,16,16,2,16,16,14,30,41,10,22,0,2,0,0
320123004,2011,"January 23, 2012",Chicago Bulls,New Jersey Nets,"16-3, 8-0 Home","5-13, 3-8 Away",110,95,,,Final,,28,31,26,25,,18,25,25,27,,NBA,43-75,37-77,57.3,48.1,7-19,7-19,36.8,36.8,17-23,14-21,73.9,66.7,45,40,33,23,3,3,4,1,20,22,16,7,48,34,18,18,21,1,12,9,31,23,16,15,1,1,0,0
320127005,2011,"January 27, 2012",Cleveland Cavaliers,New Jersey Nets,"7-11, 3-4 Home","7-13, 5-8 Away",96,99,,,Final,,20,17,24,35,,30,17,25,27,,NBA,38-81,36-79,46.9,45.6,6-19,11-28,31.6,39.3,14-24,16-21,58.3,76.2,54,47,18,27,6,7,3,7,32,28,12,2,50,26,20,22,0,17,15,11,30,24,10,15,0,0,0,0
