ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
401070714,2018,"October 20, 2018",Chicago Bulls,Detroit Pistons,"0-2, 0-1 Home","2-0, 1-0 Away",116,118,DET -4.5,217,Final,,27,31,26,32,,25,35,25,33,,NBA
401070737,2018,"October 24, 2018",Chicago Bulls,Charlotte Hornets,"1-3, 1-1 Home","2-3, 2-2 Away",112,110,CHA -4.5,229,Final,,24,30,34,24,,27,26,29,28,,NBA
401070757,2018,"October 27, 2018",Atlanta Hawks,Chicago Bulls,"2-3, 1-1 Home","2-4, 1-3 Away",85,97,ATL -5.5,233,Final,,25,19,19,22,,22,19,26,30,,NBA
401070787,2018,"October 31, 2018",Chicago Bulls,Denver Nuggets,"2-6, 1-3 Home","6-1, 2-1 Away",107,108,DEN -7.5,221,Final/OT,,24,24,30,20,9.0,28,23,29,18,10.0,NBA
401070810,2018,"November 03, 2018",Chicago Bulls,Houston Rockets,"2-8, 1-5 Home","3-5, 3-1 Away",88,96,HOU -8.5,223,Final,,28,28,7,25,,27,27,21,21,,NBA
401070840,2018,"November 07, 2018",New Orleans Pelicans,Chicago Bulls,"5-6, 4-1 Home","3-9, 2-4 Away",107,98,NO -11.0,228,Final,,29,29,27,22,,26,24,22,26,,NBA
401070874,2018,"November 12, 2018",Chicago Bulls,Dallas Mavericks,"4-10, 2-6 Home","5-8, 1-6 Away",98,103,DAL -2.5,216,Final,,20,29,26,23,,25,31,22,25,,NBA
401070904,2018,"November 16, 2018",Milwaukee Bucks,Chicago Bulls,"11-4, 7-1 Home","4-12, 2-6 Away",123,104,MIL -14.5,225,Final,ESPN,27,18,46,32,,40,23,17,24,,NBA
401070938,2018,"November 21, 2018",Chicago Bulls,Phoenix Suns,"5-13, 3-7 Home","3-14, 0-8 Away",124,116,PHX -1.5,218,Final,,25,39,30,30,,28,41,24,23,,NBA
401070962,2018,"November 24, 2018",Minnesota Timberwolves,Chicago Bulls,"9-11, 8-3 Home","5-15, 2-7 Away",111,96,MIN -11.0,219,Final,,20,29,35,27,,22,28,29,17,,NBA
401070991,2018,"November 28, 2018",Milwaukee Bucks,Chicago Bulls,"15-6, 11-2 Home","5-17, 2-8 Away",116,113,MIL -14.5,230,Final,,30,33,29,24,,40,22,27,24,,NBA
401071015,2018,"December 01, 2018",Houston Rockets,Chicago Bulls,"11-11, 5-5 Home","5-19, 2-10 Away",121,105,HOU -13.0,219,Final,,38,18,31,34,,22,24,29,30,,NBA
401071054,2018,"December 07, 2018",Chicago Bulls,Oklahoma City Thunder,"6-20, 4-9 Home","16-8, 7-5 Away",114,112,OKC -8.5,219,Final,,34,36,17,27,,28,34,29,21,,NBA
401071075,2018,"December 10, 2018",Chicago Bulls,Sacramento Kings,"6-22, 4-11 Home","14-12, 8-7 Away",89,108,SAC -2.0,227,Final,,33,23,18,15,,26,19,36,27,,NBA
401071114,2018,"December 15, 2018",San Antonio Spurs,Chicago Bulls,"15-15, 11-5 Home","7-23, 3-12 Away",93,98,SA -9.5,214,Final,,28,34,16,15,,21,22,31,24,,NBA
401071141,2018,"December 19, 2018",Chicago Bulls,Brooklyn Nets,"7-25, 4-12 Home","15-18, 8-8 Away",93,96,BKN -1.5,211,Final,,27,12,32,22,,22,18,31,25,,NBA
401071171,2018,"December 23, 2018",Cleveland Cavaliers,Chicago Bulls,"8-26, 5-13 Home","9-25, 4-13 Away",92,112,EVEN,202,Final,,29,30,15,18,,28,26,30,28,,NBA
401071196,2018,"December 28, 2018",Washington Wizards,Chicago Bulls,"13-23, 9-7 Home","10-26, 5-13 Away",92,101,WSH -4.5,212,Final,,22,20,30,20,,20,20,34,27,,NBA
401071235,2018,"January 02, 2019",Chicago Bulls,Orlando Magic,"10-28, 5-14 Home","17-20, 7-9 Away",84,112,ORL -1.5,200,Final,,16,29,17,22,,32,30,28,22,,NBA
401071260,2018,"January 06, 2019",Chicago Bulls,Brooklyn Nets,"10-30, 5-16 Home","20-21, 10-10 Away",100,117,BKN -2.0,208,Final,,21,34,27,18,,28,27,33,29,,NBA
401071305,2018,"January 11, 2019",Golden State Warriors,Chicago Bulls,"28-14, 17-6 Home","10-32, 5-16 Away",146,109,GS -15.5,221,Final,,43,33,40,30,,17,38,21,33,,NBA
401071332,2018,"January 15, 2019",Los Angeles Lakers,Chicago Bulls,"24-21, 15-9 Home","10-34, 5-18 Away",107,100,LAL -7.0,216,Final,NBATV,19,25,32,31,,18,25,25,32,,NBA
401071361,2018,"January 19, 2019",Chicago Bulls,Miami Heat,"10-36, 5-17 Home","22-22, 11-10 Away",103,117,MIA -4.0,209,Final,,30,27,19,27,,31,24,28,34,,NBA
401071385,2018,"January 23, 2019",Chicago Bulls,Atlanta Hawks,"11-37, 5-18 Home","15-32, 7-19 Away",101,121,CHI -1.5,224,Final,,25,35,23,18,,42,24,32,23,,NBA
401071408,2018,"January 27, 2019",Chicago Bulls,Cleveland Cavaliers,"11-39, 5-20 Home","10-41, 5-22 Away",101,104,CHI -4.5,212,Final,,29,24,26,22,,27,24,28,25,,NBA
401071430,2018,"January 30, 2019",Miami Heat,Chicago Bulls,"24-25, 11-14 Home","12-40, 7-20 Away",89,105,MIA -10.5,207,Final,,21,27,20,21,,31,19,28,27,,NBA
401071478,2018,"February 06, 2019",Chicago Bulls,New Orleans Pelicans,"12-42, 5-21 Home","24-31, 9-21 Away",120,125,NO -1.0,227,Final,,39,26,17,38,,37,27,27,34,,NBA
