,ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
0,401029421,2017,"April 18, 2018",Cleveland Cavaliers,Indiana Pacers,"50-32, 29-12 Home","48-34, 21-20 Away",100,97,,,Final,TNT,33,25,16,26,,18,28,21,30,,NBA
1,401029427,2017,"April 22, 2018",Indiana Pacers,Cleveland Cavaliers,"48-34, 27-14 Home","50-32, 21-20 Away",100,104,,,Final,TNT,24,26,28,22,,30,30,20,24,,NBA
2,401029431,2017,"April 27, 2018",Indiana Pacers,Cleveland Cavaliers,"48-34, 27-14 Home","50-32, 21-20 Away",121,87,,,Final,ESPN,29,28,35,29,,26,21,20,20,,NBA
3,401031714,2017,"May 3, 2018",Toronto Raptors,Cleveland Cavaliers,"59-23, 34-7 Home","50-32, 21-20 Away",110,128,,,Final,ESPN,29,34,24,23,,26,35,37,30,,NBA
4,401032841,2017,"May 15, 2018",Boston Celtics,Cleveland Cavaliers,"55-27, 27-14 Home","50-32, 21-20 Away",107,94,,,Final,ESPN,23,25,36,23,,27,28,22,17,,NBA
5,401032843,2017,"May 21, 2018",Cleveland Cavaliers,Boston Celtics,"50-32, 29-12 Home","55-27, 28-13 Away",111,102,,,Final,ESPN,34,34,21,22,,18,35,23,26,,NBA
6,401032845,2017,"May 25, 2018",Cleveland Cavaliers,Boston Celtics,"50-32, 29-12 Home","55-27, 28-13 Away",109,99,,,Final,ESPN,20,34,29,26,,25,18,30,26,,NBA
7,401034614,2017,"June 3, 2018",Golden State Warriors,Cleveland Cavaliers,"58-24, 29-12 Home","50-32, 21-20 Away",122,103,,,Final,ABC,32,27,31,32,,28,18,34,23,,NBA
8,401029417,2017,"April 15, 2018",Cleveland Cavaliers,Indiana Pacers,"50-32, 29-12 Home","48-34, 21-20 Away",80,98,,,Final,ABC,14,24,27,15,,33,22,18,25,,NBA
9,401029424,2017,"April 20, 2018",Indiana Pacers,Cleveland Cavaliers,"48-34, 27-14 Home","50-32, 21-20 Away",92,90,,,Final,ESPN,20,20,23,29,,31,26,12,21,,NBA
10,401029428,2017,"April 25, 2018",Cleveland Cavaliers,Indiana Pacers,"50-32, 29-12 Home","48-34, 21-20 Away",98,95,,,Final,TNT,23,26,32,17,,25,31,17,22,,NBA
11,401031713,2017,"May 1, 2018",Toronto Raptors,Cleveland Cavaliers,"59-23, 34-7 Home","50-32, 21-20 Away",112,113,,,Final/OT,TNT,33,27,27,18,7,19,38,25,23,8,NBA
12,401031715,2017,"May 5, 2018",Cleveland Cavaliers,Toronto Raptors,"50-32, 29-12 Home","59-23, 25-16 Away",105,103,,,Final,ABC,24,31,24,26,,19,21,25,38,,NBA
13,401032840,2017,"May 13, 2018",Boston Celtics,Cleveland Cavaliers,"55-27, 27-14 Home","50-32, 21-20 Away",108,83,,,Final,ABC,36,25,17,30,,18,17,29,19,,NBA
14,401032842,2017,"May 19, 2018",Cleveland Cavaliers,Boston Celtics,"50-32, 29-12 Home","55-27, 28-13 Away",116,86,,,Final,ESPN,32,29,26,29,,17,24,22,23,,NBA
15,401032844,2017,"May 23, 2018",Boston Celtics,Cleveland Cavaliers,"55-27, 27-14 Home","50-32, 21-20 Away",96,83,,,Final,ESPN,32,21,23,20,,19,23,18,23,,NBA
16,401034613,2017,"May 31, 2018",Golden State Warriors,Cleveland Cavaliers,"58-24, 29-12 Home","50-32, 21-20 Away",124,114,,,Final/OT,ABC,29,27,28,23,17,30,26,22,29,7,NBA
17,401034615,2017,"June 6, 2018",Cleveland Cavaliers,Golden State Warriors,"50-32, 29-12 Home","58-24, 29-12 Away",102,110,,,Final,ABC,29,29,23,21,,28,24,31,27,,NBA
18,401031716,2017,"May 7, 2018",Cleveland Cavaliers,Toronto Raptors,"50-32, 29-12 Home","59-23, 25-16 Away",128,93,,,Final,TNT,30,33,37,28,,26,21,25,21,,NBA
19,401034616,2017,"June 8, 2018",Cleveland Cavaliers,Golden State Warriors,"50-32, 29-12 Home","58-24, 29-12 Away",85,108,,,Final,ABC,25,27,13,20,,34,27,25,22,,NBA
20,401029433,2017,"April 29, 2018",Cleveland Cavaliers,Indiana Pacers,"50-32, 29-12 Home","48-34, 21-20 Away",105,101,,,Final,ABC,31,23,22,29,,19,24,31,27,,NBA
21,401032846,2017,"May 27, 2018",Boston Celtics,Cleveland Cavaliers,"55-27, 27-14 Home","50-32, 21-20 Away",79,87,,,Final,ESPN,26,17,13,23,,18,21,20,28,,NBA
