,Unnamed: 0,ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
0,0,141108006,1994,"Tue, Nov 8",Dallas Mavericks,Denver Nuggets,"1-1, 1-1 Home","2-1, 1-0 Away",107,115,,,Final,,26,29,25,27,,32,24,24,35,,NBA
1,1,141112004,1994,"Sat, Nov 12",Chicago Bulls,Dallas Mavericks,"3-3, 2-2 Home","3-1, 2-0 Away",120,124,,,Final/OT,,34,20,27,28,11.0,31,21,31,26,15.0,NBA
2,2,141117006,1994,"Thu, Nov 17",Dallas Mavericks,Sacramento Kings,"4-2, 2-1 Home","3-3, 1-2 Away",96,94,,,Final,,29,27,17,23,,26,29,28,11,,NBA
3,3,141123013,1994,"Wed, Nov 23",Los Angeles Lakers,Dallas Mavericks,"5-5, 2-2 Home","4-4, 2-2 Away",118,106,,,Final,,31,32,24,31,,30,20,27,29,,NBA
4,4,141126007,1994,"Sat, Nov 26",Denver Nuggets,Dallas Mavericks,"6-5, 4-4 Home","6-4, 3-2 Away",123,124,,,Final/OT,,28,38,22,22,13.0,24,19,40,27,14.0,NBA
5,5,141201006,1994,"Thu, Dec 1",Dallas Mavericks,Denver Nuggets,"7-5, 4-3 Home","7-6, 3-2 Away",80,89,,,Final,,17,16,25,22,,24,28,15,22,,NBA
6,6,141206024,1994,"Tue, Dec 6",San Antonio Spurs,Dallas Mavericks,"7-8, 5-4 Home","8-6, 4-2 Away",121,124,,,Final/OT,,30,26,27,29,9.0,23,30,30,29,12.0,NBA
7,7,141210006,1994,"Sat, Dec 10",Dallas Mavericks,Charlotte Hornets,"9-7, 5-5 Home","9-9, 5-6 Away",99,86,,,Final,,28,24,26,21,,19,32,16,19,,NBA
8,8,141215006,1994,"Thu, Dec 15",Dallas Mavericks,Boston Celtics,"10-8, 6-6 Home","9-13, 4-7 Away",122,113,,,Final,,35,34,24,29,,33,29,22,29,,NBA
9,9,141220009,1994,"Tue, Dec 20",Golden State Warriors,Dallas Mavericks,"8-15, 5-6 Home","12-8, 6-2 Away",107,110,,,Final,,21,19,36,31,,31,20,23,36,,NBA
10,10,141223022,1994,"Fri, Dec 23",Portland Trail Blazers,Dallas Mavericks,"12-10, 9-5 Home","12-10, 6-4 Away",118,92,,,Final,,32,25,31,30,,17,23,20,32,,NBA
11,11,141227006,1994,"Tue, Dec 27",Dallas Mavericks,Phoenix Suns,"12-12, 6-7 Home","21-6, 7-6 Away",118,119,,,Final,,31,30,29,28,,28,34,33,24,,NBA
12,12,150103006,1994,"Tue, Jan 3",Dallas Mavericks,Houston Rockets,"13-13, 7-8 Home","19-9, 10-4 Away",98,110,,,Final,,26,19,23,30,,27,31,27,25,,NBA
13,13,150106006,1994,"Fri, Jan 6",Dallas Mavericks,Indiana Pacers,"14-14, 8-8 Home","18-11, 7-10 Away",103,92,,,Final,,21,40,20,22,,25,28,24,15,,NBA
14,14,150111006,1994,"Wed, Jan 11",Dallas Mavericks,Los Angeles Clippers,"15-15, 9-8 Home","5-28, 2-14 Away",98,93,,,Final,,29,22,23,24,,22,29,22,20,,NBA
15,15,150114006,1994,"Sat, Jan 14",Dallas Mavericks,Miami Heat,"15-17, 9-9 Home","11-23, 3-16 Away",77,84,,,Final,,19,23,16,19,,29,22,15,18,,NBA
16,16,150118006,1994,"Wed, Jan 18",Dallas Mavericks,Orlando Magic,"16-18, 9-10 Home","31-7, 13-7 Away",97,108,,,Final,,23,23,24,27,,32,27,19,30,,NBA
17,17,150121006,1994,"Sat, Jan 21",Dallas Mavericks,Seattle SuperSonics,"16-20, 9-12 Home","27-9, 10-8 Away",91,117,,,Final,,31,12,20,28,,30,26,36,25,,NBA
18,18,150124023,1994,"Tue, Jan 24",Sacramento Kings,Dallas Mavericks,"23-16, 16-5 Home","16-22, 7-10 Away",110,109,,,Final/2OT,,27,22,29,14,18.0,24,22,23,23,17.0,NBA
19,19,150128006,1994,"Sat, Jan 28",Dallas Mavericks,Sacramento Kings,"16-24, 9-14 Home","24-17, 8-12 Away",84,87,,,Final,,29,19,18,18,,17,20,25,25,,NBA
20,20,150201016,1994,"Wed, Feb 1",Minnesota Timberwolves,Dallas Mavericks,"10-33, 5-16 Home","17-25, 8-11 Away",83,104,,,Final,,21,14,28,20,,31,24,20,29,,NBA
21,21,150204006,1994,"Sat, Feb 4",Dallas Mavericks,Utah Jazz,"18-26, 10-15 Home","34-12, 15-6 Away",119,98,,,Final,,24,35,31,29,,24,24,20,30,,NBA
22,22,150208019,1994,"Wed, Feb 8",Orlando Magic,Dallas Mavericks,"37-10, 23-1 Home","18-28, 8-12 Away",110,92,,,Final,,25,22,40,23,,27,10,22,33,,NBA
23,23,150217006,1994,"Fri, Feb 17",Dallas Mavericks,Atlanta Hawks,"19-29, 11-17 Home","24-26, 11-13 Away",90,110,,,Final,,26,29,16,19,,33,26,24,27,,NBA
24,24,150223001,1994,"Thu, Feb 23",Atlanta Hawks,Dallas Mavericks,"25-28, 14-14 Home","20-30, 9-13 Away",110,92,,,Final,,28,29,28,25,,19,20,27,26,,NBA
25,25,150226011,1994,"Sun, Feb 26",Indiana Pacers,Dallas Mavericks,"33-20, 20-5 Home","20-32, 9-15 Away",100,92,,,Final,,24,26,25,25,,28,17,25,22,,NBA
26,26,150302006,1994,"Thu, Mar 2",Dallas Mavericks,Cleveland Cavaliers,"22-32, 13-17 Home","33-23, 16-13 Away",90,84,,,Final,,23,26,15,26,,19,22,19,24,,NBA
