ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
401160672,2019,"October 26, 2019",Cleveland Cavaliers,Indiana Pacers,"1-1, 1-0 Home","0-2, 0-1 Away",110,99,IND -5.0,214,Final,NULL,26,39,25,20,,28,20,26,25,,NBA
401160701,2019,"October 30, 2019",Brooklyn Nets,Indiana Pacers,"1-3, 1-2 Home","1-3, 1-2 Away",108,118,BKN -3.5,221,Final,NULL,31,32,20,25,,31,29,30,28,,NBA
401160727,2019,"November 3, 2019",Indiana Pacers,Chicago Bulls,"39-26, 21-11 Home","22-43, 8-23 Away",108,95,IND -2.0,217,Final,NULL,24,31,31,22,,18,24,32,21,,NBA
401160746,2019,"November 6, 2019",Indiana Pacers,Washington Wizards,"4-4, 3-1 Home","2-5, 1-3 Away",121,106,IND -3.0,227,Final,NULL,26,44,24,27,,26,36,18,26,,NBA
401160775,2019,"November 10, 2019",Orlando Magic,Indiana Pacers,"3-7, 3-3 Home","6-4, 2-3 Away",102,109,ORL -5.0,203,Final,NULL,33,27,17,25,,29,22,30,28,,NBA
401160811,2019,"November 15, 2019",Houston Rockets,Indiana Pacers,"9-3, 5-1 Home","7-5, 2-4 Away",111,102,HOU -6.5,226,Final,NULL,26,28,26,31,,22,27,30,23,,NBA
401160832,2019,"November 18, 2019",Brooklyn Nets,Indiana Pacers,"5-8, 3-3 Home","8-6, 3-4 Away",86,115,BKN -2.5,214,Final,NULL,18,17,33,18,,18,41,25,31,,NBA
401160884,2019,"November 25, 2019",Indiana Pacers,Memphis Grizzlies,"10-6, 7-2 Home","5-11, 2-4 Away",126,114,IND -9.5,217,Final,NULL,36,31,37,22,,27,29,27,31,,NBA
401160914,2019,"November 29, 2019",Indiana Pacers,Atlanta Hawks,"12-6, 9-2 Home","4-15, 2-8 Away",105,104,IND -10.5,224,Final/OT,NULL,22,21,29,22,11,23,31,11,29,10,NBA
401160938,2019,"December 2, 2019",Memphis Grizzlies,Indiana Pacers,"6-14, 3-10 Home","13-7, 4-5 Away",104,117,IND -9.5,216,Final,NULL,19,28,26,31,,24,33,28,32,,NBA
