ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
400827905,2015,"October 29, 2015",Indiana Pacers,Memphis Grizzlies,"0-2, 0-1 Home","1-1, 1-0 Away",103,112,,,Final,,20,29,26,28,,29,21,23,39,,NBA,37-78,41-82,47.4,50.0,12-30,7-16,40.0,43.8,17-24,23-29,70.8,79.3,46,49,23,26,7,12,4,5,20,14,12,12,26,48,22,25,9,15,10,12,28,30,18,12,2,0,0,0
400827938,2015,"November 02, 2015",Golden State Warriors,Memphis Grizzlies,"4-0, 2-0 Home","2-2, 1-1 Away",119,69,,,Final,NBATV,21,32,40,26,,22,12,15,20,,NBA,43-84,26-96,51.2,27.1,11-25,3-23,44.0,13.0,22-30,14-20,73.3,70.0,72,53,32,21,8,8,13,7,14,12,36,10,42,28,15,24,52,3,10,11,55,33,9,14,1,0,0,0
400827961,2015,"November 05, 2015",Portland Trail Blazers,Memphis Grizzlies,"4-2, 2-1 Home","3-3, 2-2 Away",115,96,,,Final,TNT,18,32,40,25,,23,23,25,25,,NBA,44-87,37-77,50.6,48.1,15-30,7-20,50.0,35.0,12-20,15-21,60.0,71.4,53,44,29,20,3,4,3,5,9,10,4,4,40,36,19,14,26,5,14,7,33,29,10,13,0,0,0,0
400827992,2015,"November 09, 2015",LA Clippers,Memphis Grizzlies,"5-2, 4-1 Home","3-5, 2-4 Away",94,92,,,Final,,25,21,24,24,,26,20,20,26,,NBA,28-68,35-80,41.2,43.8,5-19,2-11,26.3,18.2,33-37,20-29,89.2,69.0,44,54,14,21,5,11,8,3,18,14,11,10,30,44,20,28,8,6,8,10,32,30,18,17,0,1,1,1
400828020,2015,"November 13, 2015",Memphis Grizzlies,Portland Trail Blazers,"4-6, 2-2 Home","4-6, 2-3 Away",101,100,,,Final,,23,30,26,22,,24,28,18,30,,NBA,36-86,33-69,41.9,47.8,6-16,8-22,37.5,36.4,23-27,26-29,85.2,89.7,44,49,22,17,10,5,0,10,10,22,5,12,40,38,21,22,14,6,14,10,21,33,5,15,0,1,0,0
400828042,2015,"November 16, 2015",Memphis Grizzlies,Oklahoma City Thunder,"6-6, 3-2 Home","6-5, 2-3 Away",122,114,,,Final,,27,31,21,43,,25,27,28,34,,NBA,37-84,41-81,44.0,50.6,12-17,10-24,70.6,41.7,36-39,22-31,92.3,71.0,42,57,23,22,11,7,4,6,10,19,22,20,38,44,22,28,11,6,12,12,22,32,19,19,0,1,0,0
400828082,2015,"November 21, 2015",San Antonio Spurs,Memphis Grizzlies,"10-3, 6-0 Home","7-7, 3-5 Away",92,82,,,Final,,24,29,21,18,,19,20,22,21,,NBA,34-72,32-74,47.2,43.2,7-21,1-9,33.3,11.1,17-22,17-17,77.3,100.0,48,37,20,19,7,13,6,2,18,17,15,12,40,42,20,23,16,2,7,7,33,28,24,17,0,0,0,0
400828107,2015,"November 25, 2015",Houston Rockets,Memphis Grizzlies,"5-10, 3-7 Home","9-7, 4-5 Away",93,102,,,Final,NBATV,24,29,24,16,,28,28,26,20,,NBA,30-71,39-80,42.3,48.8,10-34,3-16,29.4,18.8,23-27,21-23,85.2,91.3,41,47,19,21,14,8,7,3,20,17,19,20,34,44,22,23,2,13,6,9,31,32,21,20,1,1,0,0
400828138,2015,"November 29, 2015",Memphis Grizzlies,Philadelphia 76ers,"10-8, 6-3 Home","0-18, 0-11 Away",92,84,,,Final,NBATV,21,16,27,28,,13,18,36,17,,NBA,34-81,30-77,42.0,39.0,4-13,12-36,30.8,33.3,20-27,12-16,74.1,75.0,58,47,19,23,11,18,7,9,26,27,18,19,42,34,18,29,11,5,15,8,34,33,28,25,0,1,0,0
400828167,2015,"December 03, 2015",Memphis Grizzlies,San Antonio Spurs,"11-9, 6-4 Home","16-4, 6-4 Away",83,103,,,Final,TNT,21,15,21,26,,20,25,29,29,,NBA,30-80,40-80,37.5,50.0,2-16,10-18,12.5,55.6,21-25,13-18,84.0,72.2,47,52,19,27,6,8,6,8,11,15,13,15,46,40,17,21,7,23,9,10,28,38,11,6,0,0,0,0
400828203,2015,"December 08, 2015",Memphis Grizzlies,Oklahoma City Thunder,"12-10, 7-5 Home","13-8, 4-5 Away",88,125,,,Final,,25,22,16,25,,28,31,39,27,,NBA,33-81,47-84,40.7,56.0,3-14,13-26,21.4,50.0,19-22,18-23,86.4,78.3,40,53,14,31,6,11,4,3,16,12,11,23,46,56,17,17,2,40,11,10,22,36,24,16,2,0,0,0
400828225,2015,"December 11, 2015",Memphis Grizzlies,Charlotte Hornets,"13-11, 7-6 Home","14-8, 4-5 Away",99,123,,,Final,,35,19,19,26,,29,30,34,30,,NBA,32-80,39-78,40.0,50.0,7-20,18-37,35.0,48.6,28-37,27-30,75.7,90.0,49,50,19,23,8,5,5,5,12,16,15,9,38,30,24,24,14,31,11,7,29,34,17,20,1,1,1,1
400828249,2015,"December 14, 2015",Memphis Grizzlies,Washington Wizards,"14-12, 8-6 Home","10-13, 6-6 Away",112,95,,,Final,,25,32,26,29,,21,25,15,34,,NBA,44-78,37-86,56.4,43.0,10-15,9-24,66.7,37.5,14-15,12-20,93.3,60.0,45,47,26,22,8,9,5,3,17,14,13,12,46,36,18,13,23,1,6,10,33,26,10,18,0,0,0,0
400828281,2015,"December 18, 2015",Dallas Mavericks,Memphis Grizzlies,"15-12, 7-5 Home","14-14, 6-8 Away",97,88,,,Final,,25,30,20,22,,26,23,17,22,,NBA,34-78,30-80,43.6,37.5,10-29,6-17,34.5,35.3,19-21,22-24,90.5,91.7,56,42,27,13,7,11,4,3,19,12,19,16,34,32,17,19,18,10,11,10,39,29,21,16,4,3,0,0
400828306,2015,"December 22, 2015",Philadelphia 76ers,Memphis Grizzlies,"1-29, 1-12 Home","16-14, 7-8 Away",90,104,,,Final,,23,24,19,24,,31,22,24,27,,NBA,31-66,40-85,47.0,47.1,7-23,5-15,30.4,33.3,21-32,19-24,65.6,79.2,50,46,19,26,6,16,3,3,28,12,11,21,46,44,21,23,4,20,10,9,32,27,36,20,1,1,0,1
400828330,2015,"December 26, 2015",Charlotte Hornets,Memphis Grizzlies,"16-13, 12-5 Home","16-16, 7-10 Away",98,92,,,Final,,30,23,21,24,,28,25,21,18,,NBA,28-69,37-90,40.6,41.1,14-32,7-19,43.8,36.8,28-32,11-21,87.5,52.4,50,58,21,21,10,9,13,5,19,13,30,6,22,46,24,24,12,6,7,16,36,32,24,23,0,1,0,0
400828358,2015,"December 29, 2015",Memphis Grizzlies,Miami Heat,"18-16, 11-6 Home","18-13, 5-6 Away",99,90,,,Final/OT,,26,21,22,14,16.0,30,17,15,21,7.0,NBA,38-87,35-79,43.7,44.3,4-15,11-29,26.7,37.9,19-20,9-18,95.0,50.0,53,50,25,23,4,5,6,6,10,15,2,5,52,38,18,22,9,7,16,8,30,30,17,15,0,2,1,0
400828406,2015,"January 04, 2016",Portland Trail Blazers,Memphis Grizzlies,"15-22, 8-7 Home","19-17, 8-11 Away",78,91,,,Final,NBATV,15,19,18,26,,17,21,32,21,,NBA,28-72,35-91,38.9,38.5,7-28,3-15,25.0,20.0,15-24,18-26,62.5,69.2,51,66,14,21,7,10,4,3,22,13,9,5,30,30,19,19,1,20,7,17,35,35,22,10,3,1,0,0
400828429,2015,"January 08, 2016",Memphis Grizzlies,Denver Nuggets,"20-18, 12-6 Home","13-24, 8-13 Away",91,84,,,Final,,29,20,18,24,,30,7,29,18,,NBA,30-82,32-87,36.6,36.8,8-18,4-19,44.4,21.1,23-30,16-19,76.7,84.2,50,67,14,19,10,2,6,4,8,18,13,9,30,38,19,24,13,8,11,19,32,40,7,16,1,2,0,0
400828459,2015,"January 12, 2016",Memphis Grizzlies,Houston Rockets,"21-19, 13-7 Home","20-19, 8-10 Away",91,107,,,Final,,24,20,25,22,,22,29,21,35,,NBA,33-72,33-77,45.8,42.9,7-18,18-35,38.9,51.4,18-24,23-27,75.0,85.2,44,49,22,21,9,10,3,4,19,17,9,12,36,26,24,19,7,18,13,18,18,24,28,25,1,4,0,0
400828494,2015,"January 16, 2016",Memphis Grizzlies,New York Knicks,"23-19, 15-7 Home","20-22, 9-14 Away",103,95,,,Final,,28,24,21,30,,31,23,19,22,,NBA,39-82,35-77,47.6,45.5,5-10,5-20,50.0,25.0,20-26,20-24,76.9,83.3,49,46,24,20,2,4,5,6,9,11,12,8,32,32,19,20,15,5,13,6,31,30,8,11,0,2,1,1
400828529,2015,"January 21, 2016",Denver Nuggets,Memphis Grizzlies,"16-27, 8-14 Home","25-19, 9-12 Away",101,102,,,Final,,23,25,29,24,,37,18,24,23,,NBA,36-80,36-72,45.0,50.0,9-30,6-21,30.0,28.6,20-26,24-29,76.9,82.8,45,46,26,21,6,7,1,6,10,13,19,4,46,30,25,23,3,18,10,4,30,33,4,16,2,1,0,1
400828557,2015,"January 25, 2016",Memphis Grizzlies,Orlando Magic,"26-20, 17-7 Home","20-23, 8-12 Away",108,102,,,Final/OT,,31,33,16,20,8.0,33,32,16,19,2.0,NBA,43-100,40-86,43.0,46.5,6-18,10-28,33.3,35.7,16-25,12-14,64.0,85.7,64,50,25,24,12,2,5,6,10,19,20,12,70,50,16,22,6,9,18,8,36,38,11,23,0,0,0,0
400828599,2015,"January 30, 2016",Memphis Grizzlies,Sacramento Kings,"28-20, 19-7 Home","20-27, 8-15 Away",121,117,,,Final,,36,29,27,29,,22,29,26,40,,NBA,41-79,38-92,51.9,41.3,8-18,9-24,44.4,37.5,31-37,32-38,83.8,84.2,44,60,23,16,15,10,9,3,13,19,21,31,46,40,26,27,22,0,2,18,30,33,13,26,2,0,0,0
400828643,2015,"February 05, 2016",New York Knicks,Memphis Grizzlies,"23-30, 14-13 Home","30-20, 11-13 Away",85,91,,,Final,,18,22,22,23,,24,26,19,22,,NBA,30-80,33-76,37.5,43.4,10-29,4-18,34.5,22.2,15-17,21-24,88.2,87.5,54,44,15,17,2,8,6,5,15,9,5,9,22,38,23,18,3,12,14,4,33,33,8,4,1,0,0,1
400828668,2015,"February 08, 2016",Memphis Grizzlies,Portland Trail Blazers,"30-22, 19-9 Home","26-27, 11-16 Away",106,112,,,Final/OT,,27,22,29,24,4.0,25,26,27,24,10.0,NBA,43-86,44-89,50.0,49.4,7-19,10-29,36.8,34.5,13-19,14-20,68.4,70.0,51,49,18,22,5,9,3,6,16,13,6,12,46,52,24,23,6,6,5,8,34,29,16,10,1,1,0,0
400828697,2015,"February 19, 2016",Memphis Grizzlies,Minnesota Timberwolves,"32-22, 20-9 Home","17-38, 8-19 Away",109,104,,,Final,,28,23,25,33,,27,21,33,23,,NBA,40-82,31-75,48.8,41.3,7-21,11-26,33.3,42.3,22-28,31-31,78.6,100.0,47,45,17,25,13,7,5,6,14,22,19,16,54,30,24,25,7,10,11,11,31,31,10,27,2,1,0,0
400828738,2015,"February 24, 2016",Memphis Grizzlies,Los Angeles Lakers,"33-23, 21-9 Home","11-48, 5-29 Away",128,119,,,Final,,36,31,30,31,,26,32,26,35,,NBA,48-85,39-88,56.5,44.3,13-27,17-39,48.1,43.6,19-29,24-33,65.5,72.7,55,50,26,16,6,5,4,3,9,7,19,18,54,30,20,21,19,0,9,15,37,30,8,13,1,1,0,0
400828762,2015,"February 27, 2016",Phoenix Suns,Memphis Grizzlies,"15-44, 11-21 Home","34-24, 13-15 Away",111,106,,,Final,,25,29,32,25,,18,28,30,30,,NBA,37-80,32-80,46.3,40.0,12-32,6-20,37.5,30.0,25-35,36-42,71.4,85.7,65,42,19,15,4,11,3,4,18,8,14,12,42,38,28,26,12,1,16,7,40,27,13,11,1,0,0,0
400828789,2015,"March 02, 2016",Memphis Grizzlies,Sacramento Kings,"36-24, 22-9 Home","24-35, 10-19 Away",104,98,,,Final,,31,28,24,21,,28,15,35,20,,NBA,35-79,39-82,44.3,47.6,5-18,9-26,27.8,34.6,29-33,11-20,87.9,55.0,43,57,20,31,13,7,4,3,20,25,15,12,54,34,23,29,21,3,14,16,23,28,17,29,1,1,0,0
400828819,2015,"March 06, 2016",Memphis Grizzlies,Phoenix Suns,"37-25, 23-10 Home","17-46, 6-25 Away",100,109,,,Final,,24,35,15,26,,24,29,32,24,,NBA,32-80,37-71,40.0,52.1,10-22,12-28,45.5,42.9,26-33,23-30,78.8,76.7,44,52,17,24,6,3,3,3,10,16,16,20,42,38,27,23,6,13,12,10,26,37,11,18,1,2,0,0
400828840,2015,"March 09, 2016",Boston Celtics,Memphis Grizzlies,"39-26, 23-10 Home","38-26, 15-16 Away",116,96,,,Final,ESPN,24,28,31,33,,26,29,12,29,,NBA,41-87,32-84,47.1,38.1,15-32,7-26,46.9,26.9,19-24,25-31,79.2,80.6,49,60,26,20,9,8,7,7,13,19,19,13,40,38,27,22,22,7,7,16,31,32,14,26,1,2,0,0
400828861,2015,"March 12, 2016",Atlanta Hawks,Memphis Grizzlies,"37-29, 20-12 Home","39-27, 15-17 Away",95,83,,,Final,,18,31,22,24,,22,19,17,25,,NBA,36-84,33-95,42.9,34.7,11-34,6-23,32.4,26.1,12-17,11-14,70.6,78.6,51,67,27,15,9,10,12,5,11,16,14,5,42,42,14,14,17,12,8,20,39,38,8,24,0,0,0,0
400828895,2015,"March 16, 2016",Memphis Grizzlies,Minnesota Timberwolves,"39-29, 24-11 Home","22-46, 11-24 Away",108,114,,,Final,,25,30,23,30,,42,22,26,24,,NBA,44-100,40-71,44.0,56.3,4-20,10-21,20.0,47.6,16-21,24-31,76.2,77.4,56,43,22,31,3,5,8,8,13,14,21,12,70,40,21,20,4,20,27,7,24,26,14,26,0,1,0,0
400828922,2015,"March 19, 2016",Memphis Grizzlies,LA Clippers,"40-30, 25-11 Home","43-25, 21-13 Away",113,102,,,Final,,31,27,27,28,,29,29,17,27,,NBA,40-82,31-66,48.8,47.0,4-15,12-30,26.7,40.0,29-36,28-39,80.6,71.8,54,41,23,18,9,8,5,8,13,14,6,11,40,24,28,27,15,5,18,4,26,26,15,18,1,1,0,0
