,Unnamed: 0,ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
0,0,171101016,1997,"Sat, Nov 1",Minnesota Timberwolves,Charlotte Hornets,"2-0, 2-0 Home","0-2, 0-1 Away",106,90,,,Final,,29,21,27,29,,26,19,20,25,,NBA
1,1,171105003,1997,"Wed, Nov 5",Charlotte Hornets,Dallas Mavericks,"2-2, 1-1 Home","3-1, 2-1 Away",110,103,,,Final,,28,31,23,28,,25,31,22,25,,NBA
2,2,171108003,1997,"Sat, Nov 8",Charlotte Hornets,Indiana Pacers,"4-2, 2-1 Home","2-4, 1-3 Away",89,82,,,Final,,22,20,22,25,,22,19,19,22,,NBA
3,3,171115003,1997,"Sat, Nov 15",Charlotte Hornets,Los Angeles Clippers,"5-3, 3-1 Home","1-7, 1-3 Away",130,96,,,Final,,41,21,36,32,,30,20,24,22,,NBA
4,4,171121003,1997,"Fri, Nov 21",Charlotte Hornets,Miami Heat,"7-3, 5-1 Home","7-4, 2-3 Away",119,102,,,Final,,28,26,25,40,,32,24,27,19,,NBA
5,5,171125003,1997,"Tue, Nov 25",Charlotte Hornets,Detroit Pistons,"9-3, 6-1 Home","5-10, 2-7 Away",90,85,,,Final,,24,22,24,20,,16,22,19,28,,NBA
6,6,171129001,1997,"Sat, Nov 29",Atlanta Hawks,Charlotte Hornets,"13-2, 8-1 Home","9-5, 3-3 Away",98,80,,,Final,,24,20,27,27,,14,20,24,22,,NBA
7,7,171204015,1997,"Thu, Dec 4",Milwaukee Bucks,Charlotte Hornets,"10-7, 6-3 Home","10-6, 3-4 Away",102,92,,,Final,,31,14,31,26,,22,23,22,25,,NBA
8,8,171209028,1997,"Tue, Dec 9",Toronto Raptors,Charlotte Hornets,"1-19, 1-9 Home","11-7, 4-5 Away",82,95,,,Final,,31,18,18,15,,25,24,19,27,,NBA
9,9,171212003,1997,"Fri, Dec 12",Charlotte Hornets,Chicago Bulls,"13-7, 9-2 Home","12-9, 4-8 Away",79,77,,,Final,,18,23,23,15,,29,14,13,21,,NBA
10,10,171217003,1997,"Wed, Dec 17",Charlotte Hornets,Milwaukee Bucks,"15-7, 10-2 Home","11-12, 4-7 Away",99,90,,,Final,,25,34,15,25,,25,18,20,27,,NBA
11,11,171220003,1997,"Sat, Dec 20",Charlotte Hornets,Los Angeles Lakers,"15-9, 10-3 Home","20-6, 10-5 Away",100,109,,,Final,,30,24,24,22,,26,30,26,27,,NBA
12,12,171223002,1997,"Tue, Dec 23",Boston Celtics,Charlotte Hornets,"13-12, 10-6 Home","16-10, 5-7 Away",102,96,,,Final,,22,23,32,25,,23,18,32,23,,NBA
13,13,171227019,1997,"Sat, Dec 27",Orlando Magic,Charlotte Hornets,"17-12, 8-6 Home","17-11, 5-8 Away",96,87,,,Final,,29,16,31,20,,23,21,21,22,,NBA
14,14,180102003,1997,"Fri, Jan 2",Charlotte Hornets,Miami Heat,"19-11, 13-3 Home","20-10, 8-7 Away",99,88,,,Final/OT,,20,17,26,21,15.0,23,21,18,22,4.0,NBA
15,15,180106025,1997,"Tue, Jan 6",Seattle SuperSonics,Charlotte Hornets,"27-6, 14-2 Home","19-13, 6-10 Away",102,81,,,Final,,29,22,28,23,,27,22,13,19,,NBA
16,16,180109029,1997,"Fri, Jan 9",Vancouver Grizzlies,Charlotte Hornets,"10-26, 8-11 Home","21-13, 8-10 Away",90,98,,,Final,,16,30,21,23,,25,21,24,28,,NBA
17,17,180113003,1997,"Tue, Jan 13",Charlotte Hornets,New Jersey Nets,"22-14, 13-4 Home","20-16, 8-12 Away",68,81,,,Final,,23,14,13,18,,25,28,15,13,,NBA
18,18,180116003,1997,"Fri, Jan 16",Charlotte Hornets,San Antonio Spurs,"22-16, 13-5 Home","26-12, 11-9 Away",71,76,,,Final,,18,19,17,17,,21,22,16,17,,NBA
19,19,180121004,1997,"Wed, Jan 21",Chicago Bulls,Charlotte Hornets,"29-12, 21-1 Home","23-17, 9-12 Away",110,79,,,Final,,26,26,28,30,,16,23,21,19,,NBA
20,20,180124006,1997,"Sat, Jan 24",Dallas Mavericks,Charlotte Hornets,"7-34, 5-18 Home","25-17, 10-12 Away",92,94,,,Final,,33,23,12,24,,29,19,27,19,,NBA
21,21,180130002,1997,"Fri, Jan 30",Boston Celtics,Charlotte Hornets,"20-24, 14-10 Home","27-17, 11-12 Away",95,97,,,Final,,22,23,18,32,,21,26,25,25,,NBA
22,22,180203003,1997,"Tue, Feb 3",Charlotte Hornets,Boston Celtics,"28-18, 17-6 Home","21-25, 6-15 Away",93,89,,,Final,,15,29,23,26,,27,16,22,24,,NBA
23,23,180210018,1997,"Tue, Feb 10",New York Knicks,Charlotte Hornets,"26-21, 17-6 Home","29-19, 11-13 Away",99,91,,,Final,,31,19,20,29,,24,28,15,24,,NBA
24,24,180213003,1997,"Fri, Feb 13",Charlotte Hornets,Philadelphia 76ers,"30-20, 19-7 Home","15-32, 5-18 Away",103,96,,,Final,,26,20,31,26,,26,20,24,26,,NBA
25,25,180218009,1997,"Wed, Feb 18",Golden State Warriors,Charlotte Hornets,"10-41, 7-17 Home","30-22, 11-15 Away",88,77,,,Final,,23,26,20,19,,26,21,14,16,,NBA
26,26,180221012,1997,"Sat, Feb 21",Los Angeles Clippers,Charlotte Hornets,"11-43, 7-20 Home","31-23, 12-16 Away",98,111,,,Final,,32,29,16,21,,20,39,23,29,,NBA
27,27,180225008,1997,"Wed, Feb 25",Detroit Pistons,Charlotte Hornets,"25-30, 17-11 Home","33-23, 14-16 Away",88,98,,,Final,,30,23,15,20,,30,25,22,21,,NBA
28,28,180302003,1997,"Mon, Mar 2",Charlotte Hornets,Golden State Warriors,"35-23, 21-7 Home","12-46, 4-28 Away",112,83,,,Final,,31,18,30,33,,21,10,27,25,,NBA
29,29,180306003,1997,"Fri, Mar 6",Charlotte Hornets,Seattle SuperSonics,"37-23, 23-7 Home","45-15, 21-11 Away",104,98,,,Final,,20,38,18,28,,20,29,23,26,,NBA
30,30,180311003,1997,"Wed, Mar 11",Charlotte Hornets,New York Knicks,"39-23, 24-7 Home","35-27, 12-19 Away",85,78,,,Final,,24,23,17,21,,23,20,19,16,,NBA
31,31,180314003,1997,"Sat, Mar 14",Charlotte Hornets,Washington Wizards,"40-24, 24-8 Home","34-31, 14-19 Away",80,83,,,Final,,18,25,11,26,,28,13,23,19,,NBA
32,32,180318003,1997,"Wed, Mar 18",Charlotte Hornets,Utah Jazz,"42-24, 26-8 Home","48-17, 20-12 Away",111,85,,,Final,,22,30,32,27,,21,16,25,23,,NBA
33,33,180324028,1997,"Tue, Mar 24",Toronto Raptors,Charlotte Hornets,"15-53, 9-25 Home","44-24, 18-16 Away",89,106,,,Final,,20,24,19,26,,31,23,27,25,,NBA
34,34,180327011,1997,"Fri, Mar 27",Indiana Pacers,Charlotte Hornets,"49-21, 26-8 Home","45-25, 18-17 Away",133,96,,,Final,,36,36,27,34,,22,21,31,22,,NBA
35,35,180331003,1997,"Tue, Mar 31",Charlotte Hornets,Philadelphia 76ers,"46-26, 28-8 Home","26-46, 10-25 Away",101,93,,,Final,,38,16,19,28,,22,27,28,16,,NBA
36,36,180404014,1997,"Sat, Apr 4",Miami Heat,Charlotte Hornets,"53-22, 29-9 Home","47-27, 18-19 Away",101,88,,,Final,,25,35,26,15,,18,14,24,32,,NBA
37,37,180408020,1997,"Wed, Apr 8",Philadelphia 76ers,Charlotte Hornets,"30-47, 19-21 Home","47-29, 18-21 Away",109,101,,,Final,,31,28,21,29,,24,13,29,35,,NBA
38,38,180412003,1997,"Sun, Apr 12",Charlotte Hornets,Detroit Pistons,"48-30, 30-9 Home","35-44, 12-28 Away",88,86,,,Final,,19,20,27,22,,21,22,19,24,,NBA
39,39,180415003,1997,"Wed, Apr 15",Charlotte Hornets,New Jersey Nets,"50-30, 31-9 Home","42-38, 17-23 Away",109,103,,,Final,,34,27,26,22,,25,33,25,20,,NBA
40,40,171031003,1997,"Fri, Oct 31",Charlotte Hornets,New York Knicks,"0-1, 0-1 Home","1-0, 1-0 Away",85,97,,,Final,,17,21,26,21,,23,23,24,27,,NBA
41,41,171103014,1997,"Mon, Nov 3",Miami Heat,Charlotte Hornets,"2-1, 1-1 Home","1-2, 1-1 Away",99,112,,,Final,,20,17,28,34,,32,22,22,36,,NBA
42,42,171107027,1997,"Fri, Nov 7",Washington Wizards,Charlotte Hornets,"2-3, 0-2 Home","3-2, 2-1 Away",92,107,,,Final,,23,23,23,23,,24,29,28,26,,NBA
43,43,171114004,1997,"Fri, Nov 14",Chicago Bulls,Charlotte Hornets,"5-4, 5-1 Home","4-3, 2-2 Away",105,92,,,Final,,35,22,26,22,,25,20,19,28,,NBA
44,44,171119003,1997,"Wed, Nov 19",Charlotte Hornets,Portland Trail Blazers,"6-3, 4-1 Home","7-3, 4-1 Away",106,92,,,Final,,28,24,27,27,,17,34,20,21,,NBA
45,45,171122011,1997,"Sat, Nov 22",Indiana Pacers,Charlotte Hornets,"5-6, 2-3 Home","8-3, 3-2 Away",94,95,,,Final,,18,27,20,29,,30,27,18,20,,NBA
