ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
251104018,2005,"November 04, 2005",New York Knicks,Washington Wizards,"0-2, 0-1 Home","2-0, 2-0 Away",75,86,,,Final,,16,19,26,14,,32,11,18,25,,NBA
251109022,2005,"November 09, 2005",Portland Trail Blazers,New York Knicks,"2-2, 2-0 Home","0-4, 0-2 Away",95,83,,,Final,,20,19,25,31,,25,24,13,21,,NBA
251113023,2005,"November 13, 2005",Sacramento Kings,New York Knicks,"2-5, 1-2 Home","1-5, 1-3 Away",95,105,,,Final,,16,25,25,29,,29,28,20,28,,NBA
251116013,2005,"November 16, 2005",Los Angeles Lakers,New York Knicks,"4-4, 2-1 Home","2-6, 2-4 Away",97,92,,,Final,,27,22,29,19,,24,23,25,20,,NBA
251120018,2005,"November 20, 2005",New York Knicks,Portland Trail Blazers,"3-7, 1-2 Home","3-5, 0-3 Away",103,92,,,Final,,26,28,27,22,,28,29,14,21,,NBA
251126018,2005,"November 26, 2005",New York Knicks,Philadelphia 76ers,"4-8, 2-2 Home","7-7, 2-4 Away",105,102,,,Final/OT,CSN,20,25,25,24,11.0,30,28,11,25,8.0,NBA
251130018,2005,"November 30, 2005",New York Knicks,Chicago Bulls,"5-9, 3-2 Home","7-6, 3-5 Away",109,101,,,Final,,24,26,24,35,,29,29,24,19,,NBA
251204018,2005,"December 04, 2005",New York Knicks,Boston Celtics,"5-11, 3-3 Home","7-9, 1-4 Away",99,102,,,Final,,26,19,22,32,,22,24,30,26,,NBA
251207012,2005,"December 07, 2005",LA Clippers,New York Knicks,"13-5, 8-1 Home","6-12, 3-9 Away",84,79,,,Final,,19,20,16,29,,25,25,13,16,,NBA
251212018,2005,"December 12, 2005",New York Knicks,Milwaukee Bucks,"6-14, 3-4 Home","12-7, 6-4 Away",92,112,,,Final,,26,23,26,17,,26,35,26,25,,NBA
251216001,2005,"December 16, 2005",Atlanta Hawks,New York Knicks,"5-17, 3-6 Home","6-16, 3-11 Away",122,111,,,Final,,39,32,26,25,,31,31,19,30,,NBA
251221018,2005,"December 21, 2005",New York Knicks,San Antonio Spurs,"6-18, 3-7 Home","20-6, 9-5 Away",96,109,,,Final,,16,19,23,38,,29,27,33,20,,NBA
251226018,2005,"December 26, 2005",New York Knicks,New Jersey Nets,"7-19, 4-8 Home","15-12, 8-6 Away",101,109,,,Final,,20,30,25,26,,32,31,30,16,,NBA
251230015,2005,"December 30, 2005",Milwaukee Bucks,New York Knicks,"16-11, 9-5 Home","7-21, 3-13 Away",113,108,,,Final,,28,26,26,33,,25,32,21,30,,NBA
260106018,2005,"January 06, 2006",New York Knicks,Washington Wizards,"9-21, 6-8 Home","12-18, 5-11 Away",113,92,,,Final,,25,27,28,33,,30,21,17,24,,NBA
260110005,2005,"January 10, 2006",Cleveland Cavaliers,New York Knicks,"20-12, 14-5 Home","11-21, 4-13 Away",84,92,,,Final,,23,21,28,12,,20,25,22,25,,NBA
260113018,2005,"January 13, 2006",New York Knicks,Atlanta Hawks,"13-21, 9-8 Home","9-25, 3-16 Away",105,94,,,Final,,27,23,25,30,,22,25,26,21,,NBA
260116018,2005,"January 16, 2006",New York Knicks,Minnesota Timberwolves,"13-23, 9-9 Home","18-17, 6-11 Away",90,96,,,Final,,23,24,18,25,,25,27,22,22,,NBA
260119018,2005,"January 19, 2006",New York Knicks,Detroit Pistons,"13-25, 9-10 Home","32-5, 16-3 Away",79,105,,,Final,,13,20,18,28,,28,20,26,31,,NBA
260125018,2005,"January 25, 2006",New York Knicks,Sacramento Kings,"13-27, 9-12 Home","18-24, 6-13 Away",102,106,,,Final/OT,,27,20,17,25,13.0,23,25,21,20,17.0,NBA
260128020,2005,"January 28, 2006",Philadelphia 76ers,New York Knicks,"22-21, 15-8 Home","14-28, 4-16 Away",91,76,,,Final,CSN,19,34,17,21,,22,17,19,18,,NBA
260131018,2005,"January 31, 2006",New York Knicks,Los Angeles Lakers,"14-30, 10-13 Home","24-20, 12-12 Away",97,130,,,Final,,24,20,28,25,,31,29,37,33,,NBA
260205018,2005,"February 05, 2006",New York Knicks,Houston Rockets,"14-32, 10-14 Home","18-29, 12-14 Away",89,93,,,Final,,20,22,24,23,,24,21,24,24,,NBA
260208017,2005,"February 08, 2006",New Jersey Nets,New York Knicks,"26-21, 16-6 Home","14-34, 4-19 Away",96,83,,,Final,,24,29,31,12,,24,16,22,21,,NBA
260212010,2005,"February 12, 2006",Houston Rockets,New York Knicks,"21-30, 8-16 Home","14-36, 4-21 Away",90,83,,,Final,,22,25,22,21,,22,24,14,23,,NBA
