ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
400974777,2017,"October 20, 2017",Phoenix Suns,Los Angeles Lakers,"0-2, 0-2 Home","1-1, 1-0 Away",130,132,,,Final,,36,37,26,31,,40,30,36,26,,NBA
400974799,2017,"October 23, 2017",Phoenix Suns,Sacramento Kings,"1-3, 1-2 Home","1-3, 1-2 Away",117,115,,,Final,,36,23,28,30,,17,34,25,39,,NBA
400974834,2017,"October 28, 2017",Portland Trail Blazers,Phoenix Suns,"4-2, 2-1 Home","2-4, 0-2 Away",114,107,,,Final,,29,32,31,22,,24,33,32,18,,NBA
400974859,2017,"November 01, 2017",Washington Wizards,Phoenix Suns,"4-3, 2-1 Home","4-4, 2-2 Away",116,122,,,Final,,32,32,26,26,,15,37,35,35,,NBA
400974892,2017,"November 05, 2017",San Antonio Spurs,Phoenix Suns,"6-4, 4-1 Home","4-6, 2-4 Away",112,95,,,Final,,28,23,34,27,,20,35,13,27,,NBA
400974913,2017,"November 08, 2017",Phoenix Suns,Miami Heat,"4-8, 2-4 Home","5-6, 2-3 Away",115,126,,,Final,,27,27,32,29,,36,33,25,32,,NBA
400974937,2017,"November 11, 2017",Phoenix Suns,Minnesota Timberwolves,"5-9, 3-5 Home","7-5, 3-4 Away",118,110,,,Final,,19,37,29,33,,28,32,28,22,,NBA
400974967,2017,"November 16, 2017",Phoenix Suns,Houston Rockets,"5-11, 3-7 Home","12-4, 8-1 Away",116,142,,,Final,TNT,23,42,26,25,,45,45,30,22,,NBA
400974990,2017,"November 19, 2017",Phoenix Suns,Chicago Bulls,"7-11, 4-7 Home","3-11, 1-7 Away",113,105,,,Final,,30,31,24,28,,37,19,28,21,,NBA
400975026,2017,"November 24, 2017",Phoenix Suns,New Orleans Pelicans,"7-13, 4-9 Home","11-8, 6-4 Away",91,115,,,Final,,21,21,20,29,,33,39,22,21,,NBA
400975050,2017,"November 28, 2017",Chicago Bulls,Phoenix Suns,"3-16, 2-6 Home","8-14, 4-5 Away",99,104,,,Final,,29,14,27,29,,28,18,27,31,,NBA
400975077,2017,"December 02, 2017",Boston Celtics,Phoenix Suns,"20-4, 10-2 Home","8-16, 4-7 Away",116,111,,,Final,,31,29,29,27,,22,32,25,32,,NBA
400975101,2017,"December 05, 2017",Toronto Raptors,Phoenix Suns,"15-7, 9-1 Home","9-17, 5-8 Away",126,113,,,Final,NBATV,36,19,42,29,,23,23,33,34,,NBA
400975134,2017,"December 09, 2017",Phoenix Suns,San Antonio Spurs,"9-19, 4-11 Home","19-8, 6-6 Away",101,104,,,Final,,17,22,32,30,,28,24,27,25,,NBA
400975162,2017,"December 13, 2017",Phoenix Suns,Toronto Raptors,"9-21, 4-12 Home","18-8, 9-7 Away",109,115,,,Final,,31,21,27,30,,37,21,34,23,,NBA
400975199,2017,"December 18, 2017",Dallas Mavericks,Phoenix Suns,"8-23, 6-11 Home","11-21, 7-9 Away",91,97,,,Final,,22,28,25,16,,25,24,19,29,,NBA
400975220,2017,"December 21, 2017",Phoenix Suns,Memphis Grizzlies,"12-22, 5-12 Home","9-23, 3-11 Away",97,95,,,Final,,26,34,19,18,,25,26,30,14,,NBA
400975250,2017,"December 26, 2017",Phoenix Suns,Memphis Grizzlies,"13-23, 6-13 Home","10-24, 3-12 Away",99,97,,,Final,,29,28,19,23,,19,34,23,21,,NBA
400975290,2017,"December 31, 2017",Phoenix Suns,Philadelphia 76ers,"14-24, 6-14 Home","17-19, 10-10 Away",110,123,,,Final,,32,17,40,21,,38,25,29,31,,NBA
400975309,2017,"January 03, 2018",Denver Nuggets,Phoenix Suns,"20-17, 13-4 Home","15-25, 8-11 Away",134,111,,,Final,,34,27,37,36,,26,41,18,26,,NBA
400975334,2017,"January 07, 2018",Phoenix Suns,Oklahoma City Thunder,"16-26, 8-14 Home","22-18, 8-12 Away",114,100,,,Final,,28,34,28,24,,23,30,29,18,,NBA
400975382,2017,"January 14, 2018",Phoenix Suns,Indiana Pacers,"16-28, 8-16 Home","23-20, 9-10 Away",97,120,,,Final,,16,28,22,31,,30,34,32,24,,NBA
400975417,2017,"January 19, 2018",Denver Nuggets,Phoenix Suns,"23-23, 16-6 Home","17-29, 9-13 Away",100,108,,,Final,,31,19,23,27,,29,31,25,23,,NBA
400975449,2017,"January 24, 2018",Indiana Pacers,Phoenix Suns,"26-22, 15-10 Home","17-31, 9-15 Away",116,101,,,Final,,32,31,36,17,,18,26,21,36,,NBA
400975478,2017,"January 28, 2018",Houston Rockets,Phoenix Suns,"35-13, 19-6 Home","17-33, 9-16 Away",113,102,,,Final,NBATV,28,32,32,21,,24,29,24,25,,NBA
400975506,2017,"January 31, 2018",Phoenix Suns,Dallas Mavericks,"18-34, 9-17 Home","16-36, 6-18 Away",102,88,,,Final,ESPN,36,21,24,21,,17,29,15,27,,NBA
400975535,2017,"February 04, 2018",Phoenix Suns,Charlotte Hornets,"18-36, 9-19 Home","23-29, 8-15 Away",110,115,,,Final,,31,28,35,16,,25,23,38,29,,NBA
400975556,2017,"February 07, 2018",Phoenix Suns,San Antonio Spurs,"18-38, 9-20 Home","35-21, 13-15 Away",81,129,,,Final,ESPN,9,22,19,31,,28,41,28,32,,NBA
400975592,2017,"February 12, 2018",Golden State Warriors,Phoenix Suns,"44-13, 22-7 Home","18-40, 9-19 Away",129,83,,,Final,NBATV,25,37,37,30,,24,21,26,12,,NBA
400975627,2017,"February 23, 2018",Phoenix Suns,LA Clippers,"18-42, 9-22 Home","31-27, 15-15 Away",117,128,,,Final,,18,32,28,39,,40,39,16,33,,NBA
400975648,2017,"February 26, 2018",New Orleans Pelicans,Phoenix Suns,"34-26, 17-12 Home","18-44, 9-21 Away",125,116,,,Final,,26,32,38,29,,36,29,24,27,,NBA
400975679,2017,"March 02, 2018",Phoenix Suns,Oklahoma City Thunder,"19-45, 9-24 Home","37-27, 16-17 Away",116,124,,,Final,,37,30,32,17,,32,28,37,27,,NBA
400975698,2017,"March 05, 2018",Miami Heat,Phoenix Suns,"34-30, 18-13 Home","19-47, 10-23 Away",125,103,,,Final,,30,31,32,32,,27,21,32,23,,NBA
400975733,2017,"March 10, 2018",Charlotte Hornets,Phoenix Suns,"29-38, 19-17 Home","19-49, 10-25 Away",122,115,,,Final,,32,27,35,28,,25,26,21,43,,NBA
400975773,2017,"March 15, 2018",Utah Jazz,Phoenix Suns,"39-30, 23-11 Home","19-51, 10-26 Away",116,88,,,Final,,20,36,25,35,,23,20,23,22,,NBA
400975809,2017,"March 20, 2018",Phoenix Suns,Detroit Pistons,"19-53, 9-27 Home","32-39, 11-25 Away",88,115,,,Final,,19,19,26,24,,19,25,36,35,,NBA
