ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
400899429,2016,"October 28, 2016",Toronto Raptors,Cleveland Cavaliers,"1-1, 1-1 Home","2-0, 1-0 Away",91,94,,,Final,ESPN,23,17,27,24,,28,22,21,23,,NBA
400899505,2016,"November 02, 2016",Washington Wizards,Toronto Raptors,"0-3, 0-1 Home","3-1, 1-0 Away",103,113,,,Final,,29,27,19,28,,27,27,30,29,,NBA
400899539,2016,"November 06, 2016",Toronto Raptors,Sacramento Kings,"4-2, 3-2 Home","3-5, 2-4 Away",91,96,,,Final,,23,27,16,25,,20,24,24,28,,NBA
400899573,2016,"November 11, 2016",Charlotte Hornets,Toronto Raptors,"6-2, 3-2 Home","6-2, 3-0 Away",111,113,,,Final,,27,17,38,29,,28,30,21,34,,NBA
400899603,2016,"November 15, 2016",Cleveland Cavaliers,Toronto Raptors,"9-1, 6-1 Home","7-3, 3-1 Away",121,117,,,Final,NBATV,30,31,30,30,,25,32,27,33,,NBA
400899631,2016,"November 18, 2016",Denver Nuggets,Toronto Raptors,"4-8, 1-4 Home","8-4, 4-1 Away",111,113,,,Final/OT,,19,38,25,20,9.0,29,23,25,25,11.0,NBA
400899657,2016,"November 21, 2016",LA Clippers,Toronto Raptors,"13-2, 7-2 Home","8-6, 4-3 Away",123,115,,,Final,,23,31,34,35,,19,26,34,36,,NBA
400899682,2016,"November 25, 2016",Milwaukee Bucks,Toronto Raptors,"6-8, 5-4 Home","10-6, 6-3 Away",99,105,,,Final,,24,18,25,32,,27,20,26,32,,NBA
400899718,2016,"November 30, 2016",Toronto Raptors,Memphis Grizzlies,"12-6, 6-3 Home","11-8, 6-4 Away",120,105,,,Final,,25,30,34,31,,28,29,25,23,,NBA
400899735,2016,"December 03, 2016",Toronto Raptors,Atlanta Hawks,"14-6, 8-3 Home","10-11, 4-8 Away",128,84,,,Final,,32,30,24,42,,22,25,23,14,,NBA
400899773,2016,"December 08, 2016",Toronto Raptors,Minnesota Timberwolves,"15-7, 9-4 Home","6-16, 3-9 Away",124,110,,,Final,TNT,22,37,29,36,,32,27,30,21,,NBA
400899804,2016,"December 12, 2016",Toronto Raptors,Milwaukee Bucks,"17-7, 10-4 Home","11-12, 3-6 Away",122,100,,,Final,,33,36,23,30,,23,26,33,18,,NBA
400899834,2016,"December 16, 2016",Toronto Raptors,Atlanta Hawks,"18-8, 10-5 Home","13-13, 6-8 Away",121,125,,,Final,,27,25,30,39,,35,34,26,30,,NBA
400899862,2016,"December 20, 2016",Toronto Raptors,Brooklyn Nets,"20-8, 11-5 Home","7-20, 1-13 Away",116,104,,,Final,,29,35,27,25,,23,23,26,32,,NBA
400899911,2016,"December 26, 2016",Portland Trail Blazers,Toronto Raptors,"13-20, 8-7 Home","22-8, 11-3 Away",91,95,,,Final,,24,18,26,23,,21,22,30,22,,NBA
400899932,2016,"December 29, 2016",Phoenix Suns,Toronto Raptors,"10-23, 6-9 Home","22-10, 11-5 Away",99,91,,,Final,,16,26,34,23,,18,22,22,29,,NBA
400899428,2016,"January 03, 2017",San Antonio Spurs,Toronto Raptors,"28-7, 12-4 Home","23-11, 12-6 Away",110,82,,,Final,,29,31,28,22,,18,23,17,24,,NBA
400899975,2016,"January 07, 2017",Chicago Bulls,Toronto Raptors,"19-18, 12-7 Home","24-12, 12-7 Away",123,118,,,Final/OT,,29,19,26,33,16.0,28,33,25,21,11.0,NBA
400899993,2016,"January 10, 2017",Toronto Raptors,Boston Celtics,"25-13, 13-6 Home","23-15, 12-9 Away",114,106,,,Final,NBATV,23,23,34,34,,18,37,29,22,,NBA
400900027,2016,"January 15, 2017",Toronto Raptors,New York Knicks,"27-13, 15-6 Home","18-23, 6-15 Away",116,101,,,Final,,27,42,27,20,,26,28,8,39,,NBA
400900048,2016,"January 18, 2017",Philadelphia 76ers,Toronto Raptors,"14-26, 9-14 Home","28-14, 13-8 Away",94,89,,,Final,,25,21,22,26,,21,23,21,24,,NBA
400900084,2016,"January 22, 2017",Toronto Raptors,Phoenix Suns,"28-16, 15-7 Home","15-29, 7-17 Away",103,115,,,Final,,31,29,25,18,,28,29,25,33,,NBA
400900106,2016,"January 25, 2017",Memphis Grizzlies,Toronto Raptors,"27-20, 16-9 Home","28-18, 13-10 Away",101,99,,,Final,,32,24,31,14,,34,23,20,22,,NBA
400900136,2016,"January 29, 2017",Toronto Raptors,Orlando Magic,"29-19, 16-9 Home","19-30, 11-15 Away",113,114,,,Final,,36,15,27,35,,27,33,22,32,,NBA
400899391,2016,"February 01, 2017",Boston Celtics,Toronto Raptors,"31-18, 17-8 Home","30-20, 13-11 Away",109,104,,,Final,,28,23,26,32,,30,32,23,19,,NBA
400900170,2016,"February 05, 2017",Brooklyn Nets,Toronto Raptors,"9-42, 7-20 Home","31-21, 14-12 Away",95,103,,,Final,,24,19,20,32,,26,29,20,28,,NBA
400900195,2016,"February 08, 2017",Minnesota Timberwolves,Toronto Raptors,"20-33, 13-16 Home","32-22, 14-13 Away",112,109,,,Final,,25,28,30,29,,33,30,25,21,,NBA
400900236,2016,"February 14, 2017",Chicago Bulls,Toronto Raptors,"27-29, 16-11 Home","32-24, 14-14 Away",105,94,,,Final,,24,34,20,27,,18,21,25,30,,NBA
400900264,2016,"February 24, 2017",Toronto Raptors,Boston Celtics,"34-24, 20-10 Home","37-21, 17-13 Away",107,97,,,Final,ESPN,18,27,29,33,,29,26,22,20,,NBA
400900288,2016,"February 27, 2017",New York Knicks,Toronto Raptors,"24-36, 15-16 Home","36-24, 15-14 Away",91,92,,,Final,,25,28,14,24,,21,19,23,29,,NBA
400900305,2016,"March 03, 2017",Washington Wizards,Toronto Raptors,"36-24, 25-9 Home","37-25, 16-14 Away",106,114,,,Final,,27,26,25,28,,35,27,17,35,,NBA
