ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
400974775,2017,"October 20, 2017",Minnesota Timberwolves,Utah Jazz,"1-1, 1-0 Home","1-1, 0-1 Away",100,97,,,Final,,19,27,24,30,,16,26,23,32,,NBA,36-81,37-77,80.8,82.4,7-22,9-22,31.8,40.9,21-26,14-17,31.8,40.9,51,42,2,8,15,19,17,21,3,0,4,12,-1,-1,0,0,10,7,10,7,34,31,26,26,0,0,11,10
400974805,2017,"October 24, 2017",LA Clippers,Utah Jazz,"3-0, 2-0 Home","2-2, 0-2 Away",102,84,,,Final,,27,15,33,27,,20,21,15,28,,NBA,39-83,34-79,66.7,81.8,10-29,7-28,34.5,25.0,14-21,9-11,34.5,25.0,51,47,4,7,13,18,16,23,0,0,14,16,-1,-1,0,0,21,4,11,8,33,33,17,26,0,0,12,7
400974833,2017,"October 28, 2017",Utah Jazz,Los Angeles Lakers,"3-3, 3-0 Home","2-4, 1-1 Away",96,81,,,Final,,31,25,19,21,,16,29,19,17,,NBA,37-79,31-81,69.2,70.0,13-31,5-22,41.9,22.7,9-13,14-20,41.9,22.7,56,46,5,4,21,16,20,20,4,0,5,8,-1,-1,0,0,15,0,14,14,35,25,24,22,0,0,9,12
400974866,2017,"November 01, 2017",Utah Jazz,Portland Trail Blazers,"5-3, 5-0 Home","4-4, 2-2 Away",112,103,,,Final/OT,,22,17,25,30,18.0,20,19,30,25,9.0,NBA,34-90,37-93,86.1,74.1,13-29,9-34,44.8,26.5,31-36,20-27,44.8,26.5,63,61,8,8,14,17,21,25,2,1,5,6,-1,-1,0,0,9,8,10,11,45,42,13,18,0,0,9,8
400974891,2017,"November 05, 2017",Houston Rockets,Utah Jazz,"8-3, 2-2 Home","5-5, 0-4 Away",137,110,,,Final,,39,28,48,22,,28,21,36,25,,NBA,48-81,38-88,85.7,87.5,23-39,13-34,59.0,38.2,18-21,21-24,59.0,38.2,48,41,7,3,20,13,24,18,0,1,11,4,-1,-1,0,0,32,8,5,8,37,25,19,13,0,0,9,7
400974926,2017,"November 10, 2017",Utah Jazz,Miami Heat,"5-7, 5-3 Home","6-6, 3-3 Away",74,84,,,Final,,22,27,8,17,,25,12,20,27,,NBA,25-74,30-77,86.4,77.8,5-21,10-25,23.8,40.0,19-22,14-18,23.8,40.0,46,57,7,6,17,19,20,20,1,1,6,3,-1,-1,0,0,12,10,4,7,36,41,18,15,0,0,10,9
400974948,2017,"November 13, 2017",Utah Jazz,Minnesota Timberwolves,"6-8, 6-4 Home","8-5, 4-4 Away",98,109,,,Final,,14,28,23,33,,33,24,31,21,,NBA,37-84,37-71,90.9,86.2,14-40,10-20,35.0,50.0,10-11,25-29,35.0,50.0,37,49,4,5,15,15,23,13,0,3,5,6,-1,-1,0,0,1,26,8,5,23,35,17,20,0,0,8,9
400974970,2017,"November 17, 2017",Brooklyn Nets,Utah Jazz,"6-9, 4-3 Home","6-10, 0-6 Away",118,107,,,Final,,39,26,24,29,,25,24,31,27,,NBA,43-84,39-79,75.0,70.8,17-37,12-26,45.9,46.2,15-20,17-24,45.9,46.2,45,48,2,6,12,16,21,19,2,1,13,9,-1,-1,0,0,22,4,4,10,32,29,9,22,0,0,8,6
400974995,2017,"November 20, 2017",Philadelphia 76ers,Utah Jazz,"9-7, 3-3 Home","7-11, 1-7 Away",107,86,,,Final,,25,22,28,32,,15,21,27,23,,NBA,44-85,30-85,68.2,89.5,4-15,9-28,26.7,32.1,15-22,17-19,26.7,32.1,65,40,7,4,19,14,18,19,2,1,6,11,-1,-1,0,0,21,2,9,7,46,27,11,12,0,0,11,16
400975036,2017,"November 25, 2017",Utah Jazz,Milwaukee Bucks,"9-11, 8-4 Home","9-9, 4-5 Away",121,108,,,Final,,31,33,31,26,,30,27,28,23,,NBA,46-81,41-77,57.9,78.3,18-32,8-21,56.3,38.1,11-19,18-23,56.3,38.1,36,48,2,6,10,16,19,21,1,1,4,17,-1,-1,0,0,15,2,5,8,25,32,21,27,0,0,8,5
