ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,HQ1,HQ2,HQ3,HQ4,HOT,AQ1,AQ2,AQ3,AQ4,AOT,League
190206027,1998,"February 06, 1999",Washington Wizards,Toronto Raptors,"1-1, 1-0 Home","1-1, 1-1 Away",98,97,,,Final,,23,25,16,34,,26,24,23,24,,NBA
190210018,1998,"February 10, 1999",New York Knicks,Washington Wizards,"1-2, 1-1 Home","1-3, 0-3 Away",101,88,,,Final,,24,32,24,21,,19,24,25,20,,NBA
190218028,1998,"February 18, 1999",Toronto Raptors,Washington Wizards,"1-5, 0-2 Home","2-4, 1-4 Away",88,95,,,Final,,26,17,23,22,,21,27,28,19,,NBA
190221027,1998,"February 21, 1999",Washington Wizards,Boston Celtics,"4-4, 3-0 Home","3-5, 2-4 Away",86,75,,,Final,,17,28,23,18,,19,16,19,21,,NBA
190225027,1998,"February 25, 1999",Washington Wizards,Sacramento Kings,"4-6, 3-2 Home","6-6, 3-6 Away",105,115,,,Final,,28,24,24,29,,34,26,25,30,,NBA
190301027,1998,"March 01, 1999",Washington Wizards,Philadelphia 76ers,"4-8, 3-4 Home","9-5, 5-1 Away",91,104,,,Final,CSN,20,22,24,25,,29,25,26,24,,NBA
190303027,1998,"March 03, 1999",Washington Wizards,Indiana Pacers,"5-9, 3-5 Home","11-4, 6-3 Away",95,106,,,Final,,24,32,27,12,,26,34,19,27,,NBA
190307020,1998,"March 07, 1999",Philadelphia 76ers,Washington Wizards,"10-7, 5-6 Home","7-9, 3-4 Away",95,103,,,Final/OT,CSN,27,17,21,25,5.0,22,30,20,18,13.0,NBA
190310027,1998,"March 10, 1999",Washington Wizards,Detroit Pistons,"8-10, 5-5 Home","11-8, 4-6 Away",97,87,,,Final,,23,27,26,21,,24,12,23,28,,NBA
190312027,1998,"March 12, 1999",Washington Wizards,Charlotte Hornets,"8-12, 5-6 Home","6-12, 2-8 Away",83,92,,,Final,,23,25,23,12,,18,26,20,28,,NBA
190316014,1998,"March 16, 1999",Miami Heat,Washington Wizards,"17-5, 11-2 Home","9-13, 3-7 Away",94,85,,,Final,,26,23,24,21,,19,19,25,22,,NBA
190320027,1998,"March 20, 1999",Washington Wizards,Cleveland Cavaliers,"10-14, 7-7 Home","11-11, 3-7 Away",113,83,,,Final,,25,26,34,28,,18,20,26,19,,NBA
190324025,1998,"March 24, 1999",Seattle SuperSonics,Washington Wizards,"13-12, 10-4 Home","11-15, 4-8 Away",92,96,,,Final,,29,14,20,29,,24,27,16,29,,NBA
190327007,1998,"March 27, 1999",Denver Nuggets,Washington Wizards,"7-22, 7-8 Home","12-16, 5-9 Away",100,112,,,Final,,29,23,20,28,,30,30,26,26,,NBA
190331027,1998,"March 31, 1999",Washington Wizards,Orlando Magic,"13-17, 8-7 Home","22-10, 6-8 Away",84,73,,,Final,,26,17,25,16,,18,22,16,17,,NBA
190404027,1998,"April 04, 1999",Washington Wizards,Miami Heat,"13-19, 8-8 Home","20-11, 9-7 Away",79,90,,,Final,,16,23,25,15,,21,22,27,20,,NBA
190407002,1998,"April 07, 1999",Boston Celtics,Washington Wizards,"11-22, 6-8 Home","13-21, 5-12 Away",108,87,,,Final,,28,30,24,26,,26,26,18,17,,NBA
190411027,1998,"April 11, 1999",Washington Wizards,Philadelphia 76ers,"14-22, 9-9 Home","19-17, 9-9 Away",105,98,,,Final,CSN,20,25,26,34,,22,32,28,16,,NBA
190414027,1998,"April 14, 1999",Washington Wizards,New York Knicks,"15-23, 10-9 Home","21-18, 6-13 Away",95,89,,,Final/OT,,19,22,18,25,11.0,23,19,20,22,5.0,NBA
190418027,1998,"April 18, 1999",Washington Wizards,Boston Celtics,"16-24, 11-10 Home","16-24, 7-14 Away",98,101,,,Final,,19,23,22,34,,29,23,22,27,,NBA
190421027,1998,"April 21, 1999",Washington Wizards,Toronto Raptors,"16-26, 11-11 Home","21-21, 8-12 Away",91,107,,,Final,,25,23,28,15,,23,30,25,29,,NBA
190425002,1998,"April 25, 1999",Boston Celtics,Washington Wizards,"18-27, 10-12 Home","16-28, 5-16 Away",113,84,,,Final,,24,28,32,29,,21,17,29,17,,NBA
190428019,1998,"April 28, 1999",Orlando Magic,Washington Wizards,"31-17, 20-4 Home","16-30, 5-18 Away",93,86,,,Final,,26,19,23,25,,22,23,16,25,,NBA
190501017,1998,"May 01, 1999",New Jersey Nets,Washington Wizards,"15-33, 11-13 Home","17-31, 5-19 Away",102,91,,,Final,,29,29,17,27,,21,21,22,27,,NBA
190205011,1998,"February 05, 1999",Indiana Pacers,Washington Wizards,"1-0, 1-0 Home","0-1, 0-1 Away",96,81,,,Final,,30,17,22,27,,23,21,15,22,,NBA
190208008,1998,"February 08, 1999",Detroit Pistons,Washington Wizards,"3-0, 2-0 Home","1-2, 0-2 Away",106,103,,,Final,,27,29,25,25,,28,28,30,17,,NBA
190217019,1998,"February 17, 1999",Orlando Magic,Washington Wizards,"6-2, 4-0 Home","1-4, 0-4 Away",96,85,,,Final,,18,27,18,33,,16,35,14,20,,NBA
190219027,1998,"February 19, 1999",Washington Wizards,Chicago Bulls,"3-4, 2-0 Home","1-7, 1-3 Away",93,91,,,Final,,28,21,25,19,,16,27,23,25,,NBA
190223027,1998,"February 23, 1999",Washington Wizards,Miami Heat,"4-5, 3-1 Home","7-3, 4-1 Away",80,96,,,Final,,18,29,16,17,,20,22,28,26,,NBA
190227027,1998,"February 27, 1999",Washington Wizards,Portland Trail Blazers,"4-7, 3-3 Home","8-3, 3-3 Away",81,82,,,Final,,24,28,13,16,,18,27,18,19,,NBA
190302001,1998,"March 02, 1999",Atlanta Hawks,Washington Wizards,"8-7, 3-3 Home","5-8, 2-4 Away",77,97,,,Final,,20,17,15,25,,24,26,24,23,,NBA
190305027,1998,"March 05, 1999",Washington Wizards,Charlotte Hornets,"6-9, 4-5 Home","4-11, 1-7 Away",86,85,,,Final,,19,26,16,25,,20,21,23,21,,NBA
190308008,1998,"March 08, 1999",Detroit Pistons,Washington Wizards,"11-7, 7-2 Home","7-10, 3-5 Away",75,71,,,Final,,17,19,23,16,,20,20,20,11,,NBA
