ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
400915494,2017,"November 13, 2016",Arizona State Sun Devils,Cal Poly Mustangs,"2-0, 2-0 Home","0-2, 0-2 Away",96,74,,,Final,,39,57,,38,36,,NCAAB
400926403,2017,"November 18, 2016",Tulane Green Wave,Arizona State Sun Devils,1-3,3-1,71,80,,,Final,ESPNU,29,42,,40,40,,NCAAB
400915522,2017,"November 23, 2016",Arizona State Sun Devils,The Citadel Bulldogs,"4-2, 3-0 Home","3-3, 1-3 Away",127,110,,,Final,PAC12,55,72,,45,65,,NCAAB
400915550,2017,"December 3, 2016",Arizona State Sun Devils,UNLV Rebels,"5-3, 4-0 Home","5-3, 1-1 Away",97,73,,,Final,PAC12,51,46,,32,41,,NCAAB
400915559,2017,"December 10, 2016",San Diego State Aztecs,Arizona State Sun Devils,"4-4, 3-1 Home","6-4, 1-0 Away",63,74,,,Final,CBSSN,32,31,,25,49,,NCAAB
400915584,2017,"December 20, 2016",Arizona State Sun Devils,Creighton Bluejays,"6-6, 4-2 Home","12-0, 2-0 Away",85,96,,,Final,ESPN2,40,45,,45,51,,NCAAB
400915598,2017,"December 30, 2016",Stanford Cardinal,Arizona State Sun Devils,"8-5, 0-1 Conf","8-6, 1-0 Conf",93,98,,,Final,PAC12,39,54,,52,46,,NCAAB
400915609,2017,"January 5, 2017",Arizona State Sun Devils,Colorado Buffaloes,"9-7, 2-1 Conf","10-5, 0-2 Conf",78,77,,,Final,PAC12,41,37,,37,40,,NCAAB
400915620,2017,"January 12, 2017",Arizona Wildcats,Arizona State Sun Devils,"16-2, 5-0 Conf","9-9, 2-3 Conf",91,75,,,Final,ESPN2,45,46,,25,50,,NCAAB
400915639,2017,"January 22, 2017",USC Trojans,Arizona State Sun Devils,"17-4, 4-4 Conf","9-11, 2-5 Conf",82,79,,,Final,ESPNU,45,37,,38,41,,NCAAB
400915647,2017,"January 29, 2017",Arizona State Sun Devils,Washington State Cougars,"10-12, 3-6 Conf","11-10, 4-5 Conf",83,91,,,Final,PAC12,40,43,,37,54,,NCAAB
400915657,2017,"February 4, 2017",Oregon State Beavers,Arizona State Sun Devils,"4-20, 0-11 Conf","11-13, 4-7 Conf",68,81,,,Final,PAC12,25,43,,44,37,,NCAAB
400915670,2017,"February 11, 2017",Arizona State Sun Devils,Stanford Cardinal,"12-14, 5-8 Conf","12-13, 4-9 Conf",75,69,,,Final,PAC12,32,43,,33,36,,NCAAB
400915680,2017,"February 18, 2017",Washington State Cougars,Arizona State Sun Devils,"12-15, 5-10 Conf","13-15, 6-9 Conf",86,71,,,Final,PAC12,43,43,,49,22,,NCAAB
400915692,2017,"February 26, 2017",Arizona State Sun Devils,USC Trojans,"14-16, 7-10 Conf","21-8, 8-8 Conf",83,82,,,Final,PAC12,47,36,,48,34,,NCAAB
400945497,2017,"March 8, 2017",Arizona State Sun Devils,Stanford Cardinal,"15-17, 7-11 Conf","14-17, 6-12 Conf",98,88,,,Final/OT,PAC12,50,31,17,42,39,7,NCAAB
400915484,2017,"November 11, 2016",Arizona State Sun Devils,Portland St Vikings,"1-0, 1-0 Home","0-1, 0-1 Away",88,70,,,Final,,44,44,,30,40,,NCAAB
400915504,2017,"November 17, 2016",Arizona State Sun Devils,Northern Iowa Panthers,2-1,2-0,63,82,,,Final,ESPNU,29,34,,37,45,,NCAAB
400926482,2017,"November 20, 2016",Arizona State Sun Devils,Davidson Wildcats,3-2,3-1,60,68,,,Final,ESPNU,22,38,,31,37,,NCAAB
400910685,2017,"November 28, 2016",Kentucky Wildcats,Arizona State Sun Devils,7-0,4-3,115,69,,,Final,ESPN2,58,57,,30,39,,NCAAB
400915189,2017,"December 6, 2016",Arizona State Sun Devils,Purdue Boilermakers,5-4,7-2,64,97,,,Final,ESPN,21,43,,47,50,,NCAAB
400915575,2017,"December 17, 2016",Arizona State Sun Devils,New Mexico State Aggies,"6-5, 4-1 Home","10-2, 3-2 Away",70,81,,,Final,,38,32,,40,41,,NCAAB
400915591,2017,"December 22, 2016",Arizona State Sun Devils,Central Arkansas Bears,"7-6, 5-2 Home","1-12, 1-9 Away",98,62,,,Final,PAC12,51,47,,28,34,,NCAAB
400915605,2017,"January 1, 2017",California Golden Bears,Arizona State Sun Devils,"10-4, 1-1 Conf","8-7, 1-1 Conf",81,65,,,Final,PAC12,38,43,,37,28,,NCAAB
400915613,2017,"January 7, 2017",Arizona State Sun Devils,Utah Utes,"9-8, 2-2 Conf","11-4, 2-1 Conf",82,88,,,Final,PAC12,37,45,,34,54,,NCAAB
400915633,2017,"January 19, 2017",UCLA Bruins,Arizona State Sun Devils,"19-1, 6-1 Conf","9-10, 2-4 Conf",102,80,,,Final,FS1,54,48,,39,41,,NCAAB
400915641,2017,"January 25, 2017",Arizona State Sun Devils,Washington Huskies,"10-11, 3-5 Conf","9-11, 2-6 Conf",86,75,,,Final,ESPNU,34,52,,29,46,,NCAAB
400915654,2017,"February 2, 2017",Oregon Ducks,Arizona State Sun Devils,"20-3, 9-1 Conf","10-13, 3-7 Conf",71,70,,,Final,FS1,25,46,,28,42,,NCAAB
400915662,2017,"February 8, 2017",Arizona State Sun Devils,California Golden Bears,"11-14, 4-8 Conf","18-6, 9-3 Conf",43,68,,,Final,ESPNU,17,26,,28,40,,NCAAB
400915677,2017,"February 16, 2017",Washington Huskies,Arizona State Sun Devils,"9-17, 2-12 Conf","13-14, 6-8 Conf",81,83,,,Final,FS1,41,40,,39,44,,NCAAB
400915686,2017,"February 23, 2017",Arizona State Sun Devils,UCLA Bruins,"13-16, 6-10 Conf","25-3, 12-3 Conf",75,87,,,Final,ESPN2,36,39,,45,42,,NCAAB
400915700,2017,"March 4, 2017",Arizona State Sun Devils,Arizona Wildcats,"14-17, 7-11 Conf","27-4, 16-2 Conf",60,73,,,Final,CBS,29,31,,30,43,,NCAAB
400945804,2017,"March 9, 2017",Oregon Ducks,Arizona State Sun Devils,"28-4, 16-2 Conf","15-18, 7-11 Conf",80,57,,,Final,PAC12,34,46,,31,26,,NCAAB
