ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
400988205,2018,"November 14, 2017",Arizona State Sun Devils,San Diego State Aztecs,"2-0, 2-0 Home","1-1, 0-1 Away",90,68,,,Final,PAC12,34,56,,40,28,,NCAAB,31-61,25-66,50.8,37.9,8-25,8-21,32.0,38.1,20-25,10-14,80.0,71.4,42,36,18,18,9,4,5,2,12,15,,,,,17,20,26,9,8,10,34,26,,,0,0,0,0
400988220,2018,"November 19, 2017",Arizona State Sun Devils,UC Irvine Anteaters,"4-0, 4-0 Home","2-3, 1-3 Away",99,78,,,Final,PAC12,56,43,,38,40,,NCAAB,30-49,28-61,61.2,45.9,14-23,12-25,60.9,48.0,25-38,10-16,65.8,62.5,28,34,17,21,6,7,2,2,10,19,,,,,17,28,22,2,6,15,22,19,,,0,1,0,0
401002171,2018,"November 24, 2017",Xavier Musketeers,Arizona State Sun Devils,5-1,6-0,86,102,,,Final,,46,40,,44,58,,NCAAB,30-54,33-59,55.6,55.9,8-20,13-27,40.0,48.1,18-23,23-25,78.3,92.0,26,29,16,11,2,9,1,1,13,10,,,,,21,20,15,23,6,7,20,22,,,1,1,0,0
400988254,2018,"December 8, 2017",Arizona State Sun Devils,St. John's Red Storm,8-0,8-2,82,70,,,Final,PAC12,46,36,,34,36,,NCAAB,25-55,25-64,45.5,39.1,9-23,7-24,39.1,29.2,23-27,13-22,85.2,59.1,38,35,16,13,1,5,0,6,14,11,,,,,18,27,18,1,8,13,30,22,,,0,0,0,0
400987252,2018,"December 17, 2017",Arizona State Sun Devils,Vanderbilt Commodores,"10-0, 6-0 Home","3-7, 0-2 Away",76,64,,,Final,PAC12,30,46,,29,35,,NCAAB,25-57,23-68,43.9,33.8,5-23,4-31,21.7,12.9,21-28,14-19,75.0,73.7,47,37,7,10,4,7,5,2,17,15,,,,,20,23,21,13,15,16,32,21,,,1,1,0,0
400986939,2018,"December 22, 2017",Arizona State Sun Devils,Pacific Tigers,"12-0, 8-0 Home","5-8, 2-4 Away",104,65,,,Final,PAC12,47,57,,31,34,,NCAAB,36-67,24-67,53.7,35.8,12-26,3-17,46.2,17.6,20-26,14-23,76.9,60.9,40,41,18,10,3,4,10,5,9,14,,,,,18,22,40,0,12,20,28,21,,,0,2,0,0
400988298,2018,"January 4, 2018",Colorado Buffaloes,Arizona State Sun Devils,"9-6, 1-2 Conf","12-2, 0-2 Conf",90,81,,,Final/OT,PAC12,29,45,16.0,34,40,7.0,NCAAB,29-63,27-76,46.0,35.5,10-26,9-34,38.5,26.5,22-32,18-24,68.8,75.0,48,41,16,11,3,5,6,2,14,7,,,,,20,27,9,12,11,13,37,28,,,0,0,0,0
400988311,2018,"January 11, 2018",Arizona State Sun Devils,Oregon Ducks,"13-3, 1-3 Conf","12-5, 2-2 Conf",72,76,,,Final,FS1,41,31,,41,35,,NCAAB,20-46,28-65,43.5,43.1,10-23,8-32,43.5,25.0,22-31,12-14,71.0,85.7,31,38,13,17,5,7,2,2,11,10,,,,,17,23,13,8,8,15,23,23,,,0,0,0,0
400988321,2018,"January 17, 2018",Stanford Cardinal,Arizona State Sun Devils,"11-8, 5-1 Conf","14-4, 2-4 Conf",86,77,,,Final,PAC12,37,49,,35,42,,NCAAB,32-63,26-61,50.8,42.6,8-19,8-21,42.1,38.1,14-25,17-25,56.0,68.0,44,30,21,14,3,5,5,4,13,8,,,,,17,21,15,1,13,7,31,23,,,0,0,0,0
400988334,2018,"January 25, 2018",Arizona State Sun Devils,Utah Utes,"15-5, 3-5 Conf","13-7, 5-4 Conf",77,80,,,Final/OT,PAC12,33,36,8.0,40,29,11.0,NCAAB,28-70,27-62,40.0,43.5,10-27,14-32,37.0,43.8,11-14,12-18,78.6,66.7,46,39,14,19,6,6,2,5,10,12,,,,,16,17,7,10,14,8,32,31,,,1,1,0,0
400988344,2018,"February 1, 2018",Washington Huskies,Arizona State Sun Devils,"16-6, 6-3 Conf","16-6, 4-6 Conf",68,64,,,Final,PAC12,37,31,,27,37,,NCAAB,24-61,24-54,39.3,44.4,5-17,5-19,29.4,26.3,15-18,11-17,83.3,64.7,37,32,13,14,10,6,4,3,13,15,,,,,21,18,13,2,12,8,25,24,,,1,1,0,0
400988357,2018,"February 8, 2018",Arizona State Sun Devils,USC Trojans,"18-6, 6-6 Conf","17-8, 8-4 Conf",80,78,,,Final,ESPN2,33,47,,37,41,,NCAAB,27-64,27-55,42.2,49.1,6-23,8-25,26.1,32.0,20-32,16-20,62.5,80.0,36,39,14,16,8,3,1,1,6,18,,,,,18,23,8,9,12,8,24,31,,,0,0,0,0
400988366,2018,"February 15, 2018",Arizona State Sun Devils,Arizona Wildcats,"19-7, 7-7 Conf","21-6, 11-3 Conf",70,77,,,Final,ESPN,38,32,,39,38,,NCAAB,28-66,25-52,42.4,48.1,7-25,6-18,28.0,33.3,7-12,21-27,58.3,77.8,28,44,9,13,13,10,3,5,14,20,,,,,23,17,7,18,12,14,16,30,,,0,0,0,0
400988384,2018,"February 24, 2018",Oregon State Beavers,Arizona State Sun Devils,"14-14, 6-10 Conf","19-9, 7-9 Conf",79,75,,,Final,ESPNU,36,43,,30,45,,NCAAB,28-53,24-55,52.8,43.6,5-18,9-25,27.8,36.0,18-25,18-21,72.0,85.7,31,31,19,9,13,6,2,1,16,16,,,,,23,25,15,8,12,14,19,17,,,1,1,0,0
400988393,2018,"March 3, 2018",Arizona State Sun Devils,Stanford Cardinal,"20-10, 8-10 Conf","17-14, 11-7 Conf",83,84,,,Final,,35,48,,40,44,,NCAAB,29-64,27-53,45.3,50.9,10-27,9-19,37.0,47.4,15-23,21-31,65.2,67.7,23,45,15,13,9,4,3,0,6,21,,,,,21,22,3,19,4,12,19,33,,,2,0,0,0
400988192,2018,"November 10, 2017",Arizona State Sun Devils,Idaho State Bengals,"1-0, 1-0 Home","0-1, 0-1 Away",94,74,,,Final,,51,43,,33,41,,NCAAB,34-65,26-59,52.3,44.1,9-30,9-24,30.0,37.5,17-26,13-22,65.4,59.1,41,29,22,17,3,6,5,2,11,14,,,,,18,20,27,4,12,8,29,21,,,0,0,0,0
400988215,2018,"November 17, 2017",Arizona State Sun Devils,Northern Arizona Lumberjacks,"3-0, 3-0 Home","0-3, 0-2 Away",97,62,,,Final,,54,43,,27,35,,NCAAB,33-63,19-60,52.4,31.7,11-26,7-29,42.3,24.1,20-28,17-22,71.4,77.3,35,42,24,12,12,4,5,5,11,24,,,,,20,26,37,0,8,15,27,27,,,1,0,0,0
400988227,2018,"November 23, 2017",Kansas State Wildcats,Arizona State Sun Devils,4-1,5-0,90,92,,,Final,FS1,44,46,,42,50,,NCAAB,34-59,27-50,57.6,54.0,15-32,9-18,46.9,50.0,7-9,29-44,77.8,65.9,27,29,16,13,5,6,2,0,16,12,,,,,32,18,9,8,11,15,16,14,,,0,0,0,0
400987051,2018,"December 2, 2017",Arizona State Sun Devils,San Francisco Dons,"7-0, 5-0 Home","3-3, 0-1 Away",75,57,,,Final,PAC12,40,35,,25,32,,NCAAB,23-50,18-63,46.0,28.6,4-13,11-40,30.8,27.5,25-36,10-14,69.4,71.4,46,34,10,12,6,6,4,4,14,14,,,,,16,30,21,3,13,14,33,20,,,0,0,0,0
400988262,2018,"December 10, 2017",Kansas Jayhawks,Arizona State Sun Devils,"7-2, 5-2 Home","9-0, 1-0 Away",85,95,,,Final,ESPN,40,45,,37,58,,NCAAB,32-67,33-65,47.8,50.8,14-38,14-28,36.8,50.0,7-9,15-20,77.8,75.0,36,33,19,17,6,9,5,3,16,10,,,,,16,13,13,14,10,8,26,25,,,0,0,0,0
400988275,2018,"December 19, 2017",Arizona State Sun Devils,Longwood Lancers,"11-0, 7-0 Home","3-9, 0-4 Away",95,61,,,Final,PAC12,35,60,,30,31,,NCAAB,31-69,21-57,44.9,36.8,10-34,9-21,29.4,42.9,23-36,10-20,63.9,50.0,45,40,22,11,13,7,3,3,11,26,,,,,16,25,37,3,15,11,30,29,,,0,0,0,0
400988292,2018,"December 30, 2017",Arizona Wildcats,Arizona State Sun Devils,"11-3, 1-0 Conf","12-1, 0-1 Conf",84,78,,,Final,PAC12,39,45,,37,41,,NCAAB,28-62,25-66,45.2,37.9,8-20,8-25,40.0,32.0,20-23,20-25,87.0,80.0,40,39,18,11,4,7,4,3,16,13,,,,,20,20,12,5,13,16,27,23,,,1,1,0,0
400988306,2018,"January 7, 2018",Utah Utes,Arizona State Sun Devils,"10-5, 2-2 Conf","13-2, 1-2 Conf",77,80,,,Final,ESPNU,36,41,,35,45,,NCAAB,20-41,26-58,48.8,44.8,8-24,8-24,33.3,33.3,29-36,20-23,80.6,87.0,25,32,13,11,6,5,4,2,12,13,,,,,19,31,3,11,3,12,22,20,,,0,0,0,0
400988316,2018,"January 13, 2018",Arizona State Sun Devils,Oregon State Beavers,"14-3, 2-3 Conf","10-7, 2-3 Conf",77,75,,,Final,PAC12,33,44,,34,41,,NCAAB,27-57,29-65,47.4,44.6,7-16,11-26,43.8,42.3,16-22,6-9,72.7,66.7,33,37,15,21,8,5,5,1,12,14,,,,,13,21,5,13,10,14,23,23,,,0,0,0,0
400988330,2018,"January 20, 2018",California Golden Bears,Arizona State Sun Devils,"7-13, 1-6 Conf","15-4, 3-4 Conf",73,81,,,Final,PAC12,30,43,,41,40,,NCAAB,28-60,29-61,46.7,47.5,5-16,10-21,31.3,47.6,12-22,13-16,54.5,81.3,30,39,13,15,3,2,7,5,9,12,,,,,20,19,3,16,7,9,23,30,,,1,1,0,0
400988338,2018,"January 27, 2018",Arizona State Sun Devils,Colorado Buffaloes,"16-5, 4-5 Conf","12-10, 4-6 Conf",80,66,,,Final,ESPNU,32,48,,32,34,,NCAAB,27-64,26-61,42.2,42.6,10-31,6-20,32.3,30.0,16-22,8-9,72.7,88.9,34,44,15,17,8,4,7,8,7,17,,,,,16,22,16,4,7,9,27,35,,,1,1,0,0
400988351,2018,"February 4, 2018",Washington State Cougars,Arizona State Sun Devils,"9-13, 1-9 Conf","17-6, 5-6 Conf",78,88,,,Final,ESPNU,38,40,,40,48,,NCAAB,28-57,34-61,49.1,55.7,12-31,8-24,38.7,33.3,10-11,12-13,90.9,92.3,27,30,14,13,6,10,3,2,18,12,,,,,14,14,8,11,8,8,19,22,,,0,1,0,0
400988358,2018,"February 10, 2018",Arizona State Sun Devils,UCLA Bruins,"19-6, 7-6 Conf","17-8, 8-5 Conf",88,79,,,Final,PAC12,40,48,,32,47,,NCAAB,27-64,30-66,42.2,45.5,9-29,8-26,31.0,30.8,25-28,11-12,89.3,91.7,39,35,13,11,9,2,4,4,7,12,,,,,17,23,16,5,8,6,31,29,,,0,0,0,0
400988379,2018,"February 22, 2018",Oregon Ducks,Arizona State Sun Devils,"18-10, 8-7 Conf","19-8, 7-8 Conf",75,68,,,Final,FS1,43,32,,40,28,,NCAAB,26-63,22-57,41.3,38.6,4-16,8-24,25.0,33.3,19-23,16-18,82.6,88.9,40,32,14,11,5,1,4,8,7,8,,,,,20,23,13,7,12,5,28,27,,,0,0,0,0
400988387,2018,"March 1, 2018",Arizona State Sun Devils,California Golden Bears,"20-9, 8-9 Conf","8-22, 2-15 Conf",84,53,,,Final,ESPNU,39,45,,29,24,,NCAAB,26-51,21-61,51.0,34.4,4-15,0-18,26.7,0.0,28-37,11-17,75.7,64.7,37,35,12,6,7,9,7,3,11,17,,,,,19,22,33,0,6,14,31,21,,,0,0,0,0
401025854,2018,"March 14, 2018",Arizona State Sun Devils,Syracuse Orange,20-12,21-13,56,60,,,Final,truTV,28,28,,30,30,,NCAAB,21-52,20-49,40.4,40.8,11-32,7-20,34.4,35.0,3-10,13-23,30.0,56.5,34,37,19,10,5,5,3,2,11,11,,,,,19,16,7,5,8,10,26,27,,,0,0,0,0
401020043,2018,"March 7, 2018",Colorado Buffaloes,Arizona State Sun Devils,"17-14, 8-10 Conf","20-11, 8-10 Conf",97,85,,,Final,PAC12,41,56,,37,48,,NCAAB,33-62,30-63,53.2,47.6,13-21,13-32,61.9,40.6,18-20,12-21,90.0,57.1,39,26,20,15,1,3,2,4,7,3,,,,,19,18,13,6,8,7,31,19,,,1,2,0,0
