ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
310760252,2011,"March 17, 2011",BYU Cougars,Wofford Terriers,31-4,21-13,74,66,,,Final,CBS,33,41,,29,37,,NCAAB
310780252,2011,"March 19, 2011",BYU Cougars,Gonzaga Bulldogs,32-4,25-10,89,67,,,Final,CBS,45,44,,38,29,,NCAAB
303210252,2011,"November 17, 2010",BYU Cougars,Utah State Aggies,"2-0, 2-0 Home","1-1, 0-1 Away",78,72,,,Final,TMTN,33,45,,33,39,,NCAAB
303270252,2011,"November 23, 2010",BYU Cougars,Mississippi Valley State Delta Devils,"4-0, 4-0 Home","0-4, 0-4 Away",86,36,,,Final,,37,49,,10,26,,NCAAB
303310252,2011,"November 27, 2010",BYU Cougars,Saint Mary's Gaels,6-0,6-1,74,73,,,Final,FOXCS,43,31,,40,33,,NCAAB
303380252,2011,"December 4, 2010",BYU Cougars,Hawai'i Rainbow Warriors,8-0,5-2,78,57,,,Final,,43,35,,27,30,,NCAAB
303450252,2011,"December 11, 2010",BYU Cougars,Arizona Wildcats,10-0,8-2,87,65,,,Final,,44,43,,25,40,,NCAAB
303552692,2011,"December 21, 2010",Weber State Wildcats,BYU Cougars,"6-5, 3-1 Home","11-1, 2-0 Away",66,72,,,Final,,23,43,,35,37,,NCAAB
303642084,2011,"December 30, 2010",Buffalo Bulls,BYU Cougars,"7-4, 5-1 Home","13-1, 3-0 Away",82,90,,,Final,,37,45,,39,51,,NCAAB
310052439,2011,"January 5, 2011",UNLV Rebels,BYU Cougars,"12-3, 0-1 Conf","15-1, 1-0 Conf",77,89,,,Final,,35,42,,38,51,,NCAAB
310110254,2011,"January 11, 2011",Utah Utes,BYU Cougars,"7-10, 0-3 Conf","17-1, 3-0 Conf",79,104,,,Final,TMTN,42,37,,53,51,,NCAAB
310220036,2011,"January 22, 2011",Colorado State Rams,BYU Cougars,"13-6, 3-2 Conf","19-1, 5-0 Conf",85,94,,,Final,TMTN,40,45,,55,39,,NCAAB
310290167,2011,"January 29, 2011",New Mexico Lobos,BYU Cougars,"15-7, 3-4 Conf","20-2, 6-1 Conf",86,77,,,Final,,32,54,,36,41,,NCAAB
310360252,2011,"February 5, 2011",BYU Cougars,UNLV Rebels,"22-2, 8-1 Conf","17-6, 5-4 Conf",78,64,,,Final,,38,40,,27,37,,NCAAB
310430252,2011,"February 12, 2011",BYU Cougars,Utah Utes,"24-2, 10-1 Conf","10-15, 3-8 Conf",72,59,,,Final,TMTN,31,41,,30,29,,NCAAB
310540252,2011,"February 23, 2011",BYU Cougars,Colorado State Rams,"26-2, 12-1 Conf","18-9, 8-5 Conf",84,76,,,Final,TMTN,44,40,,36,40,,NCAAB
310610252,2011,"March 2, 2011",BYU Cougars,New Mexico Lobos,"27-3, 13-2 Conf","19-11, 7-8 Conf",64,82,,,Final,TMTN,26,38,,42,40,,NCAAB
310690252,2011,"March 10, 2011",BYU Cougars,TCU Horned Frogs,"29-3, 14-2 Conf","11-22, 1-15 Conf",64,58,,,Final,TMTN,33,31,,34,24,,NCAAB
303160252,2011,"November 12, 2010",BYU Cougars,Fresno State Bulldogs,"1-0, 1-0 Home","0-1, 0-1 Away",83,56,,,Final,,45,38,,26,30,,NCAAB
303240252,2011,"November 20, 2010",BYU Cougars,Chicago State Cougars,"3-0, 3-0 Home","1-3, 0-3 Away",109,60,,,Final,,60,49,,29,31,,NCAAB
303300058,2011,"November 26, 2010",BYU Cougars,South Florida Bulls,5-0,3-3,77,75,,,Final/2OT,FOXCS,23,38,16,28,33,14,NCAAB
303350156,2011,"December 1, 2010",Creighton Bluejays,BYU Cougars,"4-3, 4-1 Home","7-0, 1-0 Away",65,77,,,Final,,28,37,,34,43,,NCAAB
303420261,2011,"December 8, 2010",Vermont Catamounts,BYU Cougars,6-2,9-0,58,86,,,Final,,25,33,,38,48,,NCAAB
303520026,2011,"December 18, 2010",UCLA Bruins,BYU Cougars,6-4,10-1,86,79,,,Final,,43,43,,37,42,,NCAAB
303570252,2011,"December 23, 2010",BYU Cougars,UTEP Miners,"12-1, 5-0 Home","9-3, 1-1 Away",89,68,,,Final,,39,50,,26,42,,NCAAB
310010252,2011,"January 1, 2011",BYU Cougars,Fresno Pacific Sunbirds,"14-1, 6-0 Home",,93,57,,,Final,,44,49,,24,33,,NCAAB
310080252,2011,"January 8, 2011",BYU Cougars,Air Force Falcons,"16-1, 2-0 Conf","10-5, 1-1 Conf",76,66,,,Final,TMTN,37,39,,30,36,,NCAAB
310180252,2011,"January 18, 2011",BYU Cougars,TCU Horned Frogs,"18-1, 4-0 Conf","10-10, 1-4 Conf",83,67,,,Final,TMTN,47,36,,30,37,,NCAAB
310260252,2011,"January 26, 2011",BYU Cougars,San Diego State Aztecs,"20-1, 6-0 Conf","20-1, 5-1 Conf",71,58,,,Final,,30,41,,31,27,,NCAAB
310332751,2011,"February 2, 2011",Wyoming Cowboys,BYU Cougars,"8-14, 1-7 Conf","21-2, 7-1 Conf",62,69,,,Final,TMTN,28,34,,28,41,,NCAAB
310402005,2011,"February 9, 2011",Air Force Falcons,BYU Cougars,"13-10, 4-6 Conf","23-2, 9-1 Conf",52,90,,,Final,TMTN,25,27,,36,54,,NCAAB
310502628,2011,"February 19, 2011",TCU Horned Frogs,BYU Cougars,"10-18, 1-12 Conf","25-2, 11-1 Conf",56,79,,,Final,TMTN,28,28,,45,34,,NCAAB
310570021,2011,"February 26, 2011",San Diego State Aztecs,BYU Cougars,"27-2, 12-2 Conf","27-2, 13-1 Conf",67,80,,,Final,CBS,35,32,,38,42,,NCAAB
310640252,2011,"March 5, 2011",BYU Cougars,Wyoming Cowboys,"28-3, 14-2 Conf","10-20, 3-13 Conf",102,78,,,Final,TMTN,38,64,,35,43,,NCAAB
310700252,2011,"March 11, 2011",BYU Cougars,New Mexico Lobos,"30-3, 14-2 Conf","21-12, 8-8 Conf",87,76,,,Final,,47,40,,42,34,,NCAAB
310830057,2011,"March 24, 2011",Florida Gators,BYU Cougars,29-7,32-5,83,74,,,Final/OT,TBS,36,32,15,36,32,6,NCAAB
310710252,2011,"March 12, 2011",BYU Cougars,San Diego State Aztecs,"30-4, 14-2 Conf","32-2, 14-2 Conf",54,72,,,Final,,31,23,,43,29,,NCAAB
