ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
323182655,2013,"November 13, 2012",Tulane Green Wave,Bethune-Cookman Wildcats,"1-1, 1-0 Home","0-2, 0-2 Away",65,55,,,Final,,37,28,,31,24,,NCAAB
323252309,2013,"November 20, 2012",Kent State Golden Flashes,Bethune-Cookman Wildcats,"3-2, 2-2 Home","1-3, 1-3 Away",69,68,,,Final,,28,41,,33,35,,NCAAB
323292674,2013,"November 24, 2012",Valparaiso Crusaders,Bethune-Cookman Wildcats,"5-1, 4-0 Home","2-4, 1-4 Away",77,64,,,Final,,44,33,,28,36,,NCAAB
323360050,2013,"December 1, 2012",Florida A&M Rattlers,Bethune-Cookman Wildcats,"2-6, 1-0 Conf","2-6, 0-1 Conf",75,67,,,Final,,42,33,,36,31,,NCAAB
323432065,2013,"December 8, 2012",Bethune-Cookman Wildcats,Webber International Warriors,"4-6, 2-1 Home",,85,72,,,Final,,39,46,,36,36,,NCAAB
323500221,2013,"December 15, 2012",Pittsburgh Panthers,Bethune-Cookman Wildcats,"10-1, 8-0 Home","4-8, 1-7 Away",89,40,,,Final,ESPN3,44,45,,24,16,,NCAAB
323562065,2013,"December 21, 2012",Bethune-Cookman Wildcats,Youngstown State Penguins,"5-9, 3-2 Home","7-5, 4-2 Away",51,67,,,Final,,21,30,,33,34,,NCAAB
330072229,2013,"January 7, 2013",Florida International Panthers,Bethune-Cookman Wildcats,"7-7, 4-2 Home","5-11, 1-9 Away",74,72,,,Final,,35,39,,32,40,,NCAAB
330142065,2013,"January 14, 2013",Bethune-Cookman Wildcats,North Carolina Central Eagles,"6-12, 1-2 Conf","10-7, 3-0 Conf",66,75,,,Final,,32,34,,28,47,,NCAAB
330212542,2013,"January 21, 2013",Savannah St Tigers,Bethune-Cookman Wildcats,"10-9, 4-1 Conf","7-13, 2-3 Conf",43,40,,,Final,ESPNU,21,22,,12,28,,NCAAB
330282065,2013,"January 28, 2013",Bethune-Cookman Wildcats,Maryland-Eastern Shore Hawks,"8-14, 3-4 Conf","1-15, 1-4 Conf",58,57,,,Final,,30,28,,31,26,,NCAAB
330402448,2013,"February 9, 2013",North Carolina A&T Aggies,Bethune-Cookman Wildcats,"12-12, 5-4 Conf","9-15, 4-5 Conf",65,55,,,Final,,28,37,,25,30,,NCAAB
330492065,2013,"February 18, 2013",Bethune-Cookman Wildcats,Howard Bison,"10-16, 5-6 Conf","6-21, 3-10 Conf",64,50,,,Final,,33,31,,21,29,,NCAAB
330562065,2013,"February 25, 2013",Bethune-Cookman Wildcats,Savannah St Tigers,"12-16, 7-6 Conf","17-11, 10-3 Conf",72,58,,,Final,,28,44,,26,32,,NCAAB
330632261,2013,"March 4, 2013",Hampton Pirates,Bethune-Cookman Wildcats,"14-15, 11-4 Conf","12-18, 7-8 Conf",75,66,,,Final,,32,43,,38,28,,NCAAB
330712065,2013,"March 12, 2013",Bethune-Cookman Wildcats,Coppin State Eagles,"13-19, 7-9 Conf","8-24, 5-11 Conf",89,78,,,Final,,32,57,,33,45,,NCAAB
323140179,2013,"November 9, 2012",St. Bonaventure Bonnies,Bethune-Cookman Wildcats,"1-0, 1-0 Home","0-1, 0-1 Away",65,55,,,Final,,29,36,,25,30,,NCAAB
323202443,2013,,,,,,,,,,,,,,,,,,NCAAB
323282065,2013,"November 23, 2012",Bethune-Cookman Wildcats,Omaha Mavericks,2-3,1-5,93,81,,,Final,,43,50,,36,45,,NCAAB
323322065,2013,"November 27, 2012",Bethune-Cookman Wildcats,North Florida Ospreys,"2-5, 0-1 Home","2-4, 1-4 Away",65,71,,,Final,,26,39,,32,39,,NCAAB
323382065,2013,"December 3, 2012",Bethune-Cookman Wildcats,Stetson Hatters,"3-6, 1-1 Home","2-4, 0-3 Away",86,63,,,Final,,46,40,,23,40,,NCAAB
323472116,2013,"December 12, 2012",UCF Knights,Bethune-Cookman Wildcats,"5-2, 4-1 Home","4-7, 1-6 Away",72,62,,,Final,,38,34,,28,34,,NCAAB
323522065,2013,"December 17, 2012",Bethune-Cookman Wildcats,Johnson University (FL) Suns,"5-8, 3-1 Home",,102,51,,,Final,,48,54,,17,34,,NCAAB
330050099,2013,"January 5, 2013",LSU Tigers,Bethune-Cookman Wildcats,"9-2, 8-0 Home","5-10, 1-8 Away",79,63,,,Final,,38,41,,30,33,,NCAAB
330122065,2013,"January 12, 2013",Bethune-Cookman Wildcats,North Carolina A&T Aggies,"6-11, 1-1 Conf","7-10, 0-2 Conf",72,60,,,Final,,39,33,,35,25,,NCAAB
330192569,2013,,,,,,,,,,,,,,,,,,NCAAB
330262065,2013,"January 26, 2013",Bethune-Cookman Wildcats,Delaware State Hornets,"7-14, 2-4 Conf","8-10, 3-1 Conf",52,68,,,Final,,17,35,,33,35,,NCAAB
330332065,2013,"February 2, 2013",Bethune-Cookman Wildcats,Florida A&M Rattlers,"9-14, 4-4 Conf","6-16, 3-5 Conf",67,65,,,Final/OT,,20,37,10,31,26,8,NCAAB
330422428,2013,"February 11, 2013",North Carolina Central Eagles,Bethune-Cookman Wildcats,"17-7, 10-0 Conf","9-16, 4-6 Conf",81,75,,,Final,,41,40,,36,39,,NCAAB
330542065,2013,"February 23, 2013",Bethune-Cookman Wildcats,South Carolina State Bulldogs,"11-16, 6-6 Conf","5-20, 1-11 Conf",85,75,,,Final,,42,43,,28,47,,NCAAB
330612450,2013,"March 2, 2013",Norfolk State Spartans,Bethune-Cookman Wildcats,"19-10, 14-0 Conf","12-17, 7-7 Conf",62,61,,,Final,,27,35,,22,39,,NCAAB
330662154,2013,"March 7, 2013",Coppin State Eagles,Bethune-Cookman Wildcats,"8-23, 5-11 Conf","12-19, 7-9 Conf",69,61,,,Final,,32,37,,25,36,,NCAAB
330722450,2013,"March 13, 2013",Norfolk State Spartans,Bethune-Cookman Wildcats,"21-11, 16-0 Conf","14-19, 7-9 Conf",68,70,,,Final/OT,,33,30,5,23,40,7,NCAAB
330742415,2013,"March 15, 2013",Morgan State Bears,Bethune-Cookman Wildcats,"17-14, 10-6 Conf","14-20, 7-9 Conf",82,71,,,Final,,39,43,,31,40,,NCAAB
