ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
310762086,2011,"March 17, 2011",Butler Bulldogs,Old Dominion Monarchs,24-9,27-7,60,58,,,Final,truTV,27,33,,29,29,,NCAAB
310780221,2011,"March 19, 2011",Pittsburgh Panthers,Butler Bulldogs,28-6,25-9,70,71,,,Final,TBS,30,40,,38,33,,NCAAB
310830275,2011,"March 24, 2011",Wisconsin Badgers,Butler Bulldogs,25-9,26-9,54,61,,,Final,TBS,24,30,,33,28,,NCAAB
310850057,2011,"March 26, 2011",Florida Gators,Butler Bulldogs,29-8,27-9,71,74,,,Final/OT,CBS,33,27,11,32,28,14,NCAAB
310922086,2011,"April 2, 2011",Butler Bulldogs,VCU Rams,28-9,28-12,70,62,,,Final,CBS,34,36,,28,34,,NCAAB
303200097,2011,"November 16, 2010",Louisville Cardinals,Butler Bulldogs,"1-0, 1-0 Home","1-1, 0-1 Away",88,73,,,Final,ESPN,41,47,,23,50,,NCAAB
303272561,2011,"November 23, 2010",Siena Saints,Butler Bulldogs,"1-3, 0-2 Home","3-1, 1-1 Away",57,70,,,Final,,29,28,,37,33,,NCAAB
303352350,2011,"December 1, 2010",Loyola Chicago Ramblers,Butler Bulldogs,"7-1, 0-1 Conf","4-2, 1-0 Conf",63,65,,,Final,,28,35,,38,27,,NCAAB
303432752,2011,"December 9, 2010",Xavier Musketeers,Butler Bulldogs,"6-2, 4-0 Home","4-4, 2-2 Away",51,49,,,Final,ESPN,32,19,,24,25,,NCAAB
303522086,2011,"December 18, 2010",Butler Bulldogs,Stanford Cardinal,"6-4, 4-1 Home","6-3, 0-1 Away",83,50,,,Final,CBS,41,42,,22,28,,NCAAB
303570052,2011,"December 23, 2010",Florida State Seminoles,Butler Bulldogs,10-3,8-4,64,67,,,Final,ESPN2,19,45,,21,46,,NCAAB
310012086,2011,"January 1, 2011",Butler Bulldogs,Valparaiso Crusaders,"10-4, 2-0 Conf","10-5, 2-1 Conf",76,59,,,Final,,36,40,,25,34,,NCAAB
310072086,2011,"January 7, 2011",Butler Bulldogs,Cleveland State Vikings,"11-5, 3-1 Conf","15-2, 4-1 Conf",79,56,,,Final,ESPNU,42,37,,23,33,,NCAAB
310142174,2011,"January 14, 2011",Detroit Mercy Titans,Butler Bulldogs,"10-8, 4-2 Conf","13-5, 5-1 Conf",64,87,,,Final,ESPNU,20,44,,42,45,,NCAAB
310212086,2011,"January 21, 2011",Butler Bulldogs,Green Bay Phoenix,"14-6, 6-2 Conf","10-10, 4-4 Conf",81,75,,,Final,ESPNU,40,41,,32,43,,NCAAB
310292674,2011,"January 29, 2011",Valparaiso Crusaders,Butler Bulldogs,"16-6, 8-2 Conf","14-8, 6-4 Conf",85,79,,,Final/OT,,26,41,18,31,36,12,NCAAB
310360325,2011,"February 5, 2011",Cleveland State Vikings,Butler Bulldogs,"21-4, 10-3 Conf","15-9, 7-5 Conf",61,73,,,Final,ESPN2,29,32,,33,40,,NCAAB
310412086,2011,"February 10, 2011",Butler Bulldogs,Wright State Raiders,"17-9, 9-5 Conf","17-10, 10-5 Conf",71,63,,,Final,ESPNU,39,32,,34,29,,NCAAB
310462739,2011,"February 15, 2011",Green Bay Phoenix,Butler Bulldogs,"12-15, 6-9 Conf","19-9, 11-5 Conf",62,64,,,Final,ESPN3,28,34,,34,30,,NCAAB
310572086,2011,"February 26, 2011",Butler Bulldogs,Loyola Chicago Ramblers,"21-9, 13-5 Conf","16-14, 7-11 Conf",63,56,,,Final,,32,31,,26,30,,NCAAB
303172086,2011,"November 13, 2010",Butler Bulldogs,Marian Knights,"1-0, 1-0 Home",,83,54,,,Final,,42,41,,28,26,,NCAAB
303242086,2011,"November 20, 2010",Butler Bulldogs,Ball State Cardinals,"2-1, 2-0 Home","2-1, 0-1 Away",88,55,,,Final,,38,50,,20,35,,NCAAB
303312086,2011,"November 27, 2010",Butler Bulldogs,Evansville Purple Aces,"3-2, 2-1 Home","3-2, 1-2 Away",68,71,,,Final/OT,,36,25,7,29,32,10,NCAAB
303380150,2011,"December 4, 2010",Duke Blue Devils,Butler Bulldogs,8-0,4-3,82,70,,,Final,ESPN,33,49,,33,37,,NCAAB
303452086,2011,"December 11, 2010",Butler Bulldogs,Mississippi Valley State Delta Devils,"5-4, 3-1 Home","1-6, 0-5 Away",91,71,,,Final,,48,43,,25,46,,NCAAB
303562086,2011,"December 22, 2010",Butler Bulldogs,Utah Utes,7-4,7-4,74,62,,,Final,ESPNU,40,34,,27,35,,NCAAB
303592086,2011,"December 25, 2010",Butler Bulldogs,Washington State Cougars,9-4,10-2,84,68,,,Final,ESPN2,40,44,,38,30,,NCAAB
310030270,2011,"January 3, 2011",Milwaukee Panthers,Butler Bulldogs,"8-8, 3-2 Conf","10-5, 2-1 Conf",76,52,,,Final,ESPN3,37,39,,29,23,,NCAAB
310092086,2011,"January 9, 2011",Butler Bulldogs,Youngstown State Penguins,"12-5, 4-1 Conf","6-9, 1-5 Conf",84,79,,,Final,,41,43,,37,42,,NCAAB
310162750,2011,"January 16, 2011",Wright State Raiders,Butler Bulldogs,"12-7, 5-2 Conf","13-6, 5-2 Conf",69,64,,,Final,,34,35,,34,30,,NCAAB
310232086,2011,"January 23, 2011",Butler Bulldogs,Milwaukee Panthers,"14-7, 6-3 Conf","10-11, 5-5 Conf",80,86,,,Final/OT,,37,35,8,32,40,14,NCAAB
310342754,2011,"February 3, 2011",Youngstown St Penguins,Butler Bulldogs,"8-14, 2-10 Conf","14-9, 6-5 Conf",62,60,,,Final,,25,37,,22,38,,NCAAB
310382086,2011,"February 7, 2011",Butler Bulldogs,UIC Flames,"16-9, 8-5 Conf","6-19, 1-12 Conf",72,65,,,Final,,34,38,,33,32,,NCAAB
310432086,2011,"February 12, 2011",Butler Bulldogs,Detroit Mercy Titans,"18-9, 10-5 Conf","14-14, 8-8 Conf",66,51,,,Final,ESPN2,29,37,,34,17,,NCAAB
310500082,2011,"February 19, 2011",UIC Flames,Butler Bulldogs,"7-22, 2-15 Conf","20-9, 12-5 Conf",52,79,,,Final,,27,25,,40,39,,NCAAB
310642086,2011,"March 5, 2011",Butler Bulldogs,Cleveland State Vikings,"22-9, 13-5 Conf","26-8, 13-5 Conf",76,68,,,Final,ESPNU,41,35,,35,33,,NCAAB
310940041,2011,"April 4, 2011",UConn Huskies,Butler Bulldogs,32-9,28-10,53,41,,,Final,CBS,19,34,,22,19,,NCAAB
310670270,2011,"March 8, 2011",Milwaukee Panthers,Butler Bulldogs,"19-13, 13-5 Conf","23-9, 13-5 Conf",44,59,,,Final,ESPN,20,24,,33,26,,NCAAB
