ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
303200025,2011,"November 16, 2010",California Golden Bears,CSU Northridge Matadors,"1-0, 1-0 Home","0-2, 0-2 Away",80,63,,,Final,,36,44,,37,26,,NCAAB
303292463,2011,"November 25, 2010",CSU Northridge Matadors,Virginia Tech Hokies,1-3,3-1,56,72,,,Final,ESPNU,18,38,,38,34,,NCAAB
303322463,2011,"November 28, 2010",CSU Northridge Matadors,Tulsa Golden Hurricane,2-4,4-2,63,80,,,Final,ESPNU,30,33,,41,39,,NCAAB
303382172,2011,"December 4, 2010",Denver Pioneers,CSU Northridge Matadors,"2-6, 2-2 Home","2-6, 0-4 Away",66,63,,,Final,,24,42,,27,36,,NCAAB
303522934,2011,"December 18, 2010",CSU Bakersfield Roadrunners,CSU Northridge Matadors,"7-5, 5-2 Home","3-7, 0-5 Away",70,69,,,Final,,37,33,,32,37,,NCAAB
303622463,2011,"December 28, 2010",CSU Northridge Matadors,Pacific Tigers,"3-9, 0-1 Conf","8-5, 1-0 Conf",64,74,,,Final,,32,32,,27,47,,NCAAB
310050299,2011,"January 5, 2011",Long Beach State 49ers,CSU Northridge Matadors,"8-8, 3-0 Conf","4-10, 1-2 Conf",85,71,,,Final,,45,40,,35,36,,NCAAB
310132463,2011,"January 13, 2011",CSU Northridge Matadors,UC Riverside Highlanders,"4-12, 1-3 Conf","7-8, 2-1 Conf",61,70,,,Final,,26,35,,22,48,,NCAAB
310192463,2011,"January 19, 2011",CSU Northridge Matadors,Seattle Redhawks,"5-13, 4-4 Home","8-12, 2-9 Away",68,75,,,Final,,29,39,,39,36,,NCAAB
310270300,2011,"January 27, 2011",UC Irvine Anteaters,CSU Northridge Matadors,"10-11, 3-4 Conf","7-13, 4-3 Conf",62,66,,,Final,,36,26,,41,25,,NCAAB
310340027,2011,"February 3, 2011",UC Riverside Highlanders,CSU Northridge Matadors,"8-12, 3-5 Conf","8-14, 5-4 Conf",73,70,,,Final,,41,32,,37,33,,NCAAB
310412239,2011,"February 10, 2011",CSU Fullerton Titans,CSU Northridge Matadors,"9-16, 5-7 Conf","10-14, 7-4 Conf",68,70,,,Final,,34,34,,24,46,,NCAAB
310470013,2011,"February 16, 2011",Cal Poly Mustangs,CSU Northridge Matadors,"14-11, 9-4 Conf","10-16, 7-6 Conf",72,49,,,Final,,42,30,,18,31,,NCAAB
310552463,2011,"February 24, 2011",CSU Northridge Matadors,UC Santa Barbara Gauchos,"12-16, 8-6 Conf","14-12, 7-7 Conf",68,60,,,Final,,28,40,,37,23,,NCAAB
310640279,2011,"March 5, 2011",Pacific Tigers,CSU Northridge Matadors,"16-14, 8-8 Conf","13-17, 9-7 Conf",54,58,,,Final,,27,27,,27,31,,NCAAB
303160026,2011,"November 12, 2010",UCLA Bruins,CSU Northridge Matadors,"1-0, 1-0 Home","0-1, 0-1 Away",83,50,,,Final,,46,37,,24,26,,NCAAB
303242463,2011,"November 20, 2010",CSU Northridge Matadors,Vanguard Lions,"1-2, 1-0 Home",,109,66,,,Final,,56,53,,33,33,,NCAAB
303302463,2011,"November 26, 2010",CSU Northridge Matadors,DePaul Blue Demons,2-3,1-3,88,66,,,Final,ESPNU,45,43,,21,45,,NCAAB
303362005,2011,"December 2, 2010",Air Force Falcons,CSU Northridge Matadors,"4-1, 3-1 Home","2-5, 0-3 Away",72,63,,,Final,,30,42,,30,33,,NCAAB
303412463,2011,"December 7, 2010",CSU Northridge Matadors,Cal Lutheran Kingsmen,"3-6, 2-0 Home",,75,52,,,Final,,31,44,,31,21,,NCAAB
303562463,2011,"December 22, 2010",CSU Northridge Matadors,Santa Clara Broncos,"3-8, 2-1 Home","7-6, 2-2 Away",79,99,,,Final,,36,43,,39,60,,NCAAB
303642463,2011,"December 30, 2010",CSU Northridge Matadors,UC Davis Aggies,"4-9, 1-1 Conf","6-8, 1-1 Conf",87,81,,,Final,,42,45,,41,40,,NCAAB
310082547,2011,"January 8, 2011",Seattle Redhawks,CSU Northridge Matadors,"7-11, 5-2 Home","4-11, 0-7 Away",65,58,,,Final,,32,33,,28,30,,NCAAB
310152463,2011,"January 15, 2011",CSU Northridge Matadors,CSU Fullerton Titans,"5-12, 2-3 Conf","6-12, 2-4 Conf",89,65,,,Final,,41,48,,25,40,,NCAAB
310222463,2011,"January 22, 2011",CSU Northridge Matadors,Cal Poly Mustangs,"6-13, 3-3 Conf","8-10, 4-3 Conf",80,65,,,Final,,29,51,,31,34,,NCAAB
310292540,2011,"January 29, 2011",UC Santa Barbara Gauchos,CSU Northridge Matadors,"11-8, 4-4 Conf","8-13, 5-3 Conf",69,70,,,Final,,32,37,,32,38,,NCAAB
310362463,2011,"February 5, 2011",CSU Northridge Matadors,UC Irvine Anteaters,"9-14, 6-4 Conf","10-14, 3-7 Conf",91,83,,,Final,,49,42,,40,43,,NCAAB
310432463,2011,"February 12, 2011",CSU Northridge Matadors,Long Beach State 49ers,"10-15, 7-5 Conf","15-10, 10-2 Conf",62,79,,,Final,,27,35,,32,47,,NCAAB
310500331,2011,"February 19, 2011",Eastern Washington Eagles,CSU Northridge Matadors,"8-18, 7-5 Home","11-16, 4-9 Away",59,68,,,Final,,30,29,,26,42,,NCAAB
310620302,2011,"March 3, 2011",UC Davis Aggies,CSU Northridge Matadors,"10-19, 4-11 Conf","12-17, 8-7 Conf",78,66,,,Final,,40,38,,33,33,,NCAAB
310692463,2011,"March 10, 2011",CSU Northridge Matadors,CSU Fullerton Titans,"14-17, 9-7 Conf","11-20, 7-9 Conf",75,54,,,Final,,43,32,,28,26,,NCAAB
310702463,2011,"March 11, 2011",CSU Northridge Matadors,UC Santa Barbara Gauchos,"14-18, 9-7 Conf","17-13, 8-8 Conf",63,83,,,Final,ESPNU,19,44,,40,43,,NCAAB
