ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
283240151,2009,"November 19, 2008",East Carolina Pirates,Campbell Fighting Camels,"3-0, 3-0 Home","1-1, 0-1 Away",86,65,,,Final,,40,46,,26,39,,NCAAB
283292097,2009,"November 24, 2008",Campbell Fighting Camels,VMI Keydets,"2-2, 2-1 Home","4-1, 2-1 Away",92,97,,,Final,,37,55,,50,47,,NCAAB
283442678,2009,"December 9, 2008",VMI Keydets,Campbell Fighting Camels,"7-2, 4-0 Home","2-4, 0-3 Away",88,76,,,Final,,39,49,,38,38,,NCAAB
283500056,2009,"December 15, 2008",Stetson Hatters,Campbell Fighting Camels,"4-3, 2-0 Conf","2-6, 0-2 Conf",63,56,,,Final,,35,28,,18,38,,NCAAB
283642130,2009,"December 29, 2008",Campbell Fighting Camels,Chicago State Cougars,3-7,7-6,89,98,,,Final,,44,45,,51,47,,NCAAB
290032097,2009,"January 3, 2009",Campbell Fighting Camels,Mercer Bears,"4-8, 1-2 Conf","7-7, 1-2 Conf",72,57,,,Final,,30,42,,26,31,,NCAAB
290080288,2009,"January 8, 2009",Lipscomb Bisons,Campbell Fighting Camels,"6-8, 2-3 Conf","6-8, 3-2 Conf",68,69,,,Final,,33,35,,40,29,,NCAAB
290172097,2009,"January 17, 2009",Campbell Fighting Camels,Jacksonville Dolphins,"6-10, 3-4 Conf","8-8, 7-1 Conf",63,76,,,Final,,26,37,,40,36,,NCAAB
290222193,2009,"January 22, 2009",East Tennessee State Buccaneers,Campbell Fighting Camels,"14-5, 8-1 Conf","7-11, 4-5 Conf",79,60,,,Final,,40,39,,32,28,,NCAAB
290282097,2009,"January 28, 2009",Campbell Fighting Camels,Florida Gulf Coast Eagles,"8-12, 5-6 Conf","9-14, 5-7 Conf",78,62,,,Final,,34,44,,29,33,,NCAAB
290332382,2009,"February 2, 2009",Mercer Bears,Campbell Fighting Camels,"11-11, 5-6 Conf","10-12, 7-6 Conf",73,92,,,Final,,28,45,,51,41,,NCAAB
290402097,2009,"February 9, 2009",Campbell Fighting Camels,Lipscomb Bisons,"10-14, 7-8 Conf","9-13, 5-8 Conf",67,83,,,Final,,25,42,,38,45,,NCAAB
290470294,2009,"February 16, 2009",Jacksonville Dolphins,Campbell Fighting Camels,"14-11, 12-4 Conf","11-15, 8-9 Conf",83,89,,,Final,,27,56,,46,43,,NCAAB
290542097,2009,"February 23, 2009",Campbell Fighting Camels,East Tennessee State Buccaneers,"13-15, 10-9 Conf","18-10, 12-6 Conf",68,62,,,Final,,30,38,,38,24,,NCAAB
283202097,2009,"November 15, 2008",Campbell Fighting Camels,Chowan Hawks,"1-0, 1-0 Home",,79,64,,,Final,,41,38,,29,35,,NCAAB
283272097,2009,"November 22, 2008",Campbell Fighting Camels,UNC Asheville Bulldogs,"2-1, 2-0 Home","3-1, 0-1 Away",94,57,,,Final,,42,52,,28,29,,NCAAB
283342026,2009,"November 29, 2008",Appalachian State Mountaineers,Campbell Fighting Camels,"2-2, 2-0 Home","2-3, 0-2 Away",79,66,,,Final,,38,41,,24,42,,NCAAB
283480526,2009,"December 13, 2008",Florida Gulf Coast Eagles,Campbell Fighting Camels,"3-6, 1-1 Conf","2-5, 0-1 Conf",72,68,,,Final,,38,34,,34,34,,NCAAB
283552097,2009,"December 20, 2008",Campbell Fighting Camels,NC Pembroke Braves,"3-6, 3-1 Home",,91,67,,,Final,,45,46,,32,35,,NCAAB
283652097,2009,"December 30, 2008",Pennsylvania Quakers,Campbell Fighting Camels,2-7,3-8,78,67,,,Final,,36,42,,29,38,,NCAAB
290052097,2009,"January 5, 2009",Campbell Fighting Camels,Kennesaw State Owls,"5-8, 2-2 Conf","5-7, 1-2 Conf",77,67,,,Final,,31,46,,23,44,,NCAAB
290102057,2009,"January 10, 2009",Belmont Bruins,Campbell Fighting Camels,"8-6, 4-1 Conf","6-9, 3-3 Conf",87,54,,,Final,,38,49,,22,32,,NCAAB
290192097,2009,"January 19, 2009",Campbell Fighting Camels,North Florida Ospreys,"7-10, 4-4 Conf","3-15, 1-7 Conf",61,57,,,Final,,25,36,,26,31,,NCAAB
290242908,2009,"January 24, 2009",South Carolina Upstate Spartans,Campbell Fighting Camels,"4-14, 3-6 Conf","7-12, 4-6 Conf",73,65,,,Final,,44,29,,27,38,,NCAAB
290310338,2009,"January 31, 2009",Kennesaw State Owls,Campbell Fighting Camels,"6-14, 2-9 Conf","9-12, 6-6 Conf",44,87,,,Final,,25,19,,40,47,,NCAAB
290372097,2009,"February 6, 2009",Campbell Fighting Camels,Belmont Bruins,"10-13, 7-7 Conf","14-8, 10-3 Conf",84,87,,,Final,,37,47,,22,65,,NCAAB
290452454,2009,"February 14, 2009",North Florida Ospreys,Campbell Fighting Camels,"6-20, 4-12 Conf","10-15, 7-9 Conf",61,59,,,Final,,25,36,,29,30,,NCAAB
290522097,2009,"February 21, 2009",Campbell Fighting Camels,South Carolina Upstate Spartans,"12-15, 9-9 Conf","7-20, 6-12 Conf",51,47,,,Final,,24,27,,28,19,,NCAAB
290582097,2009,"February 27, 2009",Campbell Fighting Camels,Stetson Hatters,"14-15, 11-9 Conf","13-16, 9-11 Conf",73,56,,,Final,,35,38,,20,36,,NCAAB
290640288,2009,"March 5, 2009",Lipscomb Bisons,Campbell Fighting Camels,"17-13, 12-8 Conf","14-16, 11-9 Conf",82,52,,,Final,,35,47,,25,27,,NCAAB
