ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
323182429,2013,"November 13, 2012",Charlotte 49ers,Georgia Southern Eagles,"2-0, 2-0 Home","0-2, 0-2 Away",66,53,,,Final,,37,29,,34,19,,NCAAB
323270326,2013,"November 22, 2012",Charlotte 49ers,Texas State Bobcats,4-0,2-2,73,64,,,Final,CCSN,29,44,,28,36,,NCAAB
323292429,2013,"November 25, 2012",Charlotte 49ers,Northeastern Huskies,6-0,4-2,67,59,,,Final,CCSN,30,37,,19,40,,NCAAB
323402166,2013,"December 5, 2012",Davidson Wildcats,Charlotte 49ers,"4-4, 1-1 Home","8-0, 1-0 Away",69,73,,,Final,ESPN3,33,36,,29,44,,NCAAB
323492390,2013,"December 14, 2012",Miami Hurricanes,Charlotte 49ers,"6-1, 5-0 Home","9-1, 1-1 Away",77,46,,,Final,ESPN3,33,44,,22,24,,NCAAB
323542429,2013,"December 19, 2012",Charlotte 49ers,Radford Highlanders,"11-1, 6-0 Home","5-6, 1-4 Away",68,52,,,Final,,38,30,,19,33,,NCAAB
330022429,2013,"January 2, 2013",Charlotte 49ers,UNC Asheville Bulldogs,"12-2, 7-0 Home","6-8, 2-4 Away",71,63,,,Final/OT,,25,31,15,25,31,7,NCAAB
330120227,2013,"January 12, 2013",Rhode Island Rams,Charlotte 49ers,"5-10, 0-2 Conf","14-2, 2-0 Conf",50,58,,,Final,,31,19,,30,28,,NCAAB
330190257,2013,"January 19, 2013",Richmond Spiders,Charlotte 49ers,"12-7, 2-2 Conf","15-3, 3-1 Conf",81,61,,,Final,,38,43,,28,33,,NCAAB
330260045,2013,"January 26, 2013",George Washington Colonials,Charlotte 49ers,"10-9, 4-2 Conf","16-4, 4-2 Conf",82,54,,,Final,,35,47,,27,27,,NCAAB
330370218,2013,"February 6, 2013",Temple Owls,Charlotte 49ers,"15-7, 4-4 Conf","17-5, 5-3 Conf",89,88,,,Final,,41,48,,41,47,,NCAAB
330442086,2013,"February 13, 2013",Butler Bulldogs,Charlotte 49ers,"20-5, 7-3 Conf","18-6, 6-4 Conf",67,71,,,Final,,27,40,,29,42,,NCAAB
330552429,2013,"February 24, 2013",Charlotte 49ers,Temple Owls,"18-8, 6-6 Conf","19-8, 8-5 Conf",51,71,,,Final,,24,27,,39,32,,NCAAB
330610179,2013,"March 2, 2013",St. Bonaventure Bonnies,Charlotte 49ers,"14-13, 7-7 Conf","18-10, 6-8 Conf",104,83,,,Final,,53,51,,24,59,,NCAAB
330682603,2013,"March 9, 2013",Charlotte 49ers,Saint Joseph's Hawks,"20-10, 8-8 Conf","17-12, 8-8 Conf",52,40,,,Final,,18,34,,19,21,,NCAAB
323142429,2013,"November 9, 2012",Charlotte 49ers,Charleston Southern Buccaneers,"1-0, 1-0 Home","0-1, 0-1 Away",68,58,,,Final,,24,44,,23,35,,NCAAB
323222429,2013,"November 17, 2012",Charlotte 49ers,Lamar Cardinals,"3-0, 3-0 Home","0-3, 0-2 Away",70,49,,,Final,,39,31,,22,27,,NCAAB
323282429,2013,"November 23, 2012",Charlotte 49ers,Oral Roberts Golden Eagles,5-0,3-2,72,58,,,Final,CCSN,32,40,,23,35,,NCAAB
323362429,2013,"December 1, 2012",Charlotte 49ers,East Carolina Pirates,"7-0, 4-0 Home","5-1, 1-1 Away",76,64,,,Final,,37,39,,26,38,,NCAAB
323432429,2013,"December 8, 2012",Charlotte 49ers,Central Michigan Chippewas,"9-0, 5-0 Home","4-4, 0-2 Away",78,66,,,Final,,31,47,,27,39,,NCAAB
