ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
253260236,2006,,,,,,,,,,,,,,,,,,NCAAB
253332393,2006,"November 29, 2005",Middle Tennessee Blue Raiders,Chattanooga Mocs,"2-1, 2-0 Home","0-4, 0-3 Away",81,71,,,Final,,38,43,,30,41,,NCAAB
253370249,2006,"December 3, 2005",North Texas Mean Green,Chattanooga Mocs,"2-2, 2-0 Home","1-5, 0-4 Away",83,76,,,Final,,35,48,,42,34,,NCAAB
253440236,2006,,,,,,,,,,,,,,,,,,NCAAB
253530107,2006,"December 19, 2005",Holy Cross Crusaders,Chattanooga Mocs,"5-4, 4-1 Home","4-6, 0-5 Away",82,65,,,Final,,36,46,,35,30,,NCAAB
253550236,2006,,,,,,,,,,,,,,,,,,NCAAB
253640236,2006,,,,,,,,,,,,,,,,,,NCAAB
260070236,2006,,,,,,,,,,,,,,,,,,NCAAB
260142717,2006,,,,,,,,,,,,,,,,,,NCAAB
260210236,2006,,,,,,,,,,,,,,,,,,NCAAB
260280232,2006,"January 28, 2006",Charleston Cougars,Chattanooga Mocs,"12-7, 5-3 Conf","12-10, 3-4 Conf",67,53,,,Final,,34,33,,31,22,,NCAAB
260350236,2006,,,,,,,,,,,,,,,,,,NCAAB
260422430,2006,"February 11, 2006",UNC Greensboro Spartans,Chattanooga Mocs,"11-14, 4-7 Conf","15-11, 6-5 Conf",67,76,,,Final,,31,36,,31,45,,NCAAB
260510236,2006,,,,,,,,,,,,,,,,,,NCAAB
260620232,2006,"March 3, 2006",Charleston Cougars,Chattanooga Mocs,"17-11, 9-6 Conf","18-12, 8-6 Conf",63,65,,,Final,,33,30,,43,22,,NCAAB
253230344,2006,"November 19, 2005",Mississippi State Bulldogs,Chattanooga Mocs,"1-0, 1-0 Home","0-1, 0-1 Away",64,48,,,Final,,32,32,,26,22,,NCAAB
253300135,2006,"November 26, 2005",Minnesota Golden Gophers,Chattanooga Mocs,"2-0, 2-0 Home","0-3, 0-2 Away",67,46,,,Final,,32,35,,22,24,,NCAAB
253350236,2006,,,,,,,,,,,,,,,,,,NCAAB
253400236,2006,,,,,,,,,,,,,,,,,,NCAAB
253490236,2006,,,,,,,,,,,,,,,,,,NCAAB
253542503,2006,"December 20, 2005",PR Mayaguez Bulldogs,Chattanooga Mocs,"0-3, 0-2 Home","5-6, 1-5 Away",67,93,,,Final,,26,41,,53,40,,NCAAB
253630236,2006,,,,,,,,,,,,,,,,,,NCAAB
260030231,2006,"January 3, 2006",Furman Paladins,Chattanooga Mocs,"7-5, 1-0 Conf","8-7, 0-1 Conf",76,71,,,Final,,41,35,,39,32,,NCAAB
260090236,2006,,,,,,,,,,,,,,,,,,NCAAB
260162026,2006,"January 16, 2006",Appalachian State Mountaineers,Chattanooga Mocs,"7-10, 1-3 Conf","10-9, 2-3 Conf",57,73,,,Final,,32,25,,34,39,,NCAAB
260230236,2006,,,,,,,,,,,,,,,,,,NCAAB
260302643,2006,"January 30, 2006",The Citadel Bulldogs,Chattanooga Mocs,"6-15, 0-9 Conf","13-10, 4-4 Conf",64,74,,,Final/OT,,33,27,4,30,30,14,NCAAB
260370236,2006,,,,,,,,,,,,,,,,,,NCAAB
260442210,2006,"February 13, 2006",Elon Phoenix,Chattanooga Mocs,"13-12, 9-3 Conf","15-12, 6-6 Conf",69,61,,,Final,,34,35,,30,31,,NCAAB
260560236,2006,,,,,,,,,,,,,,,,,,NCAAB
260632026,2006,"March 4, 2006",Appalachian State Mountaineers,Chattanooga Mocs,"14-16, 6-8 Conf","19-12, 8-6 Conf",75,78,,,Final,,34,41,,36,42,,NCAAB
260642166,2006,"March 5, 2006",Davidson Wildcats,Chattanooga Mocs,"20-10, 10-5 Conf","19-13, 8-6 Conf",80,55,,,Final,,35,45,,20,35,,NCAAB
