ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
400915496,2017,"November 14, 2016",Colorado Buffaloes,Seattle Redhawks,"2-0, 2-0 Home","1-1, 0-1 Away",67,55,,,Final,PAC12,31,36,,31,24,,NCAAB
400915254,2017,"November 21, 2016",Colorado Buffaloes,Notre Dame Fighting Irish,3-1,4-0,83,89,,,Final,ESPN2,35,48,,50,39,,NCAAB
400915530,2017,"November 27, 2016",Colorado Buffaloes,Wofford Terriers,"5-1, 4-0 Home","1-5, 0-2 Away",75,60,,,Final,PAC12,31,44,,30,30,,NCAAB
400915551,2017,"December 3, 2016",Portland Pilots,Colorado Buffaloes,"4-3, 2-1 Home","6-2, 1-0 Away",63,76,,,Final,,30,33,,28,48,,NCAAB
400915561,2017,"December 10, 2016",BYU Cougars,Colorado Buffaloes,"7-3, 5-1 Home","7-3, 1-1 Away",79,71,,,Final,ESPN2,40,39,,38,33,,NCAAB
400915580,2017,"December 19, 2016",Air Force Falcons,Colorado Buffaloes,"6-6, 6-2 Home","9-3, 2-1 Away",68,75,,,Final,CBSSN,21,47,,27,48,,NCAAB
400915602,2017,"January 1, 2017",Utah Utes,Colorado Buffaloes,"10-3, 1-0 Conf","10-4, 0-1 Conf",76,60,,,Final,ESPNU,36,40,,29,31,,NCAAB
400915615,2017,"January 7, 2017",Arizona Wildcats,Colorado Buffaloes,"15-2, 4-0 Conf","10-6, 0-3 Conf",82,73,,,Final,PAC12,39,43,,27,46,,NCAAB
400915627,2017,"January 15, 2017",Colorado Buffaloes,USC Trojans,"10-8, 0-5 Conf","16-3, 3-3 Conf",68,71,,,Final,ESPNU,35,33,,34,37,,NCAAB
400915634,2017,"January 21, 2017",Washington State Cougars,Colorado Buffaloes,"10-9, 3-4 Conf","10-10, 0-7 Conf",91,89,,,Final/OT,PAC12,39,44,8,35,48,6,NCAAB
400915646,2017,"January 28, 2017",Colorado Buffaloes,Oregon Ducks,"12-10, 2-7 Conf","19-3, 8-1 Conf",74,65,,,Final,PAC12,35,39,,34,31,,NCAAB
400915661,2017,"February 5, 2017",California Golden Bears,Colorado Buffaloes,"17-6, 8-3 Conf","13-11, 3-8 Conf",77,66,,,Final,ESPNU,41,36,,26,40,,NCAAB
400915673,2017,"February 12, 2017",Colorado Buffaloes,Washington State Cougars,"15-11, 5-8 Conf","11-14, 4-9 Conf",81,49,,,Final,ESPNU,37,44,,24,25,,NCAAB
400915679,2017,"February 18, 2017",Oregon Ducks,Colorado Buffaloes,"24-4, 13-2 Conf","16-12, 6-9 Conf",101,73,,,Final,FOX,45,56,,32,41,,NCAAB
400915696,2017,"March 2, 2017",Colorado Buffaloes,Stanford Cardinal,"17-13, 7-10 Conf","14-15, 6-11 Conf",91,72,,,Final,ESPN2,41,50,,35,37,,NCAAB
400945499,2017,"March 8, 2017",Colorado Buffaloes,Washington State Cougars,"19-13, 8-10 Conf","13-18, 6-12 Conf",73,63,,,Final,PAC12,27,46,,41,22,,NCAAB
400915482,2017,"November 11, 2016",Colorado Buffaloes,Sacramento State Hornets,"1-0, 1-0 Home","0-1, 0-1 Away",90,53,,,Final,,42,48,,19,34,,NCAAB
400915505,2017,"November 17, 2016",Colorado Buffaloes,UL Monroe Warhawks,"3-0, 3-0 Home","1-2, 0-2 Away",89,70,,,Final,,48,41,,23,47,,NCAAB
400926735,2017,"November 22, 2016",Colorado Buffaloes,Texas Longhorns,4-1,3-2,68,54,,,Final,ESPNU,33,35,,24,30,,NCAAB
400915538,2017,"November 30, 2016",Colorado Buffaloes,Colorado State Rams,"5-2, 4-1 Home","6-1, 1-1 Away",58,72,,,Final,,27,31,,30,42,,NCAAB
400915555,2017,"December 7, 2016",Colorado Buffaloes,Xavier Musketeers,"7-2, 5-1 Home","7-2, 0-2 Away",68,66,,,Final,PAC12,28,40,,31,35,,NCAAB
400915571,2017,"December 17, 2016",Colorado Buffaloes,Fort Hays State Tigers,"8-3, 6-1 Home",,81,71,,,Final,PAC12,39,42,,22,49,,NCAAB
400915592,2017,"December 22, 2016",Colorado Buffaloes,Eastern Washington Eagles,"10-3, 7-1 Home","8-5, 1-5 Away",76,68,,,Final,PAC12,32,44,,35,33,,NCAAB
400915609,2017,"January 5, 2017",Arizona State Sun Devils,Colorado Buffaloes,"9-7, 2-1 Conf","10-5, 0-2 Conf",78,77,,,Final,PAC12,41,37,,37,40,,NCAAB
400915622,2017,"January 12, 2017",Colorado Buffaloes,UCLA Bruins,"10-7, 0-4 Conf","17-1, 4-1 Conf",89,104,,,Final,FS1,45,44,,51,53,,NCAAB
400915629,2017,"January 18, 2017",Washington Huskies,Colorado Buffaloes,"9-9, 2-4 Conf","10-9, 0-6 Conf",85,83,,,Final/OT,ESPNU,24,43,18,39,28,16,NCAAB
400915642,2017,"January 26, 2017",Colorado Buffaloes,Oregon State Beavers,"11-10, 1-7 Conf","4-17, 0-8 Conf",85,78,,,Final,FS1,41,44,,40,38,,NCAAB
400915655,2017,"February 2, 2017",Stanford Cardinal,Colorado Buffaloes,"11-11, 3-7 Conf","13-10, 3-7 Conf",74,81,,,Final,PAC12,31,43,,41,40,,NCAAB
400915664,2017,"February 9, 2017",Colorado Buffaloes,Washington Huskies,"14-11, 4-8 Conf","9-15, 2-10 Conf",81,66,,,Final,FS1,42,39,,31,35,,NCAAB
400915675,2017,"February 16, 2017",Oregon State Beavers,Colorado Buffaloes,"4-23, 0-14 Conf","16-11, 6-8 Conf",52,60,,,Final,PAC12,25,27,,24,36,,NCAAB
400915688,2017,"February 23, 2017",Colorado Buffaloes,Utah Utes,"16-13, 6-10 Conf","18-10, 9-7 Conf",81,86,,,Final,ESPNU,29,52,,37,49,,NCAAB
400915698,2017,"March 4, 2017",Colorado Buffaloes,California Golden Bears,"18-13, 8-10 Conf","19-11, 10-8 Conf",54,46,,,Final,PAC12,22,32,,25,21,,NCAAB
400946470,2017,"March 15, 2017",UCF Knights,Colorado Buffaloes,"22-11, 14-3 Home","19-15, 4-9 Away",79,74,,,Final,ESPN3,38,41,,34,40,,NCAAB
400945807,2017,"March 9, 2017",Arizona Wildcats,Colorado Buffaloes,"28-4, 16-2 Conf","19-14, 8-10 Conf",92,78,,,Final,PAC12,38,54,,37,41,,NCAAB
