ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
400546998,2014,"March 18, 2014",Valparaiso Crusaders,Columbia Lions,"18-16, 12-6 Home","20-12, 5-8 Away",56,58,,,Final,,30,26,,29,29,,NCAAB,21-54,20-46,38.9,43.5,5-15,7-20,33.3,35.0,9-13,11-12,69.2,91.7,30,30,10,14,5,2,4,3,6,9,,,,,11,13,,,13,9,17,21,,,0,0,0,0
400547636,2014,"March 22, 2014",Columbia Lions,Eastern Michigan Eagles,"21-12, 14-3 Home","22-15, 4-11 Away",69,56,,,Final,,28,41,,28,28,,NCAAB,22-44,21-52,50.0,40.4,10-21,5-15,47.6,33.3,15-18,9-12,83.3,75.0,34,22,18,7,5,8,1,4,12,8,,,,,14,15,,,8,7,26,15,,,0,0,0,0
400502494,2014,"November 12, 2013",Columbia Lions,Manhattan Jaspers,"1-1, 1-1 Home","2-0, 2-0 Away",70,71,,,Final,,35,35,,38,33,,NCAAB,22-46,19-39,47.8,48.7,4-15,10-12,26.7,83.3,22-35,23-40,62.9,57.5,31,33,10,10,7,4,4,5,11,16,,,,,30,27,,,9,9,22,24,,,0,0,0,0
400499266,2014,"November 21, 2013",North Texas Mean Green,Columbia Lions,2-2,2-2,66,70,,,Final,,29,37,,39,31,,NCAAB,24-66,24-51,36.4,47.1,5-16,12-22,31.3,54.5,13-18,10-14,72.2,71.4,34,36,6,12,11,5,4,1,7,16,,,,,14,13,,,13,6,21,30,,,0,0,0,0
400499787,2014,"November 23, 2013",Columbia Lions,Idaho Vandals,3-3,3-3,65,60,,,Final,,25,40,,21,39,,NCAAB,19-43,21-51,44.2,41.2,5-13,6-18,38.5,33.3,22-33,12-14,66.7,85.7,32,26,7,9,4,4,2,0,9,9,,,,,16,28,,,8,7,24,19,,,0,0,0,0
400505733,2014,"December 1, 2013",Elon Phoenix,Columbia Lions,"4-4, 4-3 Home","4-4, 0-3 Away",68,65,,,Final/OT,,29,28,11.0,24,33,8.0,NCAAB,25-56,23-55,44.6,41.8,6-13,9-22,46.2,40.9,12-18,10-16,66.7,62.5,34,38,8,8,4,5,7,1,12,17,,,,,15,21,,,5,8,29,30,,,0,0,0,0
400499573,2014,"December 7, 2013",Bucknell Bison,Columbia Lions,"5-4, 2-1 Home","5-5, 0-4 Away",57,52,,,Final,,22,35,,25,27,,NCAAB,17-43,18-46,39.5,39.1,4-10,3-16,40.0,18.8,19-24,13-18,79.2,72.2,29,31,10,10,4,1,2,5,9,10,,,,,17,18,,,4,5,25,26,,,0,0,0,0
400498794,2014,"December 21, 2013",Columbia Lions,Fairleigh Dickinson Knights,"7-5, 5-1 Home","3-10, 2-9 Away",82,59,,,Final,,42,40,,27,32,,NCAAB,23-46,18-50,50.0,36.0,10-23,2-11,43.5,18.2,26-34,21-28,76.5,75.0,35,25,17,5,5,6,7,3,11,11,,,,,17,25,,,10,9,25,16,,,0,0,0,0
400499598,2014,"December 30, 2013",Colgate Raiders,Columbia Lions,"6-5, 3-2 Home","8-6, 2-5 Away",70,76,,,Final/2OT,,32,30,8.0,31,31,14.0,NCAAB,27-61,26-63,44.3,41.3,5-14,8-27,35.7,29.6,11-13,16-22,84.6,72.7,41,36,8,12,2,6,2,4,9,4,,,,,18,13,,,10,10,31,26,,,0,0,0,0
400505735,2014,"January 8, 2014",Columbia Lions,Stony Brook Seawolves,"10-6, 7-1 Home","9-6, 3-3 Away",68,63,,,Final,,28,40,,27,36,,NCAAB,20-47,26-55,42.6,47.3,12-30,3-9,40.0,33.3,16-20,8-13,80.0,61.5,35,25,15,9,2,5,4,0,16,10,,,,,14,16,,,12,8,23,17,,,0,0,0,0
