ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
313220222,2012,"November 18, 2011",Villanova Wildcats,Delaware Blue Hens,"3-0, 3-0 Home","0-2, 0-2 Away",79,69,,,Final,ESPN3,38,41,,24,45,,NCAAB,27-56,27-65,48.2,41.5,8-22,10-32,36.4,31.3,17-22,5-7,77.3,71.4,39,42,19,18,8,5,4,2,10,13,,,,,16,23,16,0,11,15,23,21,,,0,0,0,0
313300048,2012,"November 26, 2011",Delaware Blue Hens,Lafayette Leopards,"2-2, 2-0 Home","3-3, 1-2 Away",81,78,,,Final,,44,37,,30,48,,NCAAB,30-56,28-63,53.6,44.4,7-16,11-29,43.8,37.9,14-19,11-17,73.7,64.7,39,33,11,12,3,7,6,3,12,10,,,,,15,15,14,7,10,13,26,17,,,0,0,0,0
313370048,2012,"December 3, 2011",Delaware Blue Hens,Drexel Dragons,"3-3, 1-0 Conf","2-4, 0-1 Conf",71,60,,,Final,,30,41,,25,35,,NCAAB,23-50,20-54,46.0,37.0,5-14,3-15,35.7,20.0,20-28,17-24,71.4,70.8,44,33,4,5,1,2,3,4,9,5,,,,,24,21,13,3,9,7,31,25,,,0,0,0,0
313442169,2012,"December 10, 2011",Delaware State Hornets,Delaware Blue Hens,"4-5, 3-1 Home","4-4, 1-4 Away",42,58,,,Final,,18,24,,25,33,,NCAAB,15-58,21-49,25.9,42.9,4-13,6-18,30.8,33.3,8-11,10-11,72.7,90.9,44,42,4,9,8,2,4,5,11,14,,,,,13,16,1,24,13,5,24,32,,,1,0,0,0
313560047,2012,"December 22, 2011",Howard Bison,Delaware Blue Hens,"4-9, 4-1 Home","5-5, 1-5 Away",88,83,,,Final/OT,,39,31,18.0,36,34,13.0,NCAAB,27-70,29-66,38.6,43.9,10-22,5-17,45.5,29.4,24-30,20-37,80.0,54.1,53,54,13,11,5,3,4,6,11,15,,,,,28,22,7,10,19,19,28,30,,,0,1,0,0
320020350,2012,"January 2, 2012",UNC Wilmington Seahawks,Delaware Blue Hens,"5-7, 1-1 Conf","5-7, 1-1 Conf",80,75,,,Final,,40,40,,40,35,,NCAAB,25-61,23-60,41.0,38.3,4-15,7-19,26.7,36.8,26-30,22-30,86.7,73.3,44,38,9,9,1,3,2,3,5,5,,,,,20,23,5,0,13,12,30,23,,,0,0,0,0
320072729,2012,"January 7, 2012",William & Mary Tribe,Delaware Blue Hens,"3-13, 1-3 Conf","7-7, 3-1 Conf",64,75,,,Final,,29,35,,37,38,,NCAAB,23-57,24-51,40.4,47.1,6-22,5-18,27.3,27.8,12-22,22-28,54.5,78.6,30,42,10,8,7,4,2,2,6,10,,,,,19,17,1,13,9,9,20,30,,,0,0,0,0
320140048,2012,"January 14, 2012",Delaware Blue Hens,VCU Rams,"7-9, 3-3 Conf","13-5, 4-2 Conf",55,68,,,Final,,23,32,,30,38,,NCAAB,18-58,23-65,31.0,35.4,3-18,7-23,16.7,30.4,16-22,15-21,72.7,71.4,47,49,4,9,4,7,9,3,11,6,,,,,20,22,0,17,16,17,28,29,,,1,0,0,0
320210048,2012,"January 21, 2012",Delaware Blue Hens,Georgia State Panthers,"8-10, 4-4 Conf","13-6, 5-3 Conf",77,74,,,Final/2OT,,31,29,17.0,33,27,14.0,NCAAB,26-63,31-78,41.3,39.7,12-28,5-17,42.9,29.4,13-18,7-15,72.2,46.7,48,50,14,12,5,15,11,5,19,12,,,,,15,22,5,15,8,14,39,33,,,0,0,0,0
320250111,2012,"January 25, 2012",Northeastern Huskies,Delaware Blue Hens,"10-10, 6-4 Conf","9-11, 5-5 Conf",62,61,,,Final,,22,40,,22,39,,NCAAB,21-49,26-58,42.9,44.8,7-14,2-10,50.0,20.0,13-15,7-14,86.7,50.0,38,35,15,11,8,11,2,6,16,14,,,,,17,13,5,6,12,16,21,16,,,0,0,0,0
