ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
400839212,2016,"November 20, 2015",Pittsburgh Panthers,Detroit Mercy Titans,"2-0, 2-0 Home","1-1, 0-1 Away",95,79,,,Final,ESPN3,46,49,,41,38,,NCAAB,33-67,28-66,49.3,42.4,9-22,6-19,40.9,31.6,20-28,17-25,71.4,68.0,44,36,18,14,5,5,8,6,10,8,,,,,21,22,27,1,15,11,29,25,,,0,0,0,0
400843502,2016,"November 28, 2015",Oral Roberts Golden Eagles,Detroit Mercy Titans,"6-1, 3-0 Home","2-2, 0-2 Away",100,95,,,Final,,44,56,,40,55,,NCAAB,30-56,39-85,53.6,45.9,15-21,6-24,71.4,25.0,25-38,11-18,65.8,61.1,38,45,19,11,5,5,8,1,10,9,,,,,22,29,16,0,8,20,30,25,,,0,0,0,0
400817643,2016,"December 5, 2015",Detroit Mercy Titans,Northeastern Huskies,"3-3, 3-0 Home","6-2, 2-2 Away",76,73,,,Final,ESPN3,42,34,,37,36,,NCAAB,29-60,25-44,48.3,56.8,8-18,11-21,44.4,52.4,10-11,12-18,90.9,66.7,27,29,14,16,13,8,4,4,13,24,,,,,21,15,9,2,9,6,18,23,,,0,0,0,0
400817645,2016,"December 12, 2015",Detroit Mercy Titans,Bowling Green Falcons,"5-3, 5-0 Home","7-3, 2-1 Away",95,80,,,Final,ESPN3,47,48,,34,46,,NCAAB,32-68,26-59,47.1,44.1,13-30,7-16,43.3,43.8,18-26,21-35,69.2,60.0,41,37,16,16,7,8,5,4,9,10,,,,,22,21,18,1,14,11,27,26,,,1,0,0,0
400843500,2016,"December 22, 2015",Western Kentucky Hilltoppers,Detroit Mercy Titans,"7-5, 6-0 Home","6-4, 0-4 Away",79,74,,,Final,,35,44,,38,36,,NCAAB,26-52,27-63,50.0,42.9,5-12,11-24,41.7,45.8,22-29,9-12,75.9,75.0,39,31,15,12,3,5,6,2,15,13,,,,,16,25,9,8,8,8,31,23,,,0,0,0,0
400843503,2016,"January 2, 2016",Detroit Mercy Titans,Youngstown State Penguins,"7-5, 1-0 Conf","5-9, 0-1 Conf",96,87,,,Final,ESPN3,37,59,,43,44,,NCAAB,33-69,31-60,47.8,51.7,5-21,9-27,23.8,33.3,25-29,16-23,86.2,69.6,53,20,18,17,5,12,1,1,18,12,,,,,20,23,16,8,21,3,32,17,,,1,1,0,0
400843505,2016,"January 8, 2016",Detroit Mercy Titans,UIC Flames,"9-5, 3-0 Conf","2-11, 0-2 Conf",87,69,,,Final,ESPNU,47,40,,27,42,,NCAAB,26-57,21-52,45.6,40.4,4-18,2-11,22.2,18.2,31-39,25-37,79.5,67.6,39,35,10,6,7,8,3,6,14,18,,,,,28,31,24,0,13,12,26,23,,,0,0,0,0
400835641,2016,"January 16, 2016",Detroit Mercy Titans,Oakland Golden Grizzlies,"9-7, 3-2 Conf","11-7, 3-2 Conf",82,86,,,Final,ESPN3,40,42,,43,43,,NCAAB,33-63,32-67,52.4,47.8,3-9,6-23,33.3,26.1,13-22,16-23,59.1,69.6,34,39,13,12,7,4,4,4,14,14,,,,,22,24,8,11,12,16,22,23,,,0,0,0,0
400843507,2016,"January 23, 2016",Milwaukee Panthers,Detroit Mercy Titans,"14-6, 5-2 Conf","9-9, 3-4 Conf",83,80,,,Final,ESPN3,31,52,,37,43,,NCAAB,26-57,25-53,45.6,47.2,5-24,8-18,20.8,44.4,26-31,22-30,83.9,73.3,33,32,12,11,4,7,3,4,15,16,,,,,25,28,9,6,13,13,20,19,,,1,2,0,0
400843509,2016,"January 29, 2016",Detroit Mercy Titans,Northern Kentucky Norse,"9-11, 3-6 Conf","8-12, 4-5 Conf",83,91,,,Final,ESPN3,45,38,,44,47,,NCAAB,26-60,27-56,43.3,48.2,7-26,11-26,26.9,42.3,24-34,26-30,70.6,86.7,36,36,11,19,4,7,6,0,11,11,,,,,22,29,6,8,10,8,26,28,,,0,0,0,0
400843510,2016,"February 4, 2016",Cleveland State Vikings,Detroit Mercy Titans,"7-17, 2-9 Conf","11-11, 5-6 Conf",63,71,,,Final,ESPN3,31,32,,33,38,,NCAAB,25-59,24-49,42.4,49.0,3-20,10-21,15.0,47.6,10-17,13-25,58.8,52.0,27,39,14,14,4,6,4,4,11,18,,,,,22,23,2,14,7,9,20,30,,,0,1,0,0
400843512,2016,"February 11, 2016",Detroit Mercy Titans,Green Bay Phoenix,"12-12, 6-7 Conf","15-10, 7-5 Conf",85,86,,,Final,ESPN3,40,45,,46,40,,NCAAB,33-79,31-65,41.8,47.7,8-26,7-23,30.8,30.4,11-18,17-24,61.1,70.8,46,43,14,18,10,7,4,7,11,14,,,,,17,20,2,10,22,13,24,30,,,0,0,0,0
400843514,2016,"February 16, 2016",Northern Kentucky Norse,Detroit Mercy Titans,"9-17, 5-10 Conf","14-12, 8-7 Conf",68,74,,,Final,ESPN3,32,36,,38,36,,NCAAB,22-59,23-51,37.3,45.1,10-26,3-15,38.5,20.0,14-19,25-35,73.7,71.4,32,42,13,12,3,6,3,2,12,15,,,,,25,21,0,11,9,11,23,31,,,0,0,0,0
400843516,2016,"February 21, 2016",Valparaiso Crusaders,Detroit Mercy Titans,"24-5, 14-2 Conf","15-13, 9-8 Conf",90,74,,,Final,ESPN3,48,42,,37,37,,NCAAB,27-58,25-48,46.6,52.1,12-26,9-17,46.2,52.9,24-31,15-27,77.4,55.6,39,24,20,13,9,10,5,2,13,14,,,,,21,20,21,1,15,5,24,19,,,0,0,0,0
400868381,2016,"March 5, 2016",Detroit Mercy Titans,Youngstown State Penguins,"16-14, 9-9 Conf","11-21, 6-12 Conf",92,79,,,Final,ESPN3,47,45,,36,43,,NCAAB,33-69,26-56,47.8,46.4,7-20,8-20,35.0,40.0,19-21,19-27,90.5,70.4,42,27,17,17,6,7,4,2,15,13,,,,,22,15,,,17,7,25,20,,,0,0,0,0
400817641,2016,"November 16, 2015",Detroit Mercy Titans,Central State (OH) Marauders,"1-0, 1-0 Home",,88,65,,,Final,ESPN3,42,46,,23,42,,NCAAB,30-56,24-74,53.6,32.4,11-27,4-18,40.7,22.2,17-25,13-25,68.0,52.0,52,35,18,8,9,14,9,2,25,17,,,,,22,25,34,0,9,16,43,19,,,0,0,0,0
400817642,2016,"November 23, 2015",Detroit Mercy Titans,Michigan Dearborn Wolverines,"2-1, 2-0 Home",,122,70,,,Final,ESPN3,62,60,,34,36,,NCAAB,39-68,24-67,57.4,35.8,15-27,10-31,55.6,32.3,29-39,12-19,74.4,63.2,43,37,22,13,9,0,5,2,7,21,,,,,21,31,56,3,10,14,33,23,,,1,0,0,0
400830677,2016,"December 2, 2015",Vanderbilt Commodores,Detroit Mercy Titans,"6-1, 4-0 Home","2-3, 0-3 Away",102,52,,,Final,SECN+,47,55,,20,32,,NCAAB,35-61,16-70,57.4,22.9,12-26,11-27,46.2,40.7,20-30,9-12,66.7,75.0,53,34,18,4,7,6,11,1,12,15,,,,,14,22,52,2,11,13,42,21,,,0,0,0,0
400817644,2016,"December 9, 2015",Detroit Mercy Titans,Toledo Rockets,"4-3, 4-0 Home","6-3, 2-2 Away",75,72,,,Final,ESPN3,31,44,,34,38,,NCAAB,27-55,25-63,49.1,39.7,13-27,7-21,48.1,33.3,8-11,15-20,72.7,75.0,30,36,14,8,4,5,8,1,12,10,,,,,20,17,6,5,4,11,26,25,,,0,1,0,0
400817646,2016,"December 19, 2015",Detroit Mercy Titans,UCF Knights,"6-3, 6-0 Home","5-4, 1-3 Away",95,89,,,Final,ESPN3,45,50,,34,55,,NCAAB,30-58,29-59,51.7,49.2,12-25,7-21,48.0,33.3,23-36,24-31,63.9,77.4,37,29,14,11,10,8,4,3,18,15,,,,,26,25,14,0,10,6,27,23,,,0,0,0,0
400841939,2016,"December 28, 2015",Eastern Michigan Eagles,Detroit Mercy Titans,"8-4, 6-0 Home","6-5, 0-5 Away",88,73,,,Final,ESPN3,31,57,,33,40,,NCAAB,30-67,26-59,44.8,44.1,4-22,9-27,18.2,33.3,24-30,12-24,80.0,50.0,36,43,18,9,13,6,4,6,10,23,,,,,21,22,15,9,12,15,24,28,,,0,1,0,0
400843504,2016,"January 4, 2016",Detroit Mercy Titans,Cleveland State Vikings,"8-5, 2-0 Conf","5-10, 0-2 Conf",88,80,,,Final,ESPN3,42,46,,42,38,,NCAAB,27-59,29-58,45.8,50.0,6-17,7-16,35.3,43.8,28-42,15-23,66.7,65.2,37,34,14,7,7,6,6,2,11,17,,,,,24,30,12,5,12,9,25,25,,,0,0,0,0
