ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
293212181,2010,"November 17, 2009",Drake Bulldogs,Iowa State Cyclones,"0-2, 0-2 Home","3-0, 1-0 Away",70,90,,,Final,,32,38,,51,39,,NCAAB
293252006,2010,"November 21, 2009",Drake Bulldogs,Akron Zips,1-3,1-2,59,63,,,Final,,33,26,,27,36,,NCAAB
293322046,2010,"November 28, 2009",Austin Peay Governors,Drake Bulldogs,"2-4, 0-1 Home","2-4, 1-0 Away",72,78,,,Final,,29,43,,38,40,,NCAAB
293392181,2010,"December 5, 2009",Drake Bulldogs,North Dakota Fighting Hawks,"3-5, 1-3 Home","1-8, 0-2 Away",72,63,,,Final,,37,35,,27,36,,NCAAB
293462181,2010,"December 12, 2009",Drake Bulldogs,Binghamton Bearcats,"5-5, 3-3 Home","3-7, 0-5 Away",77,76,,,Final,,34,43,,25,51,,NCAAB
293562181,2010,"December 22, 2009",Drake Bulldogs,San Diego State Aztecs,"5-7, 3-4 Home","9-3, 4-3 Away",73,76,,,Final/OT,,31,35,7,36,30,10,NCAAB
300012724,2010,"January 1, 2010",Wichita State Shockers,Drake Bulldogs,"12-2, 1-1 Conf","5-9, 0-2 Conf",61,38,,,Final,,27,34,,20,18,,NCAAB
300060156,2010,"January 6, 2010",Creighton Bluejays,Drake Bulldogs,"7-8, 2-2 Conf","5-11, 0-4 Conf",73,69,,,Final,,38,35,,33,36,,NCAAB
300122181,2010,"January 12, 2010",Drake Bulldogs,Missouri State Bears,"7-11, 2-4 Conf","13-4, 3-3 Conf",88,77,,,Final,,51,37,,29,48,,NCAAB
300200339,2010,"January 20, 2010",Evansville Purple Aces,Drake Bulldogs,"6-12, 0-8 Conf","9-11, 4-4 Conf",65,72,,,Final,,33,32,,40,32,,NCAAB
300272460,2010,"January 27, 2010",Northern Iowa Panthers,Drake Bulldogs,"18-2, 9-1 Conf","10-12, 5-5 Conf",67,51,,,Final,,34,33,,24,27,,NCAAB
300330071,2010,"February 2, 2010",Bradley Braves,Drake Bulldogs,"11-11, 6-6 Conf","11-13, 6-6 Conf",67,65,,,Final,,42,25,,35,30,,NCAAB
300412181,2010,"February 10, 2010",Drake Bulldogs,Northern Iowa Panthers,"11-15, 6-8 Conf","22-2, 13-1 Conf",48,57,,,Final,,24,24,,28,29,,NCAAB
300472181,2010,"February 16, 2010",Drake Bulldogs,Southern Illinois Salukis,"12-16, 7-9 Conf","14-12, 6-10 Conf",79,72,,,Final,,30,49,,32,40,,NCAAB
300552623,2010,"February 24, 2010",Missouri State Bears,Drake Bulldogs,"19-10, 8-9 Conf","13-17, 7-10 Conf",75,59,,,Final,,33,42,,29,30,,NCAAB
300632181,2010,"March 4, 2010",Drake Bulldogs,Southern Illinois Salukis,"14-18, 7-11 Conf","15-15, 6-12 Conf",63,61,,,Final,,25,38,,27,34,,NCAAB
293182181,2010,"November 14, 2009",Drake Bulldogs,IUPUI Jaguars,"0-1, 0-1 Home","1-0, 1-0 Away",82,88,,,Final,,46,36,,41,47,,NCAAB
293242247,2010,"November 20, 2009",Georgia State Panthers,Drake Bulldogs,1-2,1-2,58,65,,,Final,,27,31,,35,30,,NCAAB
293262116,2010,"November 22, 2009",UCF Knights,Drake Bulldogs,4-1,1-4,59,50,,,Final,,29,30,,27,23,,NCAAB
293382181,2010,"December 4, 2009",Drake Bulldogs,SIU-Edwardsville Cougars,"2-5, 0-3 Home","1-6, 1-3 Away",58,60,,,Final,,31,27,,30,30,,NCAAB
293452181,2010,"December 11, 2009",Drake Bulldogs,South Dakota Coyotes,"4-5, 2-3 Home","5-4, 0-3 Away",96,81,,,Final,,50,46,,39,42,,NCAAB
293532294,2010,"December 19, 2009",Iowa Hawkeyes,Drake Bulldogs,"4-7, 4-3 Home","5-6, 1-1 Away",71,67,,,Final,,31,40,,32,35,,NCAAB
293632181,2010,"December 29, 2009",Drake Bulldogs,Bradley Braves,"5-8, 0-1 Conf","6-5, 1-0 Conf",59,67,,,Final,,28,31,,29,38,,NCAAB
300032181,2010,"January 3, 2010",Drake Bulldogs,Indiana State Sycamores,"5-10, 0-3 Conf","10-4, 2-1 Conf",46,60,,,Final,,26,20,,19,41,,NCAAB
300090079,2010,"January 9, 2010",Southern Illinois Salukis,Drake Bulldogs,"9-5, 2-3 Conf","6-11, 1-4 Conf",65,70,,,Final,,27,38,,27,43,,NCAAB
300172181,2010,"January 17, 2010",Drake Bulldogs,Illinois State Redbirds,"8-11, 3-4 Conf","13-5, 4-3 Conf",69,59,,,Final,,35,34,,15,44,,NCAAB
300232181,2010,"January 23, 2010",Drake Bulldogs,Wichita State Shockers,"10-11, 5-4 Conf","17-4, 6-3 Conf",78,64,,,Final,,36,42,,24,40,,NCAAB
300302181,2010,"January 30, 2010",Drake Bulldogs,Creighton Bluejays,"11-12, 6-5 Conf","11-11, 6-5 Conf",79,74,,,Final,,43,36,,35,39,,NCAAB
300372287,2010,"February 6, 2010",Illinois State Redbirds,Drake Bulldogs,"16-8, 7-6 Conf","11-14, 6-7 Conf",71,68,,,Final,,30,41,,35,33,,NCAAB
300440282,2010,"February 13, 2010",Indiana State Sycamores,Drake Bulldogs,"15-11, 7-8 Conf","11-16, 6-9 Conf",76,66,,,Final,,38,38,,28,38,,NCAAB
300512463,2010,"February 20, 2010",CSU Northridge Matadors,Drake Bulldogs,"10-17, 6-5 Home","13-16, 4-7 Away",80,90,,,Final,,39,41,,44,46,,NCAAB
300582181,2010,"February 27, 2010",Drake Bulldogs,Evansville Purple Aces,"13-18, 7-11 Conf","9-20, 3-15 Conf",53,56,,,Final,,19,34,,22,34,,NCAAB
300642460,2010,"March 5, 2010",Northern Iowa Panthers,Drake Bulldogs,"26-4, 15-3 Conf","14-19, 7-11 Conf",55,40,,,Final,,23,32,,24,16,,NCAAB
