ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
400915165,2016,"November 13, 2016",Penn State Nittany Lions,Duquesne Dukes,"1-1, 1-1 Home","1-1, 0-1 Away",82,74,,,Final,BTN,33,49,,29,45,,NCAAB,28-58,26-63,48.3,41.3,7-21,8-22,33.3,36.4,19-23,14-19,82.6,73.7,32,37,20,10,6,6,10,1,13,18,,,,,20,22,10,4,8,14,24,23,,,0,0,0,0
400917397,2016,"November 18, 2016",Duquesne Dukes,Canisius Golden Griffins,"2-2, 2-1 Home","1-2, 1-2 Away",77,78,,,Final,,41,36,,43,35,,NCAAB,26-54,27-54,48.1,50.0,4-17,13-26,23.5,50.0,21-32,11-12,65.6,91.7,33,28,11,24,3,3,3,2,13,17,,,,,14,25,8,12,10,5,23,23,,,0,0,0,0
400917695,2016,"November 23, 2016",Duquesne Dukes,UT Martin Skyhawks,"2-4, 2-2 Home","5-1, 2-1 Away",63,66,,,Final,,38,25,,28,38,,NCAAB,24-64,23-66,37.5,34.8,6-23,9-28,26.1,32.1,9-13,11-15,69.2,73.3,38,49,16,14,5,4,4,9,15,19,,,,,12,16,16,1,10,16,28,33,,,0,0,0,0
400918321,2016,"November 30, 2016",Duquesne Dukes,UMBC Retrievers,"3-5, 3-3 Home","5-1, 2-1 Away",72,81,,,Final,,43,29,,52,29,,NCAAB,30-61,28-59,49.2,47.5,9-26,12-23,34.6,52.2,3-3,13-17,100.0,76.5,35,30,17,18,2,4,4,4,17,10,,,,,22,11,7,16,11,10,24,20,,,0,0,0,0
400918322,2016,"December 06, 2016",Robert Morris Colonials,Duquesne Dukes,"3-7, 1-2 Home","4-6, 0-3 Away",64,60,,,Final,,37,27,,33,27,,NCAAB,25-60,23-60,41.7,38.3,5-14,5-17,35.7,29.4,9-19,9-19,47.4,47.4,42,45,9,12,7,6,7,7,13,16,,,,,23,19,9,5,12,15,30,30,,,0,0,0,0
400918324,2016,"December 19, 2016",Duquesne Dukes,Jackson State Tigers,"6-6, 5-3 Home","3-9, 1-6 Away",74,62,,,Final,,38,36,,26,36,,NCAAB,23-55,22-62,41.8,35.5,6-21,8-25,28.6,32.0,22-31,10-16,71.0,62.5,44,36,15,13,3,4,2,4,13,12,,,,,19,29,18,0,12,10,32,26,,,1,0,0,0
400918326,2016,"December 30, 2016",Fordham Rams,Duquesne Dukes,"6-8, 0-1 Conf","8-6, 1-0 Conf",72,75,,,Final,,28,44,,40,35,,NCAAB,26-67,27-69,38.8,39.1,8-18,6-28,44.4,21.4,12-18,15-22,66.7,68.2,32,59,19,12,8,3,6,5,3,13,,,,,21,18,2,12,6,20,26,39,,,0,0,0,0
400918328,2016,"January 07, 2017",La Salle Explorers,Duquesne Dukes,"8-5, 2-1 Conf","8-8, 1-2 Conf",88,81,,,Final,,36,52,,36,45,,NCAAB,27-63,31-71,42.9,43.7,10-25,14-30,40.0,46.7,24-25,5-8,96.0,62.5,42,37,13,12,7,5,4,4,13,12,,,,,11,20,13,9,16,16,26,21,,,0,0,1,0
400918306,2016,"January 14, 2017",Duquesne Dukes,Dayton Flyers,"9-9, 2-3 Conf","13-4, 4-1 Conf",57,76,,,Final,CBSSN,26,31,,39,37,,NCAAB,23-52,25-58,44.2,43.1,3-21,8-24,14.3,33.3,8-17,18-27,47.1,66.7,35,37,11,15,6,12,1,2,22,14,,,,,22,22,0,22,10,11,25,26,,,1,0,0,0
400918331,2016,"January 21, 2017",Duquesne Dukes,Rhode Island Rams,"9-11, 2-5 Conf","12-6, 4-2 Conf",69,90,,,Final,NBCSN,31,38,,41,49,,NCAAB,23-58,31-64,39.7,48.4,7-21,3-13,33.3,23.1,16-24,25-38,66.7,65.8,40,44,14,14,3,3,2,1,14,4,,,,,27,20,1,30,16,19,24,25,,,0,0,0,0
