ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
253260151,2005,"November 22, 2005",East Carolina Pirates,Gardner-Webb Bulldogs,"1-1, 1-1 Home","1-1, 1-1 Away",72,77,,,Final,,27,45,,35,42,,NCAAB
253342747,2005,"November 30, 2005",Wofford Terriers,East Carolina Pirates,"2-4, 2-1 Home","3-1, 1-0 Away",62,66,,,Final,,30,32,,29,37,,NCAAB
253400151,2005,"December 06, 2005",East Carolina Pirates,UNC Greensboro Spartans,"3-3, 2-2 Home","5-3, 3-2 Away",70,78,,,Final,,25,45,,25,53,,NCAAB
253522737,2005,"December 18, 2005",Winthrop Eagles,East Carolina Pirates,"5-2, 4-0 Home","3-5, 1-2 Away",70,48,,,Final,,34,36,,18,30,,NCAAB
253620151,2005,"December 28, 2005",East Carolina Pirates,Limestone Saints,"4-6, 3-3 Home",,87,54,,,Final,,47,40,,26,28,,NCAAB
260030154,2005,"January 03, 2006",Wake Forest Demon Deacons,East Carolina Pirates,"11-2, 8-2 Home","5-7, 1-4 Away",58,54,,,Final,,26,32,,25,29,,NCAAB
260110151,2005,"January 11, 2006",East Carolina Pirates,Memphis Tigers,"6-8, 0-1 Conf","14-2, 1-0 Conf",67,77,,,Final,,32,35,,32,45,,NCAAB
260180151,2005,"January 18, 2006",East Carolina Pirates,SMU Mustangs,"6-10, 0-3 Conf","8-7, 1-2 Conf",70,74,,,Final/OT,,26,36,8.0,35,27,12.0,NCAAB
260250151,2005,"January 25, 2006",East Carolina Pirates,UCF Knights,"6-12, 0-5 Conf","9-8, 3-1 Conf",59,64,,,Final,,30,29,,37,27,,NCAAB
260320276,2005,"February 01, 2006",Marshall Thundering Herd,East Carolina Pirates,"9-10, 2-4 Conf","7-13, 1-6 Conf",72,66,,,Final,,33,39,,28,38,,NCAAB
260420005,2005,"February 11, 2006",UAB Blazers,East Carolina Pirates,"17-5, 7-2 Conf","7-15, 1-8 Conf",72,64,,,Final,,28,44,,25,39,,NCAAB
260490151,2005,"February 18, 2006",East Carolina Pirates,Marshall Thundering Herd,"8-16, 2-9 Conf","10-14, 3-8 Conf",63,59,,,Final,,33,30,,21,38,,NCAAB
260560151,2005,"February 25, 2006",East Carolina Pirates,Tulane Green Wave,"8-18, 2-11 Conf","10-15, 5-7 Conf",53,66,,,Final,,30,23,,29,37,,NCAAB
253220151,2005,"November 18, 2005",East Carolina Pirates,North Carolina A&T Aggies,"1-0, 1-0 Home","0-1, 0-1 Away",86,75,,,Final,,35,51,,31,44,,NCAAB
253300151,2005,"November 26, 2005",East Carolina Pirates,Wofford Terriers,"2-1, 2-1 Home","2-3, 0-3 Away",70,68,,,Final/OT,,26,30,14.0,23,33,12.0,NCAAB
253370295,2005,"December 03, 2005",Old Dominion Monarchs,East Carolina Pirates,"5-1, 3-0 Home","3-2, 1-1 Away",79,53,,,Final,,37,42,,23,30,,NCAAB
253440151,2005,"December 10, 2005",East Carolina Pirates,Western Carolina Catamounts,"3-4, 2-3 Home","6-6, 1-4 Away",48,56,,,Final,,25,23,,30,26,,NCAAB
253552649,2005,"December 21, 2005",Toledo Rockets,East Carolina Pirates,"6-2, 5-1 Home","3-6, 1-3 Away",73,62,,,Final,,28,45,,32,30,,NCAAB
253650151,2005,"December 31, 2005",East Carolina Pirates,UNC Wilmington Seahawks,"5-6, 4-3 Home","9-4, 5-3 Away",82,69,,,Final,,46,36,,29,40,,NCAAB
260070151,2005,"January 07, 2006",East Carolina Pirates,St. Pauls College Tigers,"6-7, 5-3 Home",,80,74,,,Final,,33,47,,42,32,,NCAAB
260142638,2005,"January 14, 2006",UTEP Miners,East Carolina Pirates,"9-5, 2-0 Conf","6-9, 0-2 Conf",58,45,,,Final,,29,29,,18,27,,NCAAB
260212655,2005,"January 21, 2006",Tulane Green Wave,East Carolina Pirates,"5-11, 1-3 Conf","6-11, 0-4 Conf",60,52,,,Final,,28,32,,24,28,,NCAAB
260280151,2005,"January 28, 2006",East Carolina Pirates,Tulsa Golden Hurricane,"7-12, 1-5 Conf","7-11, 2-3 Conf",59,45,,,Final,,32,27,,19,26,,NCAAB
260350151,2005,"February 04, 2006",East Carolina Pirates,Houston Cougars,"7-14, 1-7 Conf","14-6, 5-3 Conf",60,64,,,Final/OT,,35,21,4.0,28,28,8.0,NCAAB
260460242,2005,"February 15, 2006",Rice Owls,East Carolina Pirates,"11-12, 5-5 Conf","7-16, 1-9 Conf",62,54,,,Final,,24,38,,26,28,,NCAAB
260532116,2005,"February 22, 2006",UCF Knights,East Carolina Pirates,"11-13, 5-6 Conf","8-17, 2-10 Conf",69,49,,,Final,,31,38,,21,28,,NCAAB
260632572,2005,"March 04, 2006",Southern Miss Golden Eagles,East Carolina Pirates,"9-20, 3-11 Conf","8-19, 2-12 Conf",74,56,,,Final,,28,46,,20,36,,NCAAB
260672116,2005,"March 08, 2006",UCF Knights,East Carolina Pirates,"14-14, 7-7 Conf","8-20, 2-12 Conf",65,52,,,Final,,42,23,,16,36,,NCAAB
