ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
313182097,2011,"November 14, 2011",Campbell Fighting Camels,East Carolina Pirates,"2-0, 2-0 Home","1-1, 0-1 Away",76,74,,,Final,,35,41,,45,29,,NCAAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313262026,2011,"November 22, 2011",Appalachian State Mountaineers,East Carolina Pirates,2-2,3-1,47,67,,,Final,,17,30,,30,37,,NCAAB,14-44,24-49,31.8,49.0,6-19,7-12,31.6,58.3,13-25,12-16,52.0,75.0,31,39,7,13,8,12,5,4,22,16,,,,,14,19,0,21,11,8,19,26,,,0,1,0,0
313330295,2011,"November 29, 2011",Old Dominion Monarchs,East Carolina Pirates,"4-3, 3-2 Home","4-2, 0-2 Away",63,58,,,Final,,25,38,,23,35,,NCAAB,22-52,19-57,42.3,33.3,4-18,8-27,22.2,29.6,15-29,12-22,51.7,54.5,44,41,14,10,5,11,4,5,16,12,,,,,20,24,6,7,14,14,28,24,,,0,0,0,0
313400151,2011,"December 06, 2011",East Carolina Pirates,Massachusetts Minutemen,"4-4, 3-2 Home","7-3, 2-1 Away",58,63,,,Final,,21,37,,40,23,,NCAAB,22-62,21-48,35.5,43.8,5-24,6-18,20.8,33.3,9-23,15-25,39.1,60.0,42,49,11,13,13,9,5,6,16,24,,,,,19,19,0,22,16,11,21,31,,,0,0,0,0
313530151,2011,"December 19, 2011",East Carolina Pirates,Coastal Carolina Chanticleers,"6-4, 4-2 Home","9-2, 2-2 Away",76,51,,,Final,,35,41,,23,28,,NCAAB,25-53,20-55,47.2,36.4,8-18,3-21,44.4,14.3,18-21,8-12,85.7,66.7,35,36,16,12,8,5,3,7,11,19,,,,,16,20,25,1,10,14,21,19,,,0,0,0,0
313630151,2011,"December 29, 2011",East Carolina Pirates,North Carolina Central Eagles,"8-4, 6-2 Home","7-7, 0-7 Away",84,76,,,Final,,39,45,,35,41,,NCAAB,21-52,27-56,40.4,48.2,10-24,8-21,41.7,38.1,32-39,14-24,82.1,58.3,46,33,16,19,5,8,4,5,13,12,,,,,19,27,19,4,16,9,27,20,,,0,1,0,0
320042572,2011,"January 04, 2012",Southern Miss Golden Eagles,East Carolina Pirates,"14-2, 1-0 Conf","9-5, 0-1 Conf",78,76,,,Final,,41,37,,37,39,,NCAAB,25-55,27-51,45.5,52.9,7-21,7-16,33.3,43.8,21-28,15-16,75.0,93.8,36,28,15,14,11,6,3,0,13,17,,,,,18,20,12,0,15,5,20,20,,,0,0,0,0
320140151,2011,"January 14, 2012",East Carolina Pirates,Tulsa Golden Hurricane,"9-7, 0-3 Conf","9-9, 2-2 Conf",67,70,,,Final,,33,34,,40,30,,NCAAB,23-60,22-48,38.3,45.8,7-26,8-12,26.9,66.7,14-17,18-25,82.4,72.0,37,36,13,17,8,4,8,3,8,13,,,,,20,15,0,18,13,9,21,25,,,0,0,0,0
320210248,2011,"January 21, 2012",Houston Cougars,East Carolina Pirates,"10-9, 2-4 Conf","9-9, 0-5 Conf",82,76,,,Final,,42,40,,31,45,,NCAAB,31-62,25-66,50.0,37.9,6-14,10-35,42.9,28.6,14-20,16-25,70.0,64.0,49,39,17,15,7,12,3,4,20,12,,,,,19,17,24,0,17,15,31,19,,,0,0,0,0
320280005,2011,"January 28, 2012",UAB Blazers,East Carolina Pirates,"7-13, 2-5 Conf","10-10, 1-6 Conf",66,73,,,Final,,26,40,,36,37,,NCAAB,27-54,25-42,50.0,59.5,9-18,7-12,50.0,58.3,3-3,16-21,100.0,76.2,24,25,17,16,3,5,1,3,11,10,,,,,20,13,3,16,9,5,15,18,,,0,0,0,0
320350151,2011,"February 04, 2012",East Carolina Pirates,Rice Owls,"12-10, 3-6 Conf","13-11, 4-5 Conf",82,68,,,Final,,39,43,,38,30,,NCAAB,29-60,22-49,48.3,44.9,10-23,7-15,43.5,46.7,14-22,17-27,63.6,63.0,40,32,18,15,6,8,4,7,18,16,,,,,18,22,16,6,11,5,28,24,,,2,2,0,0
320420276,2011,"February 11, 2012",Marshall Thundering Herd,East Carolina Pirates,"15-10, 6-5 Conf","12-12, 3-8 Conf",78,68,,,Final,,36,42,,35,33,,NCAAB,27-50,23-43,54.0,53.5,10-20,10-19,50.0,52.6,14-18,12-15,77.8,80.0,26,25,19,17,4,1,4,2,5,12,,,,,17,16,14,8,7,5,18,19,,,0,0,0,0
320530235,2011,"February 22, 2012",Memphis Tigers,East Carolina Pirates,"20-8, 10-3 Conf","12-14, 3-10 Conf",70,47,,,Final,,37,33,,32,15,,NCAAB,26-56,14-49,46.4,28.6,2-10,7-18,20.0,38.9,16-25,12-16,64.0,75.0,39,36,13,7,15,6,6,2,16,26,,,,,18,17,25,2,14,13,24,19,,,0,1,0,0
320600151,2011,"February 29, 2012",East Carolina Pirates,Marshall Thundering Herd,"13-15, 4-11 Conf","17-12, 8-7 Conf",69,68,,,Final/OT,,32,31,6.0,34,29,5.0,NCAAB,24-52,26-56,46.2,46.4,5-16,6-18,31.3,33.3,16-26,10-17,61.5,58.8,26,41,17,13,9,3,4,4,11,20,,,,,20,24,4,10,6,14,19,26,,,0,1,0,0
320670242,2011,"March 07, 2012",Rice Owls,East Carolina Pirates,"17-15, 8-8 Conf","15-15, 5-11 Conf",66,68,,,Final,,33,33,,32,36,,NCAAB,28-54,26-61,51.9,42.6,4-9,10-24,44.4,41.7,6-11,6-9,54.5,66.7,31,42,19,15,7,5,4,5,11,9,,,,,10,15,9,4,5,11,25,26,,,0,0,0,0
313150151,2011,"November 11, 2011",East Carolina Pirates,Milligan Buffaloes,"1-0, 1-0 Home",,101,45,,,Final,,49,52,,18,27,,NCAAB,35-73,19-55,47.9,34.5,13-22,4-15,59.1,26.7,18-26,3-5,69.2,60.0,54,32,22,12,14,10,8,2,15,24,,,,,14,19,56,0,27,11,27,17,,,0,0,0,0
313210151,2011,"November 17, 2011",East Carolina Pirates,Coker Cobras,"2-1, 2-0 Home",,63,50,,,Final,,33,30,,26,24,,NCAAB,25-53,21-62,47.2,33.9,4-17,2-15,23.5,13.3,9-15,6-7,60.0,85.7,33,46,13,11,12,7,5,3,13,21,,,,,12,17,15,0,7,17,25,24,,,0,0,0,0
313300151,2011,"November 26, 2011",East Carolina Pirates,Chowan Hawks,"4-1, 3-0 Home",,78,62,,,Final,,43,35,,37,25,,NCAAB,31-60,26-63,51.7,41.3,7-25,4-15,28.0,26.7,9-15,6-10,60.0,60.0,38,38,19,16,9,7,4,3,16,15,,,,,12,18,17,4,13,13,24,22,,,0,0,0,0
313370151,2011,"December 03, 2011",East Carolina Pirates,Charlotte 49ers,"4-3, 3-1 Home","4-2, 3-1 Away",64,76,,,Final,,25,39,,26,50,,NCAAB,22-69,27-58,31.9,46.6,10-33,8-18,30.3,44.4,10-14,14-24,71.4,58.3,46,48,11,20,11,11,4,6,14,13,,,,,21,18,0,14,19,13,24,29,,,0,0,0,0
313502430,2011,"December 16, 2011",UNC Greensboro Spartans,East Carolina Pirates,"2-9, 1-3 Home","5-4, 1-2 Away",62,71,,,Final,,26,36,,28,43,,NCAAB,26-69,24-56,37.7,42.9,5-24,5-19,20.8,26.3,5-8,18-32,62.5,56.3,49,43,7,11,4,11,4,4,18,14,,,,,24,14,9,9,16,13,24,27,,,0,0,0,0
313560151,2011,"December 22, 2011",East Carolina Pirates,Gardner-Webb Bulldogs,"7-4, 5-2 Home","6-8, 2-6 Away",69,55,,,Final,,31,38,,29,26,,NCAAB,21-49,18-54,42.9,33.3,5-13,7-22,38.5,31.8,22-28,12-17,78.6,70.6,39,36,15,10,9,7,4,2,15,16,,,,,18,27,15,2,8,10,30,22,,,0,0,0,0
313650151,2011,"December 31, 2011",East Carolina Pirates,Virginia-Wise Highland Cavaliers,"9-4, 7-2 Home",,91,56,,,Final,,45,46,,21,35,,NCAAB,38-65,19-66,58.5,28.8,5-18,5-19,27.8,26.3,10-20,13-20,50.0,65.0,57,29,19,7,4,10,9,0,16,8,,,,,16,20,34,1,12,7,43,20,,,0,1,0,0
320070151,2011,"January 07, 2012",East Carolina Pirates,UCF Knights,"9-6, 0-2 Conf","12-3, 2-0 Conf",63,81,,,Final,,31,32,,38,43,,NCAAB,22-60,35-67,36.7,52.2,7-23,6-19,30.4,31.6,12-15,5-11,80.0,45.5,33,49,14,15,6,8,7,6,10,13,,,,,14,16,0,22,9,16,20,30,,,1,0,0,0
320182638,2011,"January 18, 2012",UTEP Miners,East Carolina Pirates,"10-9, 3-2 Conf","9-8, 0-4 Conf",70,56,,,Final,,36,34,,32,24,,NCAAB,25-48,22-54,52.1,40.7,2-7,10-29,28.6,34.5,18-21,2-3,85.7,66.7,40,21,12,14,3,5,2,1,12,7,,,,,11,18,14,2,9,3,30,16,,,0,0,0,0
320250151,2011,"January 25, 2012",East Carolina Pirates,Southern Miss Golden Eagles,"9-10, 0-6 Conf","18-3, 5-1 Conf",60,72,,,Final,,23,37,,38,34,,NCAAB,20-47,23-55,42.6,41.8,4-14,7-14,28.6,50.0,16-24,19-23,66.7,82.6,29,45,11,13,5,6,8,3,13,12,,,,,20,21,6,17,5,13,21,30,,,0,0,0,0
320320151,2011,"February 01, 2012",East Carolina Pirates,SMU Mustangs,"11-10, 2-6 Conf","10-12, 2-6 Conf",62,43,,,Final,,31,31,,17,26,,NCAAB,23-48,17-39,47.9,43.6,10-28,0-11,35.7,0.0,6-12,9-15,50.0,60.0,34,24,16,9,9,6,3,1,10,12,,,,,16,18,27,3,11,4,22,18,,,1,0,0,0
320390151,2011,"February 08, 2012",East Carolina Pirates,Memphis Tigers,"12-11, 3-7 Conf","17-7, 7-2 Conf",59,70,,,Final,,25,34,,37,33,,NCAAB,22-57,28-60,38.6,46.7,6-16,5-16,37.5,31.3,9-15,9-13,60.0,69.2,41,36,10,19,6,13,5,6,15,12,,,,,13,17,3,19,13,10,24,24,,,0,0,0,0
320492116,2011,"February 18, 2012",UCF Knights,East Carolina Pirates,"19-7, 8-4 Conf","12-13, 3-9 Conf",64,55,,,Final,,33,31,,25,30,,NCAAB,23-46,23-60,50.0,38.3,5-16,4-24,31.3,16.7,13-22,5-10,59.1,50.0,40,31,12,17,5,10,5,1,16,12,,,,,15,22,11,1,10,12,29,18,,,1,1,0,0
320560151,2011,"February 25, 2012",East Carolina Pirates,UAB Blazers,"12-15, 3-11 Conf","13-14, 8-6 Conf",57,61,,,Final,,28,29,,31,30,,NCAAB,21-48,24-58,43.8,41.4,10-25,5-18,40.0,27.8,5-7,8-10,71.4,80.0,28,38,15,13,7,6,4,1,15,12,,,,,14,10,1,11,6,15,20,22,,,0,0,0,0
320632655,2011,"March 03, 2012",Tulane Green Wave,East Carolina Pirates,"15-15, 3-13 Conf","14-15, 5-11 Conf",49,66,,,Final,,22,27,,26,40,,NCAAB,17-45,24-50,37.8,48.0,4-20,4-15,20.0,26.7,11-18,14-17,61.1,82.4,23,42,10,16,3,7,2,4,13,14,,,,,16,20,5,17,5,11,17,28,,,0,0,0,0
320682572,2011,"March 08, 2012",Southern Miss Golden Eagles,East Carolina Pirates,"25-7, 11-5 Conf","15-16, 5-11 Conf",81,78,,,Final/OT,,32,36,13.0,30,38,10.0,NCAAB,25-57,27-56,43.9,48.2,4-14,15-31,28.6,48.4,27-37,9-13,73.0,69.2,36,32,8,16,7,3,0,7,9,18,,,,,16,28,8,8,11,6,25,23,,,1,1,0,0
