,ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
0,400916479,2016,"Mon, Nov 14",East Carolina Pirates,North Carolina A&T Aggies,"2-0, 2-0 Home","1-1, 0-1 Away",61,51,,,Final,ESPN3,35,26,,22,29,,NCAAB
1,400916492,2016,"Sun, Nov 20",East Carolina Pirates,Stetson Hatters,"3-1, 3-0 Home","2-2, 0-1 Away",73,50,,,Final,ESPN3,37,36,,23,27,,NCAAB
2,400916500,2016,"Fri, Nov 25",Mercer Bears,East Carolina Pirates,4-1,4-2,70,66,,,Final,,31,39,,20,46,,NCAAB
3,400916507,2016,"Tue, Nov 29",East Carolina Pirates,Hampton Pirates,"6-2, 5-0 Home","1-6, 0-3 Away",68,48,,,Final,ESPN3,36,32,,28,20,,NCAAB
4,400915290,2016,"Tue, Dec 6",Virginia Cavaliers,East Carolina Pirates,"8-1, 5-1 Home","7-3, 0-2 Away",76,53,,,Final,ACCNX,42,34,,20,33,,NCAAB
5,400916546,2016,"Tue, Dec 20",UNC Wilmington Seahawks,East Carolina Pirates,"11-1, 5-0 Home","7-5, 0-3 Away",81,71,,,Final,,35,46,,25,46,,NCAAB
6,400916558,2016,"Wed, Dec 28",East Carolina Pirates,South Florida Bulls,"9-5, 1-0 Conf","6-6, 0-1 Conf",60,49,,,Final,ESPNN,34,26,,17,32,,NCAAB
7,400916567,2016,"Tue, Jan 3",UCF Knights,East Carolina Pirates,"12-3, 3-0 Conf","9-7, 1-2 Conf",48,45,,,Final,ESPNN,23,25,,15,30,,NCAAB
8,400916576,2016,"Wed, Jan 11",East Carolina Pirates,Houston Cougars,"9-9, 1-4 Conf","13-4, 4-1 Conf",58,74,,,Final,ESPNN,25,33,,47,27,,NCAAB
9,400916596,2016,"Sun, Jan 22",UConn Huskies,East Carolina Pirates,"8-11, 3-4 Conf","9-11, 1-6 Conf",72,65,,,Final,CBSSN,38,34,,28,37,,NCAAB
10,400916604,2016,"Sat, Jan 28",Memphis Tigers,East Carolina Pirates,"16-6, 6-3 Conf","10-12, 2-7 Conf",57,50,,,Final,ESPNN,19,38,,22,28,,NCAAB
11,400916613,2016,"Sat, Feb 4",East Carolina Pirates,Tulane Green Wave,"11-13, 3-8 Conf","4-19, 1-10 Conf",74,65,,,Final,,43,31,,31,34,,NCAAB
12,400916629,2016,"Wed, Feb 15",East Carolina Pirates,Temple Owls,"12-14, 4-9 Conf","14-13, 5-9 Conf",78,64,,,Final,ESPNN,37,41,,38,26,,NCAAB
13,400916638,2016,"Tue, Feb 21",Tulane Green Wave,East Carolina Pirates,"5-22, 2-13 Conf","13-15, 5-10 Conf",73,76,,,Final,ESPNU,34,39,,29,47,,NCAAB
14,400916648,2016,"Wed, Mar 1",East Carolina Pirates,UConn Huskies,"14-16, 6-11 Conf","14-15, 9-8 Conf",66,62,,,Final,ESPNU,28,38,,32,30,,NCAAB
15,400945706,2016,"Thu, Mar 9",Temple Owls,East Carolina Pirates,"16-16, 7-11 Conf","15-17, 6-12 Conf",69,80,,,Final,ESPNU,29,40,,36,44,,NCAAB
16,400916471,2016,"Fri, Nov 11",East Carolina Pirates,Grambling Tigers,"1-0, 1-0 Home","0-1, 0-1 Away",72,57,,,Final,ESPN3,38,34,,28,29,,NCAAB
17,400916487,2016,"Thu, Nov 17",Charlotte 49ers,East Carolina Pirates,"3-0, 2-0 Home","2-1, 0-1 Away",76,64,,,Final,,25,51,,24,40,,NCAAB
18,400916495,2016,"Tue, Nov 22",East Carolina Pirates,Florida A&M Rattlers,"4-1, 4-0 Home","2-3, 0-3 Away",82,62,,,Final,ESPN3,46,36,,21,41,,NCAAB
19,400927012,2016,"Sat, Nov 26",East Carolina Pirates,Air Force Falcons,5-2,5-2,70,63,,,Final,,33,37,,31,32,,NCAAB
20,400916517,2016,"Sat, Dec 3",East Carolina Pirates,North Carolina Central Eagles,"7-2, 6-0 Home","5-3, 3-3 Away",69,56,,,Final,ESPN3,36,33,,26,30,,NCAAB
21,400916538,2016,"Thu, Dec 15",East Carolina Pirates,Charleston Cougars,"7-4, 6-1 Home","8-3, 2-1 Away",35,53,,,Final,ESPN3,13,22,,23,30,,NCAAB
22,400916553,2016,"Thu, Dec 22",East Carolina Pirates,Presbyterian Blue Hose,"8-5, 7-1 Home","4-7, 0-7 Away",76,56,,,Final,ESPN3,33,43,,25,31,,NCAAB
23,400916562,2016,"Sat, Dec 31",East Carolina Pirates,SMU Mustangs,"9-6, 1-1 Conf","12-3, 2-0 Conf",44,75,,,Final,ESPN3,24,20,,34,41,,NCAAB
24,400916571,2016,"Sat, Jan 7",Temple Owls,East Carolina Pirates,"10-7, 1-3 Conf","9-8, 1-3 Conf",81,62,,,Final,ESPN3,40,41,,34,28,,NCAAB
25,400916585,2016,"Sun, Jan 15",East Carolina Pirates,Cincinnati Bearcats,"9-10, 1-5 Conf","15-2, 5-0 Conf",46,55,,,Final,CBSSN,23,23,,31,24,,NCAAB
26,400916600,2016,"Wed, Jan 25",East Carolina Pirates,Tulsa Golden Hurricane,"10-11, 2-6 Conf","11-8, 5-2 Conf",69,66,,,Final,ESPN3,29,40,,24,42,,NCAAB
27,400916611,2016,"Wed, Feb 1",SMU Mustangs,East Carolina Pirates,"19-4, 9-1 Conf","10-13, 2-8 Conf",86,46,,,Final,ESPNN,49,37,,20,26,,NCAAB
28,400916625,2016,"Sat, Feb 11",South Florida Bulls,East Carolina Pirates,"7-17, 1-12 Conf","11-14, 3-9 Conf",64,57,,,Final,ESPNU,33,31,,22,35,,NCAAB
29,400916634,2016,"Sat, Feb 18",East Carolina Pirates,UCF Knights,"12-15, 4-10 Conf","17-10, 8-7 Conf",58,61,,,Final,ESPNN,25,33,,27,34,,NCAAB
30,400916646,2016,"Sun, Feb 26",Tulsa Golden Hurricane,East Carolina Pirates,"14-14, 8-8 Conf","13-16, 5-11 Conf",74,66,,,Final,ESPNU,29,45,,27,39,,NCAAB
31,400916656,2016,"Sun, Mar 5",Houston Cougars,East Carolina Pirates,"21-9, 12-6 Conf","14-17, 6-12 Conf",73,51,,,Final,CBSSN,33,40,,32,19,,NCAAB
32,400945786,2016,"Fri, Mar 10",SMU Mustangs,East Carolina Pirates,"28-4, 17-1 Conf","15-18, 6-12 Conf",81,77,,,Final,ESPN2,43,38,,21,56,,NCAAB
